,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,IndPremiumPlusTransferMinusCostsPMM_2014,TotalLossPMM,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,IndPremiumPlusTransferMinusCostsPMM_2015
197,94720,John Alden Life Insurance Company,WI,,,No,-41526.94,3567,9807,1024179,356364,287.1261564,99.9058032,,187.2203532,,0,John Alden Life Insurance Company,WI,,,No,44877.57,2435,3302,731543,1070851,300.4283368,439.774538,,-139.3462012,
201,31234,CeltiCare Health Plan of MA***,MA,0,,No,,2472,78,1090739.163,264952.4377,441.2375255,107.1814068,,334.0561186,,0,CeltiCare Health Plan of MA,MA,87686.69,,No,,15810,,6049869.112,2862510.953,382.6609179,181.0569863,,201.6039316,
202,80698,John Alden Life Insurance Company,NE,,,No,71939.33,4014,2630,1111782,870915,276.9760837,216.9693572,,60.00672646,,0,John Alden Life Insurance Company,NE,,,No,-21958.59,2420,1022,715408,226936,295.6231405,93.77520661,,201.8479339,
203,97646,Time Insurance Company,NM,205000,219541.22,No,,3770,,1211757,1391775,321.4209549,369.1710875,58.23374536,-47.75013263,10.48361273,64.86027056,Time Insurance Company,NM,0,6670.67,No,,2858,,933798,838772,326.7312806,293.4821554,2.33403429,33.24912526,35.58315955
204,41240,John Alden Life Insurance Company,FL,,,No,-890.28,3453,439,1287342,1027365,372.8184188,297.5282363,,75.29018245,,0,John Alden Life Insurance Company,FL,,,No,6445.09,2136,247,835630,581247,391.2125468,272.119382,,119.0931648,
206,86382,Sunshine State Health Plan,FL,0,-198355.63,No,,3460,,1302976.93,532646.8603,376.5829277,153.9441793,-57.32821676,222.6387485,165.3105317,165.3105317,Sunshine State Health Plan,FL,1184424.15,-26584661.51,No,,187352,,64261869.35,27042932.65,343.0007118,144.3429088,-141.8968653,198.657803,56.76093765
207,73893,John Alden Life Insurance Company,AZ,,,No,700477.89,4129,19748,1333099,290994,322.8624364,70.47565997,,252.3867765,,0,John Alden Life Insurance Company,AZ,,,No,543121.99,2690,12255,862943,295044,320.7966543,109.6817844,,211.1148699,
208,92045,Meritus Mutual Health Partners,AZ,1966321.43,800921.39,Yes,-12159.89,3529,1257,1338745,5769734.255,379.3553415,1634.948783,226.9542052,-1255.593441,-1028.639236,-471.4498257,Meritus Mutual Health Partners,AZ,3284983.52,-558586.58,Yes,-1913246.31,37735,14475,11365541,25838238,301.1936134,684.7287134,-14.80287743,-383.5351,-398.3379775
210,59765,BridgeSpan Health Company,ID,712878.62,574321.44,No,,4960,,1425086,2866986,287.3157258,578.021371,115.7906129,-290.7056452,-174.9150323,-31.18950403,BridgeSpan Health Company,ID,724349.19,-37955.58,No,,11749,,3156976,5057888,268.7016767,430.4951911,-3.230537067,-161.7935143,-165.0240514
211,69443,UnitedHealthcare Insurance Company,TN,,,No,441221.96,3087,257791,1504762.63,1154277.21,487.4514512,373.9155199,,113.5359313,,0,United Healthcare Insurance Company,TN,,,No,1962995.16,2010,219298,972773.15,574155.03,483.9667413,285.6492687,,198.3174726,
212,25978,UnitedHealthcare Insurance Company,VA,,,No,-1683466.68,2971,384873,1515240.68,1064726.15,510.0103265,358.3729889,,151.6373376,,0,United Healthcare Insurance Company,VA,,,No,-7578909.62,2701,336520,1400243.25,996189.3,518.416605,368.8223991,,149.5942058,
213,59977,John Alden Life Insurance Company,NC,0,-115565.12,No,-40668.98,5325,4125,1528569,870690,287.0552113,163.5098592,-21.70236995,123.5453521,101.8429822,101.8429822,John Alden Life Insurance Company,NC,0,-138633.22,No,-11962.08,3338,1894,1007779,550467,301.9110246,164.9092271,-41.53182145,137.0017975,95.46997603
214,97889,Time Insurance Company,DE,512544.5,53220.61,No,-4709.65,6861,2760,1533482,1673209,223.5070689,243.8724676,7.75697566,-20.36539863,-12.60842297,62.09562892,Time Insurance Company,DE,101901.86,40682.47,No,-10832.08,2948,43,986662,772875,334.6886024,262.1692673,13.80002374,72.51933514,86.31935889
215,43129,UnitedHealthcare Life Insurance Company,UT,42356.49,43110.39,No,,7350,,1533659,1057078.33,208.6610884,143.820181,5.865359184,64.84090748,70.70626667,76.46905442,United Healthcare Life Insurance Company,UT,119171.57,47918.32,No,,4244,,1430023.97,2386267.14,336.9519251,562.2684119,11.29083883,-225.3164868,-214.025648
216,57860,UnitedHealthcare Insurance Company,SC,,,No,359514.77,2797,86417,1549433.2,1348914.69,553.9625313,482.2719664,,71.69056489,,0,United Healthcare Insurance Company,SC,,,No,472850.3,2064,66954,1070968.11,846268.33,518.8798983,410.0137258,,108.8661725,
217,85266,Hometown Health Providers Ins. Co. Inc.,NV,234356.21,248604.41,No,-318074.62,6053,32964,1609053,2230101,265.8273583,368.4290434,41.0712721,-102.6016851,-61.53041302,-22.81304808,Hometown Health Providers Ins. Co. Inc.,NV,217980.45,397248.75,No,-1757923.69,3534,60181,1423220,2103218,402.7221279,595.1380872,112.4076825,-192.4159593,-80.00827674
218,58819,John Alden Life Insurance Company,PA,,,No,-78133.65,5795,2151,1634836,611247,282.1114754,105.4783434,,176.633132,,0,John Alden Life Insurance Company,PA,,,No,-101659.48,3900,780,1137651,587741,291.7053846,150.7028205,,141.0025641,
220,23468,Humana Insurance Company,OK,48913.42,-107296.38,No,-81323.21,6085,945,1661454.27,1743140.996,273.0409647,286.4652417,-17.63293016,-13.42427707,-31.05720723,-23.01884733,Humana Insurance Company,OK,66173.45,74763.49,No,-69246.02,2381,685,841575.83,325591.797,353.4547795,136.7458198,31.4000378,216.7089597,248.1089975
221,23620,UnitedHealthcare Insurance Company,MD,,,No,1556233.82,3219,117747,1680029.72,1316539.32,521.9104442,408.9901584,,112.9202858,,0,United Healthcare Insurance Company,MD,,,No,1835041.07,2914,162340,1417059.83,1293575.05,486.293696,443.917313,,42.37638298,
222,72564,"Evergreen Health Cooperative, Inc.",MD,311875.67,-360466.32,Yes,,4194,30240,1725306,2251799.65,411.3748212,536.9097878,-85.94809728,-125.5349666,-211.4830639,-137.1207201,"Evergreen Health Cooperative, Inc.",MD,725913.47,-3443885.2,Yes,-20766948.84,47868,192165,15266749,15460626,318.9343403,322.9845826,-71.94545834,-4.050242333,-75.99570068
223,56971,John Alden Life Insurance Company,MN,2783.9,-46632.1,No,113761.56,7946,512,1732269,1793096,218.0051598,225.6602064,-5.868625724,-7.655046564,-13.52367229,-13.17331991,John Alden Life Insurance Company,MN,3609.11,-93357.87,No,-43185.94,4840,204,1210818,651360,250.1690083,134.5785124,-19.28881612,115.5904959,96.30167975
224,59158,UnitedHealthcare Insurance Company,WI,,,No,2979572.04,3113,1086472,1736417.03,961523.73,557.7953839,308.8736685,,248.9217154,,0,United Healthcare Insurance Company,WI,,,No,11297157.89,3128,1103277,1710491.76,1118015.09,546.8324041,357.421704,,189.4107001,
225,23489,UnitedHealthcare Insurance Company,PA,,,No,-2928219.72,3954,171118,1761380.53,2071919.42,445.4680147,524.0059231,,-78.53790845,,0,United Healthcare Insurance Company,PA,,,No,-5371431.92,2683,219495,1017074.56,737885.15,379.0810883,275.0224189,,104.0586694,
226,64206,John Alden Life Insurance Company,MT,,,No,-292758.82,7356,14972,1790461,1432390,243.401441,194.7240348,,48.6774062,,0,John Alden Life Insurance Company,MT,,,No,264897.43,3055,7651,854241,281775,279.6206219,92.23404255,,187.3865794,
227,70239,Health Choice Insurance Co.,AZ,678956.76,-243631.04,No,,4697,,1812900.71,3639322.68,385.9699191,774.8185395,-51.86949968,-388.8486204,-440.7181201,-296.1669683,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,No,,58566,,13465931.75,12713287.44,229.9274622,217.0762463,-102.445441,12.85121589,-89.59422515
229,82824,Aetna Health Inc. (a GA corp.),GA,,,No,-1390717.91,3607,303393,1861258.73,2757745.26,516.0129554,764.5537178,,-248.5407624,,0,Aetna Health Inc. (a GA corp.),GA,,,No,-4486504.66,940354,684990,259367562.6,233200810.6,275.8190666,247.9925758,,27.82649087,
231,66699,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.6,Yes,,5526,,1886324,4647051,341.354325,840.9429967,436.551683,-499.5886717,-63.03698878,14.1721625,"Denver Health Medical Plan, Inc.",CO,90456.8,2379976.29,Yes,,2857,,1259820.15,2795911.49,440.9591005,978.6179524,833.0333532,-537.6588519,295.3745012
234,85736,UCare Minnesota,MN,311887.29,927744.9,Yes,,5906,,2027827.07,2734688,343.3503336,463.0355571,157.0851507,-119.6852235,37.39992719,90.20847613,UCare Minnesota,MN,1959663.44,-5906132.97,Yes,,115591,,26968684.88,29837423,233.3112862,258.1292921,-51.09509365,-24.8180059,-75.91309955
235,50498,John Alden Life Insurance Company,OH,,,No,6795.41,8221,19820,2072607,993048,252.1113003,120.794064,,131.3172363,,0,John Alden Life Insurance Company,OH,,,No,109425.34,5339,10131,1539217,1065907,288.2968721,199.6454392,,88.65143285,
237,99685,Humana Insurance Company,AR,4723.94,68170.5,No,27385.89,13384,2722,2178290.92,1614966.321,162.7533562,120.6639511,5.093432457,42.08940519,47.18283764,47.53579192,Humana Insurance Company,AR,149183.57,-484230.53,No,91590.58,8077,1810,1784005.94,1254218.05,220.8748223,155.2826606,-59.95178036,65.59216169,5.64038133
238,48069,UnitedHealthcare Life Insurance Company,TN,361362.2,140988.67,No,,5206,,2183321.52,2462986.41,419.3856166,473.1053419,27.08195736,-53.71972532,-26.63776796,42.7748713,United Healthcare Life Insurance Company,TN,199560.67,315512.89,No,,8862,,3334637.81,3792328.45,376.2850158,427.9314432,35.60289889,-51.64642744,-16.04352855
239,40411,Cigna Health and Life Insurance Company,NC,1242110.42,1069804.73,No,,5704,,2238018,3813691,392.3593969,668.5994039,187.5534239,-276.240007,-88.6865831,129.0747107,Cigna Health and Life Insurance Company,NC,293355.4,596150.26,No,,5539,,2106567,2571812,380.3153999,464.3098032,107.6277776,-83.99440332,23.63337426
240,20523,Aetna Health of California Inc.,CA,,,No,-23489767.02,4418,919142,2247068.97,3347533.76,508.6167881,757.7034314,,-249.0866433,,0,Aetna Health of California Inc.,CA,,,No,-55802137.54,2133,1022238,804160.83,1476307.62,377.0092968,692.1273418,,-315.118045,
241,50313,John Alden Life Insurance Company,GA,,,No,159888.81,8512,7460,2261645,566719,265.7007754,66.57882989,,199.1219455,,0,John Alden Life Insurance Company,GA,,,No,123868.75,6138,4070,1688342,1012820,275.0638645,165.008146,,110.0557185,
242,95074,John Alden Life Insurance Company,IN,,,No,-124424.43,9516,10937,2263435,2807514,237.8557167,295.0308953,,-57.17517865,,0,John Alden Life Insurance Company,IN,,,No,-241241.52,6522,5735,1705257,1170953,261.4622815,179.5389451,,81.9233364,
243,92476,UnitedHealthcare Ins Co of Illinois,IL,,,No,-700664.41,3578,863764,2297926.08,1470998.13,642.2375852,411.1230101,,231.1145752,,0,United Healthcare Ins Co of Illinois,IL,,,No,4056740.92,3303,721188,1841854.78,1709451.63,557.630875,517.5451499,,40.0857251,
244,53799,Freedom Life Insurance,TX,763968.78,212352.03,No,,9495,,2302145,3971315,242.4586625,418.2532912,22.36461611,-175.7946288,-153.4300126,-72.96989889,Freedom Life Insurance,TX,939694.86,808134.93,No,,6793,,2037537,6603686,299.9465626,972.1310172,118.9658369,-672.1844546,-553.2186177
246,95426,UnitedHealthcare Insurance Company,MO,,,No,-342820.74,4617,542131,2318002.6,1602444.49,502.0581763,347.07483,,154.9833463,,0,United Healthcare Insurance Company,MO,,,No,2802884.9,4821,629836,2245406.86,1630747.4,465.7554159,338.2591579,,127.496258,
247,54172,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,No,,6429,,2382576,3070584,370.5982268,477.614559,103.3072297,-107.0163322,-3.709102504,60.5431529,"Molina Healthcare of Florida, Inc.",FL,19021408.95,-218903904.1,No,,1722261,,586687204,333655952.1,340.6494161,193.731352,-127.1026308,146.918064,19.8154332
248,16322,"UPMC Health Options, Inc.",PA,24575.39,-3587.19,No,3575646.12,7694,1607798,2395450,4487507.78,311.3400052,583.2476969,-0.466232129,-271.9076917,-272.3739238,-269.1798258,"UPMC Health Options, Inc.",PA,17829957.2,-3105783.44,No,5913428.11,630940,1517618,170872680.9,215887269.2,270.8223934,342.1676692,-4.922470346,-71.34527578,-76.26774612
249,85757,UnitedHealthcare Insurance Company,OK,,,No,-2256892.13,5172,266759,2397455.93,1675496.72,463.5452301,323.9552823,,139.5899478,,0,United Healthcare Insurance Company,OK,,,No,-144362.05,4882,236945,2116229.78,1474239.28,433.4759893,301.9744531,,131.5015363,
250,79970,John Alden Life Insurance Company,MI,,,No,-155335.89,11153,26951,2424175,1637389,217.3563167,146.8115305,,70.54478616,,0,John Alden Life Insurance Company,MI,,,No,-25243.15,7574,19937,1778772,989333,234.8523898,130.6222604,,104.2301294,
251,49221,John Alden Life Insurance Company,MO,,,No,-89587.28,10684,7490,2430469,1316404,227.4868027,123.2126544,,104.2741483,,0,John Alden Life Insurance Company,MO,,,No,30517.37,7379,4995,1713773,1357051,232.2500339,183.907169,,48.34286489,
252,69347,UnitedHealthcare Insurance Company,NC,,,No,-15874.11,4295,477146,2437777.47,2297875.26,567.5849756,535.011702,,32.57327357,,0,United Healthcare Insurance Company,NC,,,No,-2306736.6,3025,443252,1825650.49,1357995.77,603.5208231,448.9242215,,154.5966017,
253,99389,"Community Care of Oregon, Inc.",OR,447174.74,961182.24,Yes,-356550.41,7206,3550,2482923.61,5249096.959,344.5633653,728.4342158,133.386378,-383.8708505,-250.4844725,-188.428583,"Community Care of Oregon, Inc.",OR,4781867.05,401324.32,Yes,-1315272.66,101241,29172,32382491.22,47794308.61,319.8555054,472.0845172,3.964049348,-152.2290119,-148.2649625
254,41047,Buckeye Community Health Plan,OH,311415.92,-154350.05,No,,7133,,2518182.674,2129377.596,353.0327596,298.5248277,-21.63886864,54.50793187,32.86906323,76.52754073,Buckeye Community Health Plan,OH,649923.9,-6141372.01,No,,63391,,20472680.63,11338993.88,322.9587896,178.8738761,-96.8808192,144.0849135,47.20409427
256,57637,Medica Insurance Company,WI,,,No,-890267.24,12941,87023,2668847.69,1645106.38,206.2319519,127.1235901,,79.1083618,,0,Medica Insurance Company,WI,,,No,355871.33,9384,84479,2131433.75,1542374.93,227.1348838,164.3622048,,62.77267903,
257,75091,"ConnectiCare, Inc. **",CT,9490.2,-115248.13,No,72069.21,6108,56182,2748338,2504000,449.9571054,409.9541585,-18.86839064,40.00294695,21.13455632,22.68828913,"ConnectiCare, Inc.",CT,26569.95,-1899004.88,No,-6351.77,11204,1041,4087279.69,2760050.122,364.805399,246.3450662,-169.4934738,118.4603327,-51.03314102
258,90169,UnitedHealthcare Life Insurance Company,AZ,1610.82,28226.14,No,,5753,,2810864.09,1870467.82,488.5910116,325.1291187,4.906334087,163.4618929,168.368227,168.6482235,United Healthcare Life Insurance Company,AZ,737940.9,784206.91,No,,17049,,6337200.43,7551443.03,371.7051106,442.9258625,45.99723796,-71.22075195,-25.22351399
259,49116,UHC of California,CA,,,No,-2215283.01,5622,407230,2881887.45,3398138.4,512.6089381,604.4358591,,-91.82692102,,0,UHC of California,CA,,,No,-1290603.41,3275,403312,1498719.36,2149910.87,457.6242321,656.4613344,,-198.8371023,
261,57020,John Alden Life Insurance Company,IL,,,No,183726.24,9135,13747,2898110,2057822,317.2534209,225.2678708,,91.98555008,,0,John Alden Life Insurance Company,IL,,,No,-167167.35,5992,7613,2096598,1271982,349.8995327,212.2800401,,137.6194927,
262,66663,United Healthcare Life Insurance Company,VA,726662.22,428044.47,No,,8062,,2907863.63,4495865.09,360.6876247,557.6612615,53.09407963,-196.9736368,-143.8795572,-53.74532002,United Healthcare Life Insurance Company,VA,2604337.93,2658704.33,No,,37231,,14784988.32,18449770.37,397.1149934,495.5486119,71.41103731,-98.43361849,-27.02258118
263,35992,Time Insurance Company,WV,48505.44,-57844.83,No,-59979.36,10232,2207,2979189,1941942,291.1638976,189.7910477,-5.653325841,101.3728499,95.71952404,100.460087,Time Insurance Company,WV,431491.97,382756.67,No,-39194.65,5818,345,2422025,2676648,416.2985562,460.063252,65.78835854,-43.76469577,22.02366277
264,28218,Time Insurance Company,ID,510134.56,192936.56,No,,11748,12822,2983605,2713434,253.9670582,230.9698672,16.42292816,22.99719101,39.42011917,82.84321757,Time Insurance Company,ID,199027.79,137386.95,No,-45007.5,7920,11596,2280755,1914234,287.9741162,241.6962121,17.34683712,46.27790404,63.62474116
265,81413,Network Health Plan,WI,0,17211.06,No,-5824.29,18001,171588,3010754,1918512.432,167.2548192,106.578103,0.956116882,60.67671618,61.63283306,61.63283306,Network Health Plan,WI,24525.62,294393.41,No,-54663.83,14440,129581,2243847,1580270,155.3910665,109.4369806,20.38735526,45.95408587,66.34144114
266,77144,Time Insurance Company,SD,365627.96,215435.96,No,-4464.28,8018,1744,3014587,3532897,375.9774258,440.6207284,26.86903966,-64.64330257,-37.77426291,7.826630082,Time Insurance Company,SD,381824.21,-21716.99,No,-8782.86,5498,1181,2567338,3053213,466.9585304,555.3315751,-3.949979993,-88.37304474,-92.32302474
267,56726,UnitedHealthcare Insurance Company,OH,,,No,2231396.77,5787,552184,3022644.73,2752242.21,522.3163522,475.5904977,,46.7258545,,0,United Healthcare Insurance Company,OH,,,No,1775202.4,4768,402846,2305123.88,2296010.41,483.4571896,481.5458075,,1.911382131,
268,87354,Cigna Health and Life Insurance Company**,CT,1443523.59,-45977.45,No,,7558,5600,3024212,4941316,400.1338979,653.7861868,-6.083282614,-253.652289,-259.7355716,-68.74277057,Cigna Health and Life Insurance Company,CT,949866.36,1551767.81,No,,7637,7581,3105679,5626276,406.662171,736.7128454,203.1907568,-330.0506743,-126.8599175
269,24675,"Blue Cross and Blue Shield of Massachusetts, Inc. ***",MA,78976.66,,Yes,,3430,49377,3059745,4057978,892.0539359,1183.083965,,-291.0300292,,23.02526531,"Blue Cross and Blue Shield of Massachusetts, Inc.",MA,96895.37,,Yes,,2558,37764,2307543,2184281,902.0887412,853.9018765,,48.18686474,
270,44526,Time Insurance Company,UT,169562.38,105136.13,No,,17950,,3083177,3013031,171.7647354,167.8568802,5.857166017,3.907855153,9.76502117,19.21139331,Time Insurance Company,UT,157807.06,214883.2,No,,11169,,2375538,2326739,212.6903035,208.3211568,19.2392515,4.369146745,23.60839825
271,99248,Cigna Health and Life Insurance Company,TN,1040048.02,1134427.73,No,,9483,482,3131695,5082545,330.2430665,535.96383,119.6275156,-205.7207635,-86.09324792,23.58175156,Cigna Health and Life Insurance Company,TN,962071.92,1397613.95,No,,15616,741,5229779,7147753,334.8987577,457.7198386,89.49884413,-122.8210809,-33.32223681
273,13939,Time Insurance Company,AL,661562.99,-35409.21,No,11262.04,11799,1236,3245622,4465455,275.0760234,378.4604628,-3.001034833,-103.3844394,-106.3854742,-50.31606238,Time Insurance Company,AL,452110.79,-223260.2,No,-18832.66,8015,352,2778694,2867433,346.6867124,357.7583281,-27.85529632,-11.07161572,-38.92691204
274,11082,Aetna Life Insurance Company,AK,120363.61,-52362.57,No,22831.39,10131,33718,3278758.81,2492398.44,323.6362462,246.017021,-5.168549008,77.61922515,72.45067614,84.33139966,Aetna Life Insurance Company,AK,0,-34550.55,No,557129.08,2906,21271,958431.34,462786.99,329.8111975,159.2522333,-11.88938403,170.5589642,158.6695802
275,89364,Sanford Health Plan,ND,300927.77,128336.66,Yes,871040.84,12835,27498,3365375,2795365.75,262.2029607,217.7924231,9.998960654,44.41053759,54.40949825,77.85537047,Sanford Health Plan,ND,935693.69,-728919.89,Yes,-429914.25,28955,59864,9384377,9045705.67,324.102124,312.4056526,-25.17423208,11.69647142,-13.47776066
276,73331,"Minuteman Health, Inc.***",MA,1167.6,,Yes,,13931,3029,3466522.18,1202727.288,248.8351288,86.33459823,,162.5005306,,0.083813079,"Minuteman Health, Inc.",MA,349712.48,,Yes,,56185,6684,13457110,7964463,239.5142832,141.7542583,,97.76002492,
277,58326,"MercyCare HMO, Inc.",WI,1158384.25,553470.57,No,176359.16,7914,40296,3483939.53,5994594.09,440.2248585,757.4670318,69.93562926,-317.2421734,-247.3065441,-100.935019,"Mercy Care HMO, Inc.",WI,1039637.7,686857.72,No,224237.16,10511,17819,5800173,8315467.52,551.8193321,791.1204947,65.34656265,-239.3011626,-173.9545999
278,38712,Tufts Insurance Company***,MA,1677442.23,,No,,5487,24883,3550449,6839015,647.0656096,1246.403317,,-599.3377073,,305.7120886,Tufts Insurance Company,MA,1002595.01,,No,,5867,25535,3904718,7432948,665.5391171,1266.907789,,-601.3686722,
