,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,IndPremiumPlusTransferMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,IndPremiumPlusTransferMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM,IndPremiumPlusTransferMinusCostsPMM,Transfers16Minus14
68,336,89942,Kaiser Foundation Health Plan of Georgia,GA,7879843.09,-745460.89,Yes,-2820212.21,292357,265388,86535871,85526652,295.9938397,292.5418307,-2.549830823,3.452009016,0.902178193,Kaiser Foundation Health Plan of Georgia,GA,8692894.13,2627520.08,Yes,-2393268.87,263617,242609,92779598,98734595,351.9484631,374.5380419,9.967187549,-22.58957882,-12.62239127,"Kaiser Foundation Health Plan of Georgia, Inc.",GA,6557804.67,-16261579.31,Yes,-2129295.27,431250,127676,145327081,155618578,336.9903328,360.8546736,-37.70800999,-23.86434087,-61.57235086,-35.15817917
71,235,29698,Priority Health,MI,4982858.59,1058987.28,Yes,-1528301.43,69861,931577,28906595,33191899,413.7729921,475.1134252,15.15849014,-61.34043315,-46.181943,Priority Health,MI,14187510.7,-27447894.51,Yes,-2734798.34,497784,926042,171533872,159298734,344.594989,320.0157779,-55.14017025,24.57921106,-30.56095919,Priority Health,MI,14623284.2,-34476293.74,Yes,-2495450.95,934102,935416,328338278,317862401,351.5015255,340.2866079,-36.90848937,11.21491764,-25.69357173,-52.06697951
72,155,79763,Land of Lincoln Mutual Health Insurance Company,IL,4808906.25,816860.44,Yes,-390929.05,30733,2616,11019957,19901363.37,358.5708196,647.5568077,26.57926138,-288.985988,-262.4067266,Land of Lincoln Mutual Health Insurance Company,IL,18123842.55,-22604098.38,Yes,-9219351.96,414794,91889,127889882.8,183230368.4,308.3214386,441.7382325,-54.49475735,-133.4167939,-187.9115512,Land of Lincoln Mutual Health Insurance Company,IL,9157710.03,-11963347.32,Yes,-9752011.63,334517,78617,123126850,161305248.2,368.0735209,482.2034402,-35.76304738,-114.1299193,-149.8929666,-62.34230876
74,438,91661,"Horizon Healthcare Services, Inc.",NJ,68139576.15,-9536368.03,Yes,10604745.48,1725900,4342240,695259495,554523604,402.8388058,321.2953265,-5.525446451,81.54347934,76.01803289,"Horizon Healthcare Services, Inc.",NJ,85563520.22,-62882998.27,Yes,36636642.31,2105500,3205623,938578431,702371782,445.7746051,333.5890677,-29.86606425,112.1855374,82.31947316,"Horizon Healthcare Services, Inc.",NJ,50155766.06,-84325185.2,Yes,26681850.74,2466929,2849028,1150123086,966427849,466.2165332,391.7534104,-34.18225056,74.46312277,40.28087221,-28.65680411
76,197,31195,Sanford Health Plan,SD,2844814.58,-802074.46,Yes,26954.59,62624,24326,19477603,21757491.62,311.0245752,347.4305637,-12.80778072,-36.40598844,-49.21376916,Sanford Health Plan,SD,1912816.62,201919.38,Yes,225580.45,53788,30143,13453355,22994377,250.118149,427.5001301,3.753985647,-177.3819811,-173.6279955,Sanford Health Plan,SD,2965610.59,-4227905.42,Yes,820064.68,132796,28365,47980740.1,59205118.65,361.3116366,445.8351053,-31.83759616,-84.5234687,-116.3610649,-19.02981544
77,57,99389,"Community Care of Oregon, Inc.",OR,447174.74,961182.24,Yes,-356550.41,7206,3550,2482923.61,5249096.959,344.5633653,728.4342158,133.386378,-383.8708505,-250.4844725,"Community Care of Oregon, Inc.",OR,4781867.05,401324.32,Yes,-1315272.66,101241,29172,32382491.22,47794308.61,319.8555054,472.0845172,3.964049348,-152.2290119,-148.2649625,"Community Care of Oregon, Inc.",OR,1426141.65,-2371948.67,Yes,-3515859.4,78796,41951,22002270.73,26359133.74,279.2308078,334.5237543,-30.10239949,-55.29294647,-85.39534596,-163.4887775
78,268,56707,Providence Health Plan,OR,8094883.08,2963920.51,Yes,1673687.32,143417,330768,41152791,46363481,286.9449995,323.2774427,20.66645175,-36.33244316,-15.66599141,Providence Health Plan,OR,9861302.28,-4161991.69,Yes,3092137.34,332567,339014,88766690.5,103343329,266.9137061,310.7443883,-12.51474647,-43.83068224,-56.34542871,Providence Health Plan,OR,20220108.78,-36194842.92,Yes,-5563412.11,1217857,599682,399049035,440670296.7,327.6649352,361.8407553,-29.72010911,-34.17582007,-63.89592918,-50.38656086
82,88,77514,Neighborhood Health Plan of Rhode Island,RI,22152.3,-570729.75,Yes,-28800.7,11408,409,4044489.86,1975782.139,354.5310186,173.192684,-50.02890515,181.3383346,131.3094294,Neighborhood Health Plan of Rhode Island,RI,1435292.63,-8608201.54,Yes,-343863.12,187810,3128,58621412,25640382,312.1314733,136.522986,-45.83462829,175.6084873,129.773859,Neighborhood Health Plan of Rhode Island,RI,305755.06,-5606340.68,Yes,-745071.9,191885,6603,59043046,40847971,307.7001642,212.8773536,-29.21719092,94.82281054,65.60561962,20.81171423
83,274,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,10350382.87,-4011882.59,Yes,115029.27,140344,312530,43942528,47020160,313.1058542,335.0350567,-28.58606417,-21.92920253,-50.5152667,"Physicians Health Plan of Northern Indiana, Inc.",IN,7080052.99,-7085738.88,Yes,2912178.01,111408,267643,40754310,43521941.03,365.8113421,390.6536427,-63.60170616,-24.84230064,-88.4440068,"Physicians Health Plan of Northern Indiana, Inc.",IN,2286473.37,-2126520.47,Yes,-124000.57,73278,158896,28482808.38,32281883,388.6952207,440.5399028,-29.01990325,-51.84468217,-80.86458541,-0.43383908
90,362,38166,"Security Health Plan of Wisconsin, Inc.",WI,43113883.54,-4769092.74,Yes,-545101.95,291458,122979,136470890,159303095,468.2351831,546.573074,-16.36288158,-78.33789088,-94.70077246,"Security Health Plan of Wisconsin, Inc.",WI,31487056.36,-10390482.3,Yes,-900331.9,368674,125902,169150496,230112614,458.8077706,624.1628485,-28.18338776,-165.3550779,-193.5384657,"Security Health Plan of Wisconsin, Inc.",WI,12567946.68,-8972947.64,Yes,-1845484.62,332132,132597,179557227,209916524,540.6200758,632.0273987,-27.01620934,-91.40732299,-118.4235323,-10.65332776
94,445,40513,"Kaiser Foundation Health Plan, Inc.",CA,240031290.8,98811448.39,Yes,-6119361.66,5935591,7801104,2273510519,2044153218,383.030185,344.3891633,16.64728051,38.64102176,55.28830228,"Kaiser Foundation Health Plan, Inc.",CA,193662847,-82078859.73,Yes,-86677086.3,7551901,8079938,2864002080,2536678058,379.2425351,335.8992733,-10.86863556,43.34326178,32.47462623,"Kaiser Foundation Health Plan, Inc.",CA,99483995.87,-182807948.2,Yes,-254946663.8,7386281,9839547,2899936689,2664433592,392.6112057,360.7273528,-24.74966065,31.88385292,7.134192268,-41.39694116
97,207,37651,Health Alliance Plan (HAP),MI,5921541.69,5267035.16,Yes,-59049.89,50283,193568,21341078,26220361,424.4193465,521.4557803,104.7478305,-97.03643378,7.711396695,Health Alliance Plan (HAP),MI,3485778.72,3869249.1,Yes,-1604360.74,94081,202285,35127892,33194265,373.379237,352.8264474,41.12678543,20.55278962,61.67957505,Health Alliance Plan of Michigan,MI,1323374.09,-3617941.82,Yes,-1055785.01,150442,199634,47954634,37425734,318.7582856,248.7718456,-24.04874849,69.98643996,45.93769147,-128.796579
98,103,73751,Medica Health Plans,ND,1073377.89,-807481.69,Yes,-105459.46,19468,1056,5948961.29,5644879.94,305.5763967,289.9568492,-41.47738288,15.61954746,-25.85783542,Medica Health Plans,ND,1918693.8,-825246.58,Yes,389024.19,53628,2437,18429287.98,17357765.7,343.6504807,323.6698311,-15.38835273,19.98064966,4.592296934,Medica Health Plans,ND,1374734.61,-1809702.29,Yes,129354.14,76021,2498,29935799.47,27173036.06,393.7832897,357.4411815,-23.80529446,36.34210823,12.53681378,17.67208842
102,120,16204,"Coordinated Health Mutual, Inc.",OH,929483.49,-1262069.95,Yes,-2121774.3,19320,23358,7108247,6902111,367.9216874,357.2521222,-65.32453157,10.66956522,-54.65496636,"Coordinated Health Mutual, Inc.",OH,15348555.75,-3985495.69,Yes,-3214448.51,192418,62497,71644539,117238425,372.3380297,609.2903211,-20.71269679,-236.9522914,-257.6649882,Coordinated Health Mutual,OH,7441726.47,-2492656.84,Yes,-11674650.02,118846,31622,50094649.49,89426654,421.5089232,752.4582569,-20.97383875,-330.9493337,-351.9231724,44.35069282
106,215,63312,Colorado Choice Health Plans,CO,6252605.7,-4578461.04,Yes,-534596.16,63856,32144,23273256,29458165,364.4646705,461.3218022,-71.69977825,-96.85713167,-168.5569099,Colorado Choice Health Plans,CO,4665826.16,1562462.46,Yes,-1750013.59,65551,29964,24627126,29021855,375.6941313,442.7370292,23.83582951,-67.0428979,-43.20706839,Colorado Choice Health Plans,CO,3886517.25,-2794252.54,Yes,28711.53,151321,40243,63697696,58699592,420.9441915,387.9143807,-18.46572875,33.0298108,14.56408205,53.2340495
110,234,19898,"AvMed, Inc.",FL,1841557.61,1215541.75,Yes,-3118661.5,114237,380802,28608236,23869035,250.4288103,208.9431183,10.64052584,41.48569203,52.12621786,"AvMed, Inc.",FL,3804584.76,-148477.46,Yes,-3997943.28,168528,434149,55062372,50135453,326.7253631,297.4903458,-0.881025468,29.23501733,28.35399186,"AvMed, Inc",FL,4504028.34,-5705014.67,Yes,-7819786.24,345768,568661,127267834,123194512,368.0729102,356.2924042,-16.49954498,11.780506,-4.71903898,-27.14007082
118,218,93091,New Mexico Health Connections,NM,3178238.43,-4834621.72,Yes,-1832176.28,72246,22648,24015570,20102873,332.4138361,278.2558619,-66.91888437,54.15797414,-12.76091022,New Mexico Health Connections,NM,5515873.35,-11035028.09,Yes,-3534467.65,237567,107378,63129854,64799269,265.7349464,272.7620798,-46.45017233,-7.027133398,-53.47730573,New Mexico Health Connections,NM,3009737.98,-3779277.3,Yes,-5084621.64,295687,172372,87331622,87114965.56,295.3515779,294.6188556,-12.78134412,0.732722237,-12.04862189,54.13754025
122,360,75605,Blue Cross Blue Shield of New Mexico,NM,17360787.26,6258751.86,Yes,1212948.58,473250,300717,132385147,160136586.3,279.7361796,338.3763049,13.22504355,-58.6401253,-45.41508175,Blue Cross Blue Shield of New Mexico,NM,25478424.19,14139955.41,Yes,4123735.82,402278,245781,135578668,184280106.4,337.0272995,458.0914353,35.14971092,-121.0641357,-85.91442483,Blue Cross Blue Shield of New Mexico,NM,515666.69,-136719.12,Yes,8888567.76,15258,189199,4283638,5521538.184,280.747018,361.8782399,-8.960487613,-81.13122192,-90.09170953,-22.18553116
123,367,30751,Blue Cross and Blue Shield of Montana,MT,39734997.94,-4280629.18,Yes,-250657.2,450309,399124,143510696,181347286.3,318.6938214,402.7174369,-9.505981848,-84.02361556,-93.52959741,Blue Cross and Blue Shield of Montana,MT,29263271.43,-4708322.25,Yes,-89903.73,555866,374972,174623320.2,233970780.9,314.1464313,420.9121999,-8.470246876,-106.7657685,-115.2360154,Blue Cross and Blue Shield of Montana,MT,17130961.48,-5337903.73,Yes,157176.77,633417,451175,240394690,259904231.6,379.5204265,410.320897,-8.427155776,-30.80047046,-39.22762624,1.078826072
124,344,87416,Common Ground Healthcare Cooperative,WI,37246349.07,-21936044.54,Yes,-1311259.94,241900,7958,101860614,157754750,421.0856304,652.1486151,-90.68228417,-231.0629847,-321.7452689,Common Ground Healthcare Cooperative,WI,32249872.02,194955.1,Yes,-2056055.51,396688,25483,161071543,222934983.9,406.040876,561.9907431,0.491457014,-155.9498672,-155.4584101,Common Ground Healthcare Cooperative,WI,10480129.86,-1715699.95,Yes,-1961917.58,203673,27446,88339949,113442455,433.7342161,556.9832771,-8.423796723,-123.249061,-131.6728577,82.25848745
126,433,33709,Highmark Inc.,PA,97340297.04,-44238595.47,Yes,-4503418.41,2556433,74636,629234955.1,808307387,246.1378628,316.1856333,-17.30481318,-70.04777043,-87.35258361,Highmark Inc.,PA,106807043.5,-46784130.23,Yes,-7096865.07,2659756,286085,792882593,1082562250,298.1035076,407.0156247,-17.58963237,-108.9121171,-126.5017495,Highmark Inc.,PA,8120535.88,-3929579.78,Yes,-2657961.99,552745,247667,167251940,185011072,302.5842658,334.7132439,-7.109209093,-32.1289781,-39.23818719,10.19560409
129,176,69364,Asuris Northwest Health,WA,4356897.34,1425226.46,Yes,2090209.09,46293,112860,15696661,16360933,339.0720195,353.4213164,30.78708358,-14.34929687,16.43778671,Asuris Northwest Health,WA,2095416.08,1091276.01,Yes,4486607.33,35287,55190,12501291,13278499,354.2746904,376.3000255,30.92572364,-22.02533511,8.900388528,Asuris Northwest Health,WA,673612.99,-208979.24,Yes,2625859.5,34440,54633,12961373,11787125,376.3464866,342.2510163,-6.067922184,34.09547038,28.0275482,-36.85500576
133,161,91069,"HealthyCT, Inc. **",CT,1944236.31,-569431.67,Yes,-532743.6,23491,3296,11974980,12903482.29,509.7688476,549.294721,-24.24041846,-39.52587331,-63.76629177,"HealthyCT, Inc.",CT,11450211.51,-6912671.83,Yes,-6459820.49,204238,70909,95596346.48,94063469.84,468.0634675,460.5581226,-33.84615904,7.505344941,-26.3408141,"HealthyCT, Inc.",CT,6340096.71,-745863.3,Yes,-7270795.39,176948,127194,80188268.15,100808441.7,453.1741989,569.7065901,-4.2151553,-116.5323912,-120.7475465,20.02526316
137,269,44648,Regence Blue Shield of Idaho,ID,282450.45,371605.98,Yes,1175263.46,359158,308078,42153596,31134872,117.3678325,86.68851035,1.034658785,30.67932219,31.71398098,Regence Blue Shield of Idaho,ID,643839.26,1002953.94,Yes,-831183.51,126390,272370,31416377,20804518,248.5669515,164.6057283,7.935389983,83.9612232,91.89661318,Regence Blue Shield of Idaho,ID,764325.42,-319665.28,Yes,-1115977.31,125888,284710,33429631,28925018,265.5505767,229.767873,-2.539283172,35.78270367,33.2434205,-3.573941957
141,422,87571,Blue Cross Blue Shield of Oklahoma,OK,58988045.78,-912836.76,Yes,5538080.47,1530042,1415200,373873715,447090987.7,244.3551974,292.2083104,-0.596608956,-47.85311299,-48.44972194,Blue Cross Blue Shield of Oklahoma,OK,84233897.4,-4417436.82,Yes,4443491.14,2028437,1475972,563366273,783660741,277.7341732,386.3372345,-2.177754015,-108.6030614,-110.7808154,Blue Cross Blue Shield of Oklahoma,OK,34729150.38,-3948818.13,Yes,9258058.89,2028674,1565060,710450871,793783820.4,350.2045528,391.2820988,-1.946502065,-41.07754592,-43.02404799,-1.349893109
145,439,75293,USAble Mutual Insurance Company,AR,64727145.97,14435474.74,Yes,381417.67,2575654,788859,726204889.8,808308852.6,281.9497067,313.8266447,5.604586152,-31.87693797,-26.27235182,Arkansas Blue Cross and Blue Shield,AR,64811130.09,8441174.73,Yes,1078908.44,3088102,801647,942571978.7,1148724126,305.2269578,371.9838678,2.733450751,-66.75691,-64.02345925,USAble Mutual Insurance Company,AR,37164216.31,-1661548.73,Yes,1799059.63,3252818,555833,1119572863,1346911505,344.1855225,414.0752741,-0.510802858,-69.88975159,-70.40055445,-6.11538901
147,200,40064,HealthNow New York,NY,0,-9077.56,Yes,-54673.38,48638,588220,20517394.2,22887793,421.8387722,470.574304,-0.186635141,-48.73553189,-48.92216703,HealthNow New York,NY,0,3626.81,Yes,-68200.88,85075,609043,32826816.86,41373492.31,385.857383,486.3178644,0.042630738,-100.4604813,-100.4178506,HealthNow New York,NY,0,-1918.83,Yes,36631.06,102653,906661,39353360.49,56121897.86,383.3629849,546.7146392,-0.018692391,-163.3516543,-163.3703467,0.16794275
150,291,11269,Blue Cross Blue Shield of Wyoming,WY,7922982.99,6093726.2,Yes,-490054.01,124364,176808,53463568,56230763,429.8958541,452.146626,48.99911711,-22.25077193,26.74834518,Blue Cross Blue Shield of Wyoming,WY,12716956.74,1438732.96,Yes,-735310.56,211926,180632,106424294.1,112604550,502.1766753,531.3390051,6.788845918,-29.16232978,-22.37348386,Blue Cross Blue Shield of Wyoming,WY,13798004.7,8489.31,Yes,-1220295.56,360037,190610,196967953,219853610,547.0769754,610.6417118,0.023578993,-63.5647364,-63.54115741,-48.97553812
161,363,31274,Highmark Blue Cross Blue Shield West Virginia,WV,26810291.22,128655.69,Yes,-413253.52,374909,491027,136496369.6,161435614,364.0786687,430.5994628,0.343165115,-66.52079411,-66.177629,Highmark Blue Cross Blue Shield West Virginia,WV,33457193.36,-71601.45,Yes,1261985.57,511698,473363,213700381,278020361,417.629893,543.3289968,-0.139929118,-125.6991038,-125.8390329,Highmark Blue Cross Blue Shield West Virginia,WV,18730898.51,2324973.19,Yes,-1377750.65,499129,409542,249405995,294749497,499.6824368,590.5276932,4.658060722,-90.84525644,-86.18719571,4.314895607
163,260,32225,Montana Health Cooperative,MT,10821501.27,3157443.9,Yes,297652.03,115466,8918,37692890,53910617,326.4414633,466.89603,27.3452263,-140.4545667,-113.1093404,Montana Health Cooperative,MT,14667714.03,4282446.27,Yes,1822462.95,223233,17202,76503090,112773266,342.7051108,505.1818772,19.18375092,-162.4767664,-143.2930155,Montana Health Cooperative,MT,4262930.36,856571.75,Yes,-369600.6,167472,8582,70946387,76292134,423.6313354,455.5515788,5.114716191,-31.92024338,-26.80552719,-22.23051011
