,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,SGPremiumPMM_2014,SGCostsPMM_2014,SGRTPMM_2014,SGLossAPMM_2014,SGLossBPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,SGPremiumPMM_2015,SGCostsPMM_2015,SGRTPMM_2015,SGLossAPMM_2015,SGLossBPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15,SGPremiumPMM,SGCostsPMM,SGRTPMM,SGLossAPMM,SGLossBPMM
252,93091,New Mexico Health Connections,NM,Yes,-1832176.28,22648,8838940,4446458,390.2746379,196.3289474,-80.89792829,193.9456906,113.0477623,New Mexico Health Connections,NM,Yes,-3534467.65,107378,36454449,28818799,339.4964425,268.3864386,-32.91612481,71.11000391,38.1938791,New Mexico Health Connections,NM,Yes,-5084621.64,172372,54802406,49721019.36,317.9310213,288.451833,-29.49795582,29.47918827,-0.018767549
105,84600,Aetna Life Insurance Company,KS,No,-266018.93,3739,1496577.65,687949.52,400.2614737,183.9929179,-71.14707943,216.2685558,145.1214763,Aetna Life Insurance Company,KS,No,745826.49,6579,2806407.65,1777184.97,426.5705502,270.1299544,113.3647196,156.4405958,269.8053154,Aetna Life Insurance Company,KS,No,190344.76,28674,12023090.78,8427414.19,419.30288,293.9043799,6.638235335,125.3985,132.0367354
464,93018,VIVA Health,AL,Yes,-1714074.57,25433,8822139,6151601,346.8776393,241.874769,-67.39568946,105.0028703,37.60718083,VIVA Health,AL,Yes,-782962.27,32297,10995201,9181390,340.4403195,284.2799641,-24.24256959,56.16035545,31.91778586,"Viva Health, Inc.",AL,Yes,-1146502.7,29224,10832651,8649306,370.676533,295.96585,-39.23154599,74.710683,35.47913701
446,33709,Highmark Inc.,PA,Yes,-4503418.41,74636,44157804.73,34195373,591.6421664,458.1619192,-60.33842127,133.4802472,73.14182593,Highmark Inc.,PA,Yes,-7096865.07,286085,100388326,88580066,350.9038433,309.628488,-24.80684087,41.27535523,16.46851436,Highmark Inc.,PA,Yes,-2657961.99,247667,106903681,96167162,431.6428147,388.2921907,-10.73199897,43.35062402,32.61862505
291,82483,North Shore-LIJ Insurance Company Inc,NY,No,-735698.81,12221,5956038,5231992,487.3609361,428.1148842,-60.19955896,59.24605188,-0.953507078,North Shore-LIJ Insurance Company Inc.,NY,No,-13302063.81,114883,48817053,36281775,424.9284315,315.8150031,-115.7879217,109.1134284,-6.674493267,North Shore-LIJ Insurance Company Inc,NY,No,-111975778.7,739189,322402574.2,250333651.1,436.157159,338.6598706,-151.4846388,97.49728838,-53.98735046
22,30609,"Memorial Hermann Health Insurance Company, Inc.",TX,No,-3622713.02,61445,19913364,22483184,324.0843681,365.907462,-58.95862999,-41.82309382,-100.7817238,"Memorial Hermann Health Insurance Company, Inc.",TX,No,-4900934.99,69710,22570725,24088681.55,323.7803041,345.5556097,-70.30461899,-21.77530555,-92.07992454,Memorial Hermann Health Insurance Company,TX,No,-6534006.97,101057,28882609,37658317,285.8051298,372.6443195,-64.65664892,-86.83918976,-151.4958387
76,77060,UnitedHealthcare Insurance Company,WV,No,-319954.48,5479,3215015.33,1530293.29,586.7887078,279.3015678,-58.39651031,307.48714,249.0906297,United Healthcare Insurance Company,WV,No,-100035.49,5374,2761086.81,1370398.57,513.7861574,255.0053163,-18.61471716,258.7808411,240.1661239,UnitedHealthcare Insurance Company,WV,No,-532150.18,7600,3654943.05,2606654.39,480.9135592,342.9808408,-70.01976053,137.9327184,67.91295789
275,17210,Aetna Life Insurance Company,NY,No,-62207250.53,1109892,505730239.4,381421303.4,455.6571625,343.6562327,-56.04802137,112.0009298,55.95290845,Aetna Life Insurance Company,NY,No,-92687139.68,1393628,669348068.4,518466747.8,480.2917769,372.026644,-66.5078053,108.2651329,41.75732758,Aetna Life Insurance Company,NY,No,-70076905.13,1218096,664503835.2,509164867.6,545.5266541,418.0006072,-57.52987049,127.5260469,69.99617639
390,99969,Medical Health Insuring Corp. of Ohio,OH,No,-614504.61,11141,5530235,4164069.93,496.385872,373.7608769,-55.15704246,122.6249951,67.46795261,Medical Health Insuring Corp. of Ohio,OH,No,98427.31,8726,4653275.09,3716645.71,533.2655386,425.9277687,11.27977424,107.3377699,118.6175441,Medical Mutual of Ohio,OH,No,32533.18,3087,1899545,1068771.609,615.3368967,346.2169125,10.53876903,269.1199841,279.6587532
95,44113,"Empire HealthChoice Assurance, Inc.",NY,No,-2505396.9,45872,18096008.15,16409151.55,394.4891906,357.7160697,-54.6171281,36.77312086,-17.84400724,"Empire HealthChoice Assurance, Inc.",NY,No,-1060038.06,21074,9869593.625,4500368.13,468.3303419,213.5507322,-50.30075259,254.7796097,204.4788571,"Empire HealthChoice Assurance, Inc.",NY,No,-2065584.77,177543,94066131.65,74265972.06,529.8216863,418.2985083,-11.63427885,111.523178,99.88889914
33,58239,"UnitedHealthcare Plan of the River Valley, Inc.",IL,No,-217997.08,4096,2022907.77,917024.02,493.8739673,223.8828174,-53.22194336,269.9911499,216.7692065,"United Healthcare Plan of the River Valley, Inc.",IL,No,-586082.45,5641,2473639.79,1432218.21,438.5108651,253.8943822,-103.8969066,184.6164829,80.71957632,"UnitedHealthcare Plan of the River Valley, Inc.",IL,No,-646169.48,10936,4348633.41,3055712.04,397.6438744,279.4177067,-59.08645574,118.2261677,59.13971196
375,56184,"MVP Health Plan, Inc.",NY,Yes,-2812217.01,54533,20923969,17674908,383.6937084,324.113986,-51.56908679,59.57972237,8.010635578,"MVP Health Plan, Inc.",NY,Yes,-2504923.46,38763,15304976,12393182.31,394.8346619,319.7167998,-64.62150659,75.11786214,10.49635555,MVP Health Care Inc.,NY,Yes,-2074437.38,38016,16207569,12643948,426.335464,332.5954335,-54.56748159,93.74003051,39.17254893
501,41094,"Hometown Health Plan, Inc.",NV,Yes,-275961.08,5401,2651042,1387802,490.8428069,256.9527865,-51.09444177,233.8900204,182.7955786,"Hometown Health Plan, Inc.",NV,Yes,-535962.57,14567,6374157,4938690,437.5751356,339.0327452,-36.79292716,98.54239033,61.74946317,Hometown Health Plan Inc,NV,Yes,-761267.17,11068,4367935.01,1827859,394.645375,165.1480846,-68.78091525,229.4972904,160.7163751
344,22444,Geisinger Health Plan,PA,Yes,-6627591.76,138239,54259996.37,50446013.96,392.5086001,364.9188287,-47.94299554,27.58977141,-20.35322413,Geisinger Health Plan,PA,Yes,-2139258.77,189426,82228901.08,74557604.08,434.0951141,393.5975214,-11.29337456,40.49759273,29.20421816,Geisinger Health Plan,PA,Yes,-2263959.52,156204,77872314.84,63961869.41,498.5295821,409.4765141,-14.49360785,89.05306798,74.55946013
220,77150,"Health First Insurance, Inc.",FL,No,-391901.29,8198,3194902.455,2369224.028,389.7173036,289.0002474,-47.80449988,100.7170562,52.91255636,"Health First Insurance, Inc.",FL,No,-210737.71,6960,3046065.127,2267265.783,437.6530355,325.756578,-30.27840661,111.8964575,81.61805086,Health First Insurance,FL,No,-315764.28,5052,2209936.28,1330132.177,437.4379018,263.2882377,-62.5028266,174.1496641,111.6468375
311,76680,"HMO Colorado, Inc., dba HMO Nevada",CO,No,-860371.91,18150,7372858.057,4445705.824,406.2180748,244.9424696,-47.40341102,161.2756051,113.8721941,HMO Colorado Inc.(Anthem BCBS),CO,No,-1803127.62,22133,7827837.54,5878721.06,353.6726851,265.6088673,-81.46783626,88.06381783,6.595981566,HMO Colorado Inc(Anthem BCBS),CO,No,-5766680.6,56858,23571257.33,15482642.13,414.5636028,272.3036711,-101.4225017,142.2599318,40.83743009
108,79881,"UnitedHealthcare of New England, Inc.",RI,No,-1100658.25,24434,9072871.53,7573584.83,371.3215818,309.9609082,-45.04617541,61.36067365,16.31449824,"United Healthcare of New England, Inc.",RI,No,-4145329.17,52255,20036978.72,13911936.86,383.4461529,266.2316881,-79.32885217,117.2144648,37.88561267,"UnitedHealthcare of New England, Inc.",RI,No,-3847407.2,41303,17532789.02,11834233.35,424.4919018,286.5223676,-93.15079292,137.9695342,44.81874125
32,86443,"Innovation Health Plan, Inc.",VA,No,-2752451.2,62394,20586420.74,12982772.19,329.942314,208.0772541,-44.11403661,121.8650599,77.75102334,"Innovation Health Plan, Inc.",VA,No,-5954916.7,128993,45211993.3,27568706.18,350.4995876,213.722498,-46.16465002,136.7770896,90.61243959,"Innovation Health Plan, Inc.",VA,No,-6490772.52,143128,51808377.8,35697458.98,361.972345,249.4093328,-45.34942513,112.5630123,67.21358714
426,80519,"Empire HealthChoice HMO, Inc.",NY,No,-7974099.79,185458,80754379.43,50591661.15,435.4321702,272.7930914,-42.99679599,162.6390788,119.6422828,"Empire HealthChoice HMO, Inc.",NY,No,1170127.82,70270,33211156.05,20463147.15,472.6221154,291.2074449,16.65188302,181.4146706,198.0665536,"Empire HealthChoice HMO, Inc.",NY,No,659191.77,62745,31852470.02,25545940.47,507.6495341,407.1390624,10.50588525,100.5104718,111.016357
73,32378,Aetna Life Insurance Company,IN,No,-649454.74,15430,7342908.6,5211409.83,475.8851977,337.7452903,-42.09039145,138.1399073,96.04951588,Aetna Life Insurance Company,IN,No,-313624,12914,6910090.6,4423229.93,535.0852253,342.5143201,-24.28558154,192.5709052,168.2853237,Aetna Life Insurance Company,IN,No,-325097.82,4211,2418331.72,1443761.2,574.289176,342.8547138,-77.20204702,231.4344621,154.2324151
510,90010,Tufts Associated Health Maintenance Org,RI,Yes,-192657.68,4580,1992328,1332013,435.0061135,290.8325328,-42.06499563,144.1735808,102.1085852,Tufts Associated Health Maintenance Org,RI,Yes,-974465.99,8254,3614465,3061817,437.9046523,370.949479,-118.0598486,66.95517325,-51.10467531,Tufts Associated Health Maintenance Organization Inc.,RI,Yes,-1612343.09,16071,6846070,4928622,425.9890486,306.6779914,-100.3262454,119.3110572,18.98481177
479,24301,Medical Associates Health Plans,IL,No,-131881.33,3342,1553713,1105709,464.9051466,330.8524835,-39.46179832,134.0526631,94.59086475,Medical Associates Health Plans,IL,No,-348670.8,3436,1083081,816919,315.2156577,237.7529104,-101.4757858,77.46274738,-24.01303842,Medical Associates Health Plans,IL,No,-171931.5,2769,1145358,1025040,413.6359697,370.184182,-62.0915493,43.45178765,-18.63976165
193,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,Yes,-1598160.33,47595,17251303,13050697,362.4604055,274.2031096,-33.57832398,88.25729593,54.67897195,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,Yes,-2940128.99,47724,18069606,12660973,378.6272316,265.2957212,-61.60692712,113.3315104,51.72458323,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",DC,Yes,-1659851.69,46433,17804041,12244483,383.4350785,263.702173,-35.74724205,119.7329055,83.98566343
107,49650,UnitedHealthcare Insurance Company,CT,No,-267093.84,8132,3692360.4,2558128.85,454.0531727,314.5756087,-32.84479095,139.4775639,106.632773,United Healthcare Insurance Company,CT,No,-291961.23,6305,2241747.24,1839781.92,355.5507121,291.797291,-46.30630135,63.75342109,17.44711975,UnitedHealthcare Insurance Company,CT,No,-125543.67,9082,4136607.52,3912631.84,455.4731909,430.8116979,-13.82335058,24.66149306,10.83814248
30,48788,Inter-County Hospital Plan,PA,Yes,-818247.52,25732,6239615,4909378,242.4846495,190.7888233,-31.79883103,51.69582621,19.89699518,Inter-County Hospital Plan,PA,Yes,-508919.29,15714,4266442,4082860,271.505791,259.8230877,-32.38636184,11.68270332,-20.70365852,AmeriHealth Administrators,PA,Yes,-455847.71,6763,1963847,1921569,290.3810439,284.1296762,-67.40318054,6.251367736,-61.1518128
205,97596,Humana Insurance Company,OH,No,-210554.64,6861,3193495.145,1507129.33,465.4562229,219.6661318,-30.68862265,245.7900911,215.1014684,Humana Insurance Company,OH,No,-114966.92,6566,3085447.75,1380499.993,469.9128465,210.2497705,-17.5094304,259.663076,242.1536456,Humana Insurance Company,OH,No,-384160.46,4216,2180993.91,887180.3125,517.313546,210.4317629,-91.1196537,306.8817831,215.7621294
266,20126,HealthSpan Integrated Care,OH,Yes,-3621911.77,122878,39433822,40932205,320.9184883,333.1125588,-29.47567319,-12.19407054,-41.66974373,HealthSpan Integrated Care,OH,Yes,-6425628.16,57189,21773522.4,16425937.36,380.7292032,287.2219721,-112.3577639,93.50723111,-18.85053279,HealthSpan Integrated Care,OH,Yes,-4189027.32,25223,10670185.4,7469172.614,423.0339531,296.1254654,-166.0796622,126.9084877,-39.17117448
498,58658,UnitedHealthcare Ins Co of River Valley,NC,No,-1228032.54,41766,16012137.78,13684867.68,383.3773352,327.6556931,-29.40268496,55.72164201,26.31895705,United Healthcare Ins Co of River Valley,NC,No,-1453280.86,71992,31368357.96,24481015.24,435.7200517,340.0518841,-20.18669936,95.66816757,75.48146822,UnitedHealthcare Insurance Company of the River Valley,NC,No,-2599069.46,163393,71619877.24,53229000.55,438.3289201,325.7728333,-15.90685929,112.5560868,96.64922751
436,39424,"Moda Health Plan, Inc.",OR,No,-4604925.33,158096,58520603,43367321,370.1586568,274.3100458,-29.12739936,95.84861097,66.72121161,"Moda Health Plan, Inc.",OR,No,-1070895.13,210844,82842827,78877226,392.9105263,374.1023031,-5.079087524,18.80822314,13.72913562,Moda Health Plan Inc,OR,No,-972379.63,172012,72018084.18,68769595.64,418.6805815,399.7953378,-5.652975548,18.8852437,13.23226816
247,91058,"Gundersen Health Plan, Inc.",WI,Yes,-2319871.19,81062,33051284,29389650,407.7284548,362.5576719,-28.61847956,45.17078286,16.5523033,"Gundersen Health Plan, Inc.",WI,Yes,-6517699.11,62022,25188973.48,19847017.25,406.1296553,319.9996332,-105.0868903,86.13002209,-18.95686821,"Gundersen Health Plan, Inc.",WI,Yes,-4956513.34,61486,26233162.18,17772139.87,426.6526068,289.0436826,-80.61206356,137.6089241,56.99686059
43,99129,Aetna Health Inc. (a PA corp.),IL,No,-370976.96,14005,5961175.85,4640770.74,425.6462585,331.3652795,-26.48889397,94.28097894,67.79208497,Aetna Health Inc. (a PA corp.),IL,No,-313297.56,9173,4211168.25,3324887.2,459.0829881,362.4645372,-34.15431811,96.61845089,62.46413278,Aetna Health Inc. (a PA corp.),IL,No,6614.37,5749,2755492.16,2111142.04,479.2993842,367.2190016,1.150525309,112.0803827,113.230908
128,20523,Aetna Health of California Inc.,CA,No,-23489767.02,919142,311994722.1,238168183.8,339.4412638,259.1201183,-25.55618938,80.32114548,54.7649561,Aetna Health of California Inc.,CA,No,-55802137.54,1022238,337262208.9,248828172.4,329.9253294,243.4151072,-54.58820504,86.51022218,31.92201714,Aetna Health of California Inc.,CA,No,-30584653.01,1007899,369272980.2,263163402.5,366.3789529,261.100966,-30.34495819,105.2779869,74.9330287
467,65817,"UnitedHealthcare of Arkansas, Inc.",AR,No,-112065.94,4501,2477584.3,1344622.33,550.4519662,298.7385759,-24.89800933,251.7133904,226.815381,"United Healthcare of Arkansas, Inc.",AR,No,-578563.2,12604,4974702.45,2760652.33,394.6923556,219.029858,-45.90314186,175.6624976,129.7593558,"UnitedHealthcare of Arkansas, Inc.",AR,No,-602953.44,36280,14402452.69,12342709.48,396.9805041,340.2069868,-16.61944432,56.77351736,40.15407304
182,29497,Aetna Life Insurance Company,DE,No,-77166.51,3228,1154242.05,877129.85,357.5718866,271.7254802,-23.90536245,85.84640644,61.94104399,Aetna Life Insurance Company,DE,No,-241246.17,4936,2180852.59,1873959.61,441.8258894,379.6514607,-48.87483185,62.17442869,13.29959684,Aetna Life Insurance Company,DE,No,-609891.66,9415,4222229.82,2707148.92,448.457761,287.5357323,-64.77872119,160.9220287,96.14330749
520,89498,"UnitedHealthcare Plan of the River Valley, Inc.",VA,No,-369338.77,15726,6430540.18,4791656.91,408.9113684,304.6964842,-23.48586863,104.2148843,80.72901564,"United Healthcare Plan of the River Valley, Inc.",VA,No,-539063.52,6217,2755891.54,1406616.71,443.2831816,226.253291,-86.70798134,217.0298906,130.3219093,"UnitedHealthcare Plan of the River Valley, Inc.",VA,No,166643.3,5704,2440769.59,1757148.49,427.9049071,308.0554856,29.2151648,119.8494215,149.0645863
53,60769,Federated Mutual Insurance Company,MN,No,-2090475.15,90677,36099220.63,26063816.38,398.1077961,287.4358038,-23.05408373,110.6719923,87.61790862,Federated Mutual Insurance Company,MN,No,-4702535.67,68440,29489545.22,22236970.21,430.8817244,324.9118967,-68.71034001,105.9698277,37.25948773,Federated Mutual Insurance Company,MN,No,-5042388.92,90934,35584458.65,29553556.05,391.321823,325.0000665,-55.45108452,66.32175644,10.87067192
54,60829,Physicians Health Plan,MI,Yes,-681491.41,30328,13592861,10021138,448.1951002,330.4252836,-22.47070067,117.7698167,95.299116,Physicians Health Plan,MI,Yes,-665160.05,49137,19581136.95,16175986.99,398.5008639,329.2017622,-13.53684698,69.2991017,55.76225472,Physicians Health Plan,MI,Yes,-1332750.39,55961,21911773.88,17520859.07,391.5543661,313.0905286,-23.81570004,78.46383749,54.64813745
253,60156,"HMO Colorado, Inc., dba HMO Nevada",NV,No,-140898.78,6337,1767851.676,1391903.929,278.9729645,219.6471404,-22.2343033,59.32582405,37.09152075,HMO Colorado Inc. dba HMO NV(Anthem BCBS),NV,No,-27406,2284,767013.829,703052.299,335.8204155,307.816243,-11.99912434,28.0041725,16.00504816,HMO Colorado Inc(Anthem BCBS),NV,No,-178229.69,3458,1277010.137,668180.089,369.2915376,193.2273248,-51.54126374,176.0642128,124.5229491
321,26002,SelectHealth,ID,Yes,-1392526.68,64205,16772402,15554924,261.2320224,242.2696675,-21.68875757,18.96235496,-2.726402617,Select Health,ID,Yes,-1382800.26,116813,34270847.25,32234445,293.3821343,275.9491238,-11.83772577,17.43301045,5.595284686,SelectHealth,ID,Yes,-1742435.08,167642,53526475.88,54917014,319.290368,327.5850563,-10.39378604,-8.294688205,-18.68847425
522,64772,Medical Associates Health Plans,WI,Yes,-494521.63,22923,8519390,7298263,371.6524888,318.3816691,-21.57316363,53.2708197,31.69765607,Medical Associates Health Plans,WI,Yes,-696241.56,23051,7553828,7464552,327.7006637,323.8276864,-30.20439721,3.872977311,-26.3314199,Medical Associates Health Plans,WI,Yes,-255930.58,18361,7276945,6300595,396.3261805,343.1509722,-13.93881488,53.17520832,39.23639344
45,40702,"UnitedHealthcare of Arizona, Inc.",AZ,No,-139332.36,6627,2131596.38,1279498.75,321.6532941,193.0736004,-21.02495247,128.5796937,107.5547412,"United Healthcare of Arizona, Inc.",AZ,No,-34081.48,7592,2473540.35,1257745.76,325.8087921,165.6672497,-4.489130664,160.1415424,155.6524117,"UnitedHealthcare of Arizona, Inc.",AZ,No,-1413358.56,21361,6407443.58,3734468.06,299.9599073,174.8264622,-66.16537428,125.1334451,58.96807078
427,91762,AmeriHealth Ins Company of New Jersey,NJ,No,-9401983.1,455609,199850430,158980715.1,438.6446054,348.9411208,-20.63607852,89.70348457,69.06740604,AmeriHealth Ins Company of New Jersey,NJ,No,-7350774.16,444759,213093882,174182433,479.1221358,391.6332958,-16.52754449,87.48884002,70.96129553,AmeriHealth Ins Company of New Jersey,NJ,No,-1777877.29,380580,199571712,160989504,524.3883336,423.0109412,-4.671494272,101.3773924,96.70589813
469,27330,Kaiser Permanente Insurance Company,CA,No,-178446.96,9335,5693815,4101097,609.9426888,439.3247991,-19.11590359,170.6178897,151.5019861,Kaiser Permanente Insurance Company,CA,No,765550.26,9945,5920956,5432660,595.3701357,546.2704877,76.97840724,49.09964806,126.0780553,Kaiser Permanente Insurance Company,CA,No,-331349.12,12242,6385600,5978671,521.6141153,488.3737134,-27.06658389,33.2404019,6.173818004
7,13433,Federated Mutual Insurance Company,VA,No,-385476.13,20490,8487201.45,7069821.169,414.2118814,345.0376364,-18.81289068,69.17424505,50.36135437,Federated Mutual Insurance Company,VA,No,-1377421.98,35885,14798742.63,11030268.79,412.3935525,307.378258,-38.3843383,105.0152944,66.63095611,Federated Mutual Insurance Company,VA,No,602837.69,41280,18188225.16,15980690.88,440.6062297,387.1291395,14.60362621,53.47709012,68.08071633
5,38752,Aetna Life Insurance Company,WI,No,-226568.25,12207,4374916.98,3318319.93,358.3941165,271.8374646,-18.56051855,86.55665192,67.99613337,Aetna Life Insurance Company,WI,No,-3018035.3,51845,20311072.48,19701743.67,391.7653097,380.0124153,-58.21265889,11.7528944,-46.45976449,Aetna Life Insurance Company,WI,No,-2305487.2,99445,40724061.7,37746368.54,409.5134165,379.5703006,-23.18354065,29.94311589,6.759575243
