,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndLossAPMM_2014,IndLossBPMM_2014,SGPremiumPMM_2014,SGCostsPMM_2014,SGRTPMM_2014,SGLossAPMM_2014,SGLossBPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndLossAPMM_2015,IndLossBPMM_2015,SGPremiumPMM_2015,SGCostsPMM_2015,SGRTPMM_2015,SGLossAPMM_2015,SGLossBPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndLossAPMM,IndLossBPMM,SGPremiumPMM,SGCostsPMM,SGRTPMM,SGLossAPMM,SGLossBPMM
10,57860,UnitedHealthcare Insurance Company,SC,,,No,359514.77,2797,86417,1549433.2,1348914.69,38117267.3,25068269.24,553.9625313,482.2719664,,71.69056489,,441.0852876,290.0849282,4.160232015,151.0003594,155.1605914,United Healthcare Insurance Company,SC,,,No,472850.3,2064,66954,1070968.11,846268.33,30442703.73,23671532.62,518.8798983,410.0137258,,108.8661725,,454.6808814,353.5491923,7.062315918,101.1316891,108.194005,UnitedHealthcare Insurance Company,SC,306752.92,565945.16,No,181519.45,7966,57007,3982764.68,5709415.61,26424917.89,21444539.38,499.9704595,716.7230241,71.04508662,-216.7525646,-145.707478,463.538125,376.1737923,3.184160717,87.36433263,90.54849334
11,85266,Hometown Health Providers Ins. Co. Inc.,NV,234356.21,248604.41,No,-318074.62,6053,32964,1609053,2230101,13673183,9729000,265.8273583,368.4290434,41.0712721,-102.6016851,-61.53041302,414.7913785,295.1401529,-9.649151195,119.6512256,110.0020744,Hometown Health Providers Ins. Co. Inc.,NV,217980.45,397248.75,No,-1757923.69,3534,60181,1423220,2103218,24500614,17587180,402.7221279,595.1380872,112.4076825,-192.4159593,-80.00827674,407.1154351,292.2380818,-29.21060949,114.8773533,85.66674382,"Hometown Health Providers Insurance Company, Inc",NV,57350.9,-674631.16,No,-1995391.69,11181,99773,4537475,3729342,38310142,28718895,405.8201413,333.5427958,-60.33728289,72.2773455,11.94006261,383.9730388,287.8423521,-19.99931535,96.13068666,76.13137131
12,23620,UnitedHealthcare Insurance Company,MD,,,No,1556233.82,3219,117747,1680029.72,1316539.32,53417284.63,33712330.83,521.9104442,408.9901584,,112.9202858,,453.6615339,286.3115904,13.21675983,167.3499435,180.5667034,United Healthcare Insurance Company,MD,,,No,1835041.07,2914,162340,1417059.83,1293575.05,67297519.62,48769395.87,486.293696,443.917313,,42.37638298,,414.5467514,300.4151526,11.30369022,114.1315988,125.435289,UnitedHealthcare Insurance Company,MD,,,No,-1895792.87,2632,184073,1333475.87,986947.18,78776087.33,54942950.95,506.6397682,374.9799316,,131.6598366,,427.9611205,298.4845738,-10.29913605,129.4765467,119.1774106
13,72564,"Evergreen Health Cooperative, Inc.",MD,311875.67,-360466.32,Yes,,4194,30240,1725306,2251799.65,10598307,8920395.98,411.3748212,536.9097878,-85.94809728,-125.5349666,-211.4830639,350.4731151,294.9866396,,55.48647553,,"Evergreen Health Cooperative, Inc.",MD,725913.47,-3443885.2,Yes,-20766948.84,47868,192165,15266749,15460626,69622622,51280948,318.9343403,322.9845826,-71.94545834,-4.050242333,-75.99570068,362.3064658,266.8589389,-108.0683207,95.44752686,-12.6207938,Evergreen Health,MD,2540644.79,1224227.52,Yes,-10613469.4,127132,282037,43319182,46154706.49,99797246,87458414.45,340.7417645,363.0455471,9.629578076,-22.3037826,-12.67420453,353.8445169,310.0955352,-37.63147885,43.74898169,6.117502845
14,59158,UnitedHealthcare Insurance Company,WI,,,No,2979572.04,3113,1086472,1736417.03,961523.73,427517191.7,332616870.8,557.7953839,308.8736685,,248.9217154,,393.491219,306.1439879,2.742428742,87.34723113,90.08965987,United Healthcare Insurance Company,WI,,,No,11297157.89,3128,1103277,1710491.76,1118015.09,449328622.5,341659464.4,546.8324041,357.421704,,189.4107001,,407.2672797,309.6769573,10.23963872,97.59032238,107.8299611,UnitedHealthcare Insurance Company,WI,,,No,12017109.32,4441,1060819,2404001.31,2452882.65,452412154.8,349369867.5,541.3198176,552.3266494,,-11.00683179,,426.4744078,329.3397531,11.32814299,97.13465473,108.4627977
15,23489,UnitedHealthcare Insurance Company,PA,,,No,-2928219.72,3954,171118,1761380.53,2071919.42,62245797.95,47766395.47,445.4680147,524.0059231,,-78.53790845,,363.759499,279.143021,-17.11228345,84.61647799,67.50419453,United Healthcare Insurance Company,PA,,,No,-5371431.92,2683,219495,1017074.56,737885.15,83756827,62023448.13,379.0810883,275.0224189,,104.0586694,,381.5887697,282.5733986,-24.47177348,99.01537106,74.54359758,UnitedHealthcare Insurance Company,PA,,,No,-6368539.3,3322,259434,1130375.27,1182640.54,101522000.2,81590633.14,340.2694973,356.0025707,,-15.73307345,,391.3211075,314.4947584,-24.54782064,76.82634913,52.27852849
16,64206,John Alden Life Insurance Company,MT,,,No,-292758.82,7356,14972,1790461,1432390,6010762,4886113,243.401441,194.7240348,,48.6774062,,401.4668715,326.3500534,-19.55375501,75.11681806,55.56306305,John Alden Life Insurance Company,MT,,,No,264897.43,3055,7651,854241,281775,3519073,2169062,279.6206219,92.23404255,,187.3865794,,459.9494184,283.5004575,34.6225892,176.4489609,211.0715501,,,,,,,,,,,,,,,,,,,,,,
17,82824,Aetna Health Inc. (a GA corp.),GA,,,No,-1390717.91,3607,303393,1861258.73,2757745.26,108509725,83199239.46,516.0129554,764.5537178,,-248.5407624,,357.6540164,274.2292652,-4.583882654,83.4247512,78.84086854,Aetna Health Inc. (a GA corp.),GA,,,No,-4486504.66,940354,684990,259367562.6,233200810.6,265701590.1,200469583.3,275.8190666,247.9925758,,27.82649087,,387.8911956,292.6605984,-6.549737456,95.23059723,88.68085978,Aetna Health Inc. (a GA corp.),GA,12594972.21,-49061684.16,No,-5012021.19,1018921,322550,352928824.6,302397410.9,133643356.2,99120132.03,346.3750621,296.7819987,-48.15062616,49.59306335,1.442437186,414.3337659,307.3016029,-15.53874187,107.032163,91.49342111
18,50498,John Alden Life Insurance Company,OH,,,No,6795.41,8221,19820,2072607,993048,5990206,4082335,252.1113003,120.794064,,131.3172363,,302.2303734,205.9704844,0.342856206,96.259889,96.60274521,John Alden Life Insurance Company,OH,,,No,109425.34,5339,10131,1539217,1065907,3803466,2695721,288.2968721,199.6454392,,88.65143285,,375.4284868,266.0863686,10.80104037,109.3421183,120.1431586,,,,,,,,,,,,,,,,,,,,,,
19,20523,Aetna Health of California Inc.,CA,,,No,-23489767.02,4418,919142,2247068.97,3347533.76,311994722.1,238168183.8,508.6167881,757.7034314,,-249.0866433,,339.4412638,259.1201183,-25.55618938,80.32114548,54.7649561,Aetna Health of California Inc.,CA,,,No,-55802137.54,2133,1022238,804160.83,1476307.62,337262208.9,248828172.4,377.0092968,692.1273418,,-315.118045,,329.9253294,243.4151072,-54.58820504,86.51022218,31.92201714,Aetna Health of California Inc.,CA,,,No,-30584653.01,293,1007899,86943.05,3121174.22,369272980.2,263163402.5,296.733959,10652.47174,,-10355.73778,,366.3789529,261.100966,-30.34495819,105.2779869,74.9330287
20,50313,John Alden Life Insurance Company,GA,,,No,159888.81,8512,7460,2261645,566719,3237177,2360746,265.7007754,66.57882989,,199.1219455,,433.9379357,316.4538874,21.43281635,117.4840483,138.9168646,John Alden Life Insurance Company,GA,,,No,123868.75,6138,4070,1688342,1012820,1773738,1339869,275.0638645,165.008146,,110.0557185,,435.8078624,329.2061425,30.43458231,106.6017199,137.0363022,,,,,,,,,,,,,,,,,,,,,,
21,95074,John Alden Life Insurance Company,IN,,,No,-124424.43,9516,10937,2263435,2807514,5063311,4434742,237.8557167,295.0308953,,-57.17517865,,462.952455,405.480662,-11.37646795,57.471793,46.09532504,John Alden Life Insurance Company,IN,,,No,-241241.52,6522,5735,1705257,1170953,2726359,1693821,261.4622815,179.5389451,,81.9233364,,475.3895379,295.3480384,-42.06478117,180.0414996,137.9767184,,,,,,,,,,,,,,,,,,,,,,
22,92476,UnitedHealthcare Ins Co of Illinois,IL,,,No,-700664.41,3578,863764,2297926.08,1470998.13,360858990.5,270440971.7,642.2375852,411.1230101,,231.1145752,,417.7749831,313.0959055,-0.811175749,104.6790776,103.8679019,United Healthcare Ins Co of Illinois,IL,,,No,4056740.92,3303,721188,1841854.78,1709451.63,320581905.6,238884399.2,557.630875,517.5451499,,40.0857251,,444.51919,331.2373462,5.625081005,113.2818438,118.9069249,UnitedHealthcare Insurance Company of Illinois,IL,,,No,2021972.27,4115,679217,2205124.3,1333436.43,312306520.4,224150350.2,535.874678,324.0428748,,211.8318032,,459.8037452,330.0128681,2.976916464,129.7908771,132.7677936
23,95426,UnitedHealthcare Insurance Company,MO,,,No,-342820.74,4617,542131,2318002.6,1602444.49,210271035,152426842.1,502.0581763,347.07483,,154.9833463,,387.8601943,281.1623798,-0.632357751,106.6978146,106.0654568,United Healthcare Insurance Company,MO,,,No,2802884.9,4821,629836,2245406.86,1630747.4,254489132.8,179174109.7,465.7554159,338.2591579,,127.496258,,404.0561873,284.4774032,4.450182111,119.5787842,124.0289663,UnitedHealthcare Insurance Company,MO,,,No,6325614.34,6660,671313,3200237.21,2614594.4,286402473.3,213611173.3,480.5160976,392.5817417,,87.93435586,,426.63031,318.1990715,9.422749656,108.4312385,117.8539881
24,16322,"UPMC Health Options, Inc.",PA,24575.39,-3587.19,No,3575646.12,7694,1607798,2395450,4487507.78,518145766,500987872.1,311.3400052,583.2476969,-0.466232129,-271.9076917,-272.3739238,322.2704382,311.5987656,2.223939898,10.67167262,12.89561252,"UPMC Health Options, Inc.",PA,17829957.2,-3105783.44,No,5913428.11,630940,1517618,170872680.9,215887269.2,546001670,502596043.4,270.8223934,342.1676692,-4.922470346,-71.34527578,-76.26774612,359.775431,331.1742767,3.896519486,28.60115431,32.4976738,UPMC Health Options,PA,18516908.47,-5211297.35,No,12239314.33,1322261,1436131,409160383.5,470210509,537174565.7,496663255.4,309.4399544,355.6109641,-3.941201737,-46.17100973,-50.11221147,374.0428733,345.8342278,8.522421931,28.20864552,36.73106745
25,85757,UnitedHealthcare Insurance Company,OK,,,No,-2256892.13,5172,266759,2397455.93,1675496.72,104129211.4,73098139.59,463.5452301,323.9552823,,139.5899478,,390.3493843,274.0231429,-8.460416068,116.3262413,107.8658253,United Healthcare Insurance Company,OK,,,No,-144362.05,4882,236945,2116229.78,1474239.28,95531819.51,66943909.77,433.4759893,301.9744531,,131.5015363,,403.1814113,282.5293202,-0.609263964,120.6520912,120.0428272,UnitedHealthcare Insurance Company,OK,,,No,-331381.33,4726,217288,2060557.22,1600365.71,92012752.97,65708381.35,436.0044901,338.6300698,,97.37442023,,423.4598918,302.4022558,-1.525078835,121.057636,119.5325572
26,79970,John Alden Life Insurance Company,MI,,,No,-155335.89,11153,26951,2424175,1637389,8659416,5401249,217.3563167,146.8115305,,70.54478616,,321.3022151,200.4099662,-5.763641052,120.8922489,115.1286078,John Alden Life Insurance Company,MI,,,No,-25243.15,7574,19937,1778772,989333,6839448,5098752,234.8523898,130.6222604,,104.2301294,,343.053017,255.7431911,-1.266145859,87.30982595,86.04368009,,,,,,,,,,,,,,,,,,,,,,
27,49221,John Alden Life Insurance Company,MO,,,No,-89587.28,10684,7490,2430469,1316404,2776683,2409498,227.4868027,123.2126544,,104.2741483,,370.7186916,321.6953271,-11.96091856,49.02336449,37.06244593,John Alden Life Insurance Company,MO,,,No,30517.37,7379,4995,1713773,1357051,1864189,665839,232.2500339,183.907169,,48.34286489,,373.211011,133.3011011,6.109583584,239.9099099,246.0194935,,,,,,,,,,,,,,,,,,,,,,
28,69347,UnitedHealthcare Insurance Company,NC,,,No,-15874.11,4295,477146,2437777.47,2297875.26,142268574,94632279.98,567.5849756,535.011702,,32.57327357,,298.1657061,198.3298193,-0.033268874,99.83588675,99.80261788,United Healthcare Insurance Company,NC,,,No,-2306736.6,3025,443252,1825650.49,1357995.77,128596815.4,81484749.47,603.5208231,448.9242215,,154.5966017,,290.1212299,183.8339127,-5.204120004,106.2873172,101.0831972,UnitedHealthcare Insurance Company,NC,,,No,-2779689.38,3239,541960,1690554.87,748514.99,144417632.3,99284453.45,521.9372862,231.0944705,,290.8428157,,266.472862,183.1951684,-5.128956713,83.27769365,78.14873694
29,99389,"Community Care of Oregon, Inc.",OR,447174.74,961182.24,Yes,-356550.41,7206,3550,2482923.61,5249096.959,1279194.69,533071.7344,344.5633653,728.4342158,133.386378,-383.8708505,-250.4844725,360.3365324,150.1610519,-100.4367352,210.1754805,109.7387452,"Community Care of Oregon, Inc.",OR,4781867.05,401324.32,Yes,-1315272.66,101241,29172,32382491.22,47794308.61,10666166.56,8395097,319.8555054,472.0845172,3.964049348,-152.2290119,-148.2649625,365.6302811,287.7792746,-45.08681818,77.85100644,32.76418826,"Community Care of Oregon, Inc.",OR,1426141.65,-2371948.67,Yes,-3515859.4,78796,41951,22002270.73,26359133.74,14583747.42,14033405.26,279.2308078,334.5237543,-30.10239949,-55.29294647,-85.39534596,347.6376587,334.5189688,-83.80871493,13.1186899,-70.69002503
30,57637,Medica Insurance Company,WI,,,No,-890267.24,12941,87023,2668847.69,1645106.38,37000455.77,27878822.3,206.2319519,127.1235901,,79.1083618,,425.1801911,320.3615401,-10.23025223,104.818651,94.58839881,Medica Insurance Company,WI,,,No,355871.33,9384,84479,2131433.75,1542374.93,38410005.37,35230574.46,227.1348838,164.3622048,,62.77267903,,454.6692713,417.0335167,4.212541933,37.63575457,41.8482965,Medica Insurance Company,WI,,,No,-1998867.88,7817,77183,1938508.43,1088224.095,38553135.46,31448421.7,247.986239,139.2124978,,108.7737412,,499.5029405,407.4526994,-25.89777386,92.05024112,66.15246725
31,49116,UHC of California,CA,,,No,-2215283.01,5622,407230,2881887.45,3398138.4,165917239.2,121360012.6,512.6089381,604.4358591,,-91.82692102,,407.428822,298.0134386,-5.439881664,109.4153834,103.9755018,UHC of California,CA,,,No,-1290603.41,3275,403312,1498719.36,2149910.87,170708196.7,124249203,457.6242321,656.4613344,,-198.8371023,,423.2658505,308.0721699,-3.200012422,115.1936806,111.9936682,UHC of California,CA,,,No,-15840917.19,4715,752476,2295597.16,2683968.02,313299507.8,236566313.5,486.8710838,569.2403012,,-82.36921739,,416.3581401,314.3838654,-21.05172416,101.9742747,80.9225505
32,57020,John Alden Life Insurance Company,IL,,,No,183726.24,9135,13747,2898110,2057822,5707329,3500818,317.2534209,225.2678708,,91.98555008,,415.1690551,254.6605077,13.36482433,160.5085473,173.8733716,John Alden Life Insurance Company,IL,,,No,-167167.35,5992,7613,2096598,1271982,3437978,2654552,349.8995327,212.2800401,,137.6194927,,451.5930645,348.6867201,-21.95814396,102.9063444,80.94820045,,,,,,,,,,,,,,,,,,,,,,
33,28218,Time Insurance Company,ID,510134.56,192936.56,No,,11748,12822,2983605,2713434,2707488,2385401,253.9670582,230.9698672,16.42292816,22.99719101,39.42011917,211.1595695,186.0396974,,25.11987209,,Time Insurance Company,ID,199027.79,137386.95,No,-45007.5,7920,11596,2280755,1914234,2872719,3062786,287.9741162,241.6962121,17.34683712,46.27790404,63.62474116,247.733615,264.1243532,-3.881295274,-16.39073819,-20.27203346,,,,,,,,,,,,,,,,,,,,,,
34,81413,Network Health Plan,WI,0,17211.06,No,-5824.29,18001,171588,3010754,1918512.432,49861846,49760491.52,167.2548192,106.578103,0.956116882,60.67671618,61.63283306,290.5905192,289.999834,-0.033943458,0.590685129,0.556741672,Network Health Plan,WI,24525.62,294393.41,No,-54663.83,14440,129581,2243847,1580270,45933435,33852592,155.3910665,109.4369806,20.38735526,45.95408587,66.34144114,354.4766208,261.2465716,-0.421850657,93.23004916,92.8081985,Network Health Plan,WI,1548847.3,1897726.68,No,-3546.19,55987,108312,22776443,25842938.9,39863683,28845072.63,406.816636,461.5882062,33.89584511,-54.77157019,-20.87572508,368.044935,266.3146524,-0.032740509,101.7302826,101.6975421
