,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndReinsPMM_2014,IndLossAPMM_2014,IndLossBPMM_2014,IndLossCPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndReinsPMM_2015,IndLossAPMM_2015,IndLossBPMM_2015,IndLossCPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Not-For-Profit:,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndReinsPMM,IndLossAPMM,IndLossBPMM,IndLossCPMM
308,92815,Local Initiative Health Authority for Los Angeles County,CA,347123.67,-31742828.09,Yes,240012,66111108,47084780,275.4491775,196.1767745,-132.2551709,1.446276311,79.27240305,-52.9827679,-51.53649159,Local Initiative Health Authority for Los Angeles County,CA,173346.94,-23491264.75,Yes,187043,57736325.1,33021025.18,308.6794218,176.542427,-125.592857,0.926775875,132.1369948,6.544137819,7.470913694,Local Initiative Health Authority for Los Angeles County,CA,24557.63,-12354890.24,Yes,127728,44046851.51,27395497.21,344.8488312,214.4830985,-96.72812727,0.192265048,130.3657327,33.63760538,33.82987043
91,45786,Molina Healthcare of Texas,TX,973697.67,722999.82,No,12642,4804046,4692447,380.0068027,371.1791647,57.19030375,77.02085667,8.827638032,66.01794178,143.0387984,Molina Healthcare of Texas,TX,2013053.67,-4116190.69,No,154159,53436933,33378968,346.6351819,216.5229925,-26.70094312,13.05829481,130.1121894,103.4112462,116.4695411,"Molina Healthcare of Texas, Inc.",TX,4075833.89,-125970565.3,No,1338209,416288416,213949014,311.0787747,159.8771298,-94.13370057,3.045737915,151.2016449,57.06794432,60.11368223
376,23841,Aetna Life Insurance Company,FL,32190446.23,20415906.73,No,409905,152776589.5,175865983.9,372.7121882,429.040836,49.80643498,78.53147981,-56.32864786,-6.522212879,72.00926693,Aetna Life Insurance Company,FL,731464.13,-2790586.53,No,34529,12535255.49,10352181.89,363.0355785,299.811228,-80.81863159,21.18405196,63.22435055,-17.59428104,3.589770917,Aetna Life Insurance Company,FL,184616.94,-1657914.8,No,17849,7536015.89,6111808.46,422.2094173,342.4174161,-92.88558463,10.34326517,79.79200123,-13.09358339,-2.750318225
58,41047,Buckeye Community Health Plan,OH,311415.92,-154350.05,No,7133,2518182.674,2129377.596,353.0327596,298.5248277,-21.63886864,43.6584775,54.50793187,32.86906323,76.52754073,Buckeye Community Health Plan,OH,649923.9,-6141372.01,No,63391,20472680.63,11338993.88,322.9587896,178.8738761,-96.8808192,10.25262103,144.0849135,47.20409427,57.45671531,Buckeye Community Health Plan,OH,1056417.74,-9939903.66,No,109311,35356283.7,23613412.35,323.4467135,216.0204586,-90.93232758,9.664331495,107.4262549,16.49392733,26.15825882
40,85736,UCare Minnesota,MN,311887.29,927744.9,Yes,5906,2027827.07,2734688,343.3503336,463.0355571,157.0851507,52.80854893,-119.6852235,37.39992719,90.20847613,UCare Minnesota,MN,1959663.44,-5906132.97,Yes,115591,26968684.88,29837423,233.3112862,258.1292921,-51.09509365,16.95342579,-24.8180059,-75.91309955,-58.95967376,UCare Minnesota,MN,1552756.08,-16539135,Yes,192341,52833255.37,41266848,274.6853524,214.5504495,-85.98860877,8.072933384,60.13490296,-25.85370581,-17.78077243
85,53789,Keystone Health Plan Central,PA,1122656.96,238390.33,No,12894,3961366,4682943,307.2255313,363.1877617,18.48846983,87.06816814,-55.96223049,-37.47376066,49.59440748,Keystone Health Plan Central,PA,1234878.34,298016.86,No,30665,8559182,9790442,279.1189304,319.2708952,9.718469265,40.26996054,-40.15196478,-30.43349552,9.836465025,Keystone Health Plan Central,PA,5430422.97,-35510815.31,No,413276,139777767,128350976,338.2189312,310.5696339,-85.9251815,13.13994273,27.64929732,-58.27588418,-45.13594145
279,60612,"Kaiser Foundation Health Plan, Inc.",HI,4687278.77,-10430372.26,Yes,185604,47878943,49630666,257.9628833,267.4008427,-56.19691526,25.25419048,-9.437959311,-65.63487457,-40.38068409,"Kaiser Foundation Health Plan, Inc.",HI,5420682.06,-15467100.5,Yes,226746,61802512,67622713,272.5627442,298.2311176,-68.21333342,23.90640655,-25.66837342,-93.88170684,-69.97530029,"Kaiser Foundation Health Plan, Inc.",HI,2908866.08,-16511893.77,Yes,192607,67825946,69226372,352.1468379,359.4177366,-85.72841989,15.10259793,-7.270898773,-92.99931866,-77.89672073
153,57165,"Affinity Health Plan, Inc.",NY,464860.5,-2141766.08,No,23258,10718293.95,9224831,460.8433206,396.6304497,-92.08728524,19.98712271,64.21287084,-27.8744144,-7.887291685,"Affinity Health Plan, Inc.",NY,2549532.7,-24567668.78,Yes,190900,75887448,42445398,397.5246097,222.3436249,-128.6939171,13.35533106,175.1809848,46.48706768,59.84239874,"Affinity Health Plan, Inc.",NY,1183456.71,-9261635.02,Yes,108233,42411050,37863365,391.8495283,349.8319829,-85.57126773,10.93434267,42.01754548,-43.55372225,-32.61937958
287,85654,HealthPartners Insurance Company,MN,10273153.62,-5217351.16,No,253562,50895000,53127000,200.7201395,209.5227203,-20.57623445,40.51535175,-8.802580828,-29.37881528,11.13653647,HealthPartners Insurance Company,MN,9288091.28,-29118111.14,No,507606,109802000,100347000,216.31344,197.6867886,-57.36360709,18.29783588,18.62665138,-38.73695571,-20.43911983,HealthPartners Insurance Company,MN,6932266.01,-55107410.5,No,667739,188789000,150979000,282.7287308,226.1048104,-82.52836887,10.38170005,56.62392042,-25.90444844,-15.52274839
237,91237,"Healthfirst PHSP, Inc.",NY,4031460.89,-2649557.85,Yes,66274,29370655,29002425,443.1700969,437.613921,-39.97884314,60.83020325,5.556175876,-34.42266726,26.40753599,"Healthfirst PHSP, Inc.",NY,6632379.19,-48556174.15,Yes,401015,161272546.6,107590270.4,402.1608833,268.2948777,-121.0831868,16.53898031,133.8660055,12.78281872,29.32179903,Healthfirst PHSP Inc.,NY,2161266.62,-15553342.32,Yes,189265,71467522,55171149,377.60559,291.5021214,-82.17759396,11.41926199,86.10346868,3.925874726,15.34513671
250,73836,"Moda Health Plan, Inc.",AK,13102419.34,-4806964.11,No,78624,33550284,46525522,426.7181013,591.7470747,-61.13863591,166.6465626,-165.0289733,-226.1676093,-59.52104663,"Moda Health Plan, Inc.",AK,26305543.39,-9415111.19,No,159592,93990086,146808709,588.9398341,919.9001767,-58.99488189,164.8299626,-330.9603426,-389.9552245,-225.1252619,Moda Health Plan Inc,AK,8987021.64,-11418310.77,No,139893,115629307,109150932.7,826.5553459,780.24585,-81.62174498,64.24211104,46.30949583,-35.31224915,28.92986189
318,61836,Coordinated Care Corporation,WA,3216434.39,-24258945.68,No,232541,71555581.14,34938041.98,307.7116773,150.2446535,-104.3211549,13.83168727,157.4670237,53.14586881,66.97755609,Coordinated Care Corporation,WA,4033746.83,-34636348.44,No,335837,102415296.7,52321436.15,304.9553703,155.7941387,-103.1344028,12.01102568,149.1612316,46.02682882,58.03785449,Coordinated Care Corporation,WA,3500298.88,-29664686.35,No,363623,109508323.2,71522097,301.1589564,196.6929952,-81.58088556,9.626175682,104.4659612,22.88507561,32.5112513
117,84014,County of Santa Clara,CA,440556.13,-318460.38,Yes,15120,6988341,6495642,462.1918651,429.6059524,-21.06219444,29.13731019,32.5859127,11.52371825,40.66102844,County of Santa Clara,CA,505318.49,-115235.31,Yes,22876,9807595,8941213,428.7285802,390.8556129,-5.037388967,22.08946013,37.8729673,32.83557834,54.92503847,Valley Health Plan,CA,315872.69,-2983496.65,Yes,36673,17269187,13356316,470.8964906,364.2002563,-81.35403839,8.613221989,106.6962343,25.34219589,33.95541788
163,34102,"Group Health Plan, Inc.",MN,2695282.74,-2650.5,Yes,51252,12629000,15951000,246.4098962,311.226879,-0.051715055,52.58883048,-64.81698275,-64.86869781,-12.27986732,"Group Health Plan, Inc.",MN,4673126.71,-4257609.45,Yes,145243,34215000,40862000,235.5707332,281.3354172,-29.31369808,32.17453998,-45.76468401,-75.07838209,-42.90384211,Group Health Plan Inc,MN,3025814.22,-17682308.21,Yes,228405,66448788,61361000,290.9252775,268.6499858,-77.41646728,13.24758311,22.2752917,-55.14117559,-41.89359248
193,44580,Humana Insurance Company,AL,3343273.21,-983926.61,No,71319,18905173.34,20499199.8,265.079058,287.4297144,-13.79613581,46.87773539,-22.35065635,-36.14679216,10.73094323,Humana Insurance Company,AL,4108536.1,-3473430.83,No,80011,26352276.29,29268855.53,329.3581669,365.8103952,-43.41191624,51.34964067,-36.45222832,-79.86414456,-28.51450388,Humana Insurance Company,AL,2298478.1,-13518890.18,No,174907,63005698.43,59951019.03,360.2239958,342.7594037,-77.29187614,13.14114415,17.46459204,-59.8272841,-46.68613995
310,44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,7813491.4,482642.43,No,264141,66514201.37,61711537.45,251.8132413,233.6310435,1.827215124,29.58075952,18.18219784,20.00941297,49.59017248,"Humana Health Benefit Plan of Louisiana, Inc.",LA,6599758.13,-2526804.46,No,248033,72076866.85,70634494.88,290.5938599,284.7786177,-10.18737208,26.60838731,5.815242206,-4.372129878,22.23625743,"Humana Health Benefit Plan of Louisiana, Inc.",LA,4491146.79,-32450558.97,No,421778,143009162.6,102535993.5,339.062641,243.1041768,-76.93753342,10.64812956,95.95846417,19.02093075,29.66906031
21,59765,BridgeSpan Health Company,ID,712878.62,574321.44,No,4960,1425086,2866986,287.3157258,578.021371,115.7906129,143.7255282,-290.7056452,-174.9150323,-31.18950403,BridgeSpan Health Company,ID,724349.19,-37955.58,No,11749,3156976,5057888,268.7016767,430.4951911,-3.230537067,61.65198655,-161.7935143,-165.0240514,-103.3720649,BridgeSpan Health Company (ID),ID,1020878.6,-6574515.53,No,86364,26986002,25756225,312.4681812,298.228718,-76.12564877,11.82064981,14.2394632,-61.88618556,-50.06553576
37,70239,Health Choice Insurance Co.,AZ,678956.76,-243631.04,No,4697,1812900.71,3639322.68,385.9699191,774.8185395,-51.86949968,144.5511518,-388.8486204,-440.7181201,-296.1669683,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,No,58566,13465931.75,12713287.44,229.9274622,217.0762463,-102.445441,26.34405116,12.85121589,-89.59422515,-63.25017399,Health Choice Insurance Co,AZ,3438514.98,-9159037.15,No,124255,40067897.67,49551786.7,322.4650732,398.7910885,-73.71161845,27.67305123,-76.32601529,-150.0376337,-122.3645825
212,86052,"CareFirst BlueChoice, Inc.",DC,1900356.26,-1007058.65,No,85443,22644314.97,22846546.22,265.0224708,267.3893265,-11.78632129,22.24121648,-2.366855682,-14.15317697,8.088039512,"CareFirst Blue Choice, Inc.",DC,3021555.65,-1630614.05,No,110036,33188114.25,30505235.97,301.6114204,277.2295973,-14.81891426,27.45970092,24.38182304,9.562908775,37.02260969,CareFirst BlueChoice,DC,1167287.99,-7984910.32,No,110621,27910624.1,26359366.05,252.3085499,238.2853712,-72.18259029,10.55213739,14.02317869,-58.15941159,-47.60727421
217,56764,"Humana Medical Plan of Utah, Inc.",UT,3555669.52,-9861880.07,No,119232,23750751.72,24774017.66,199.1977969,207.7799388,-82.71168872,29.82143653,-8.582141875,-91.2938306,-61.47239407,"Humana Medical Plan of Utah, Inc.",UT,2401586.97,-12348265.88,No,150566,32572721,25970854,216.3351686,172.4881713,-82.01231274,15.95039365,43.84699733,-38.16531541,-22.21492176,"Humana Medical Plan of Utah, Inc.",UT,521649.44,-5105680.26,No,75653,19984930.07,16416733.2,264.1657313,217.0004256,-67.48814006,6.895290868,47.16530567,-20.32283439,-13.42754352
238,65598,Coventry Health Care Of Kansas Inc,KS,6787834.35,-5910292.03,No,124536,29541695.56,37457719.59,237.2141032,300.7782456,-47.4585022,54.50499735,-63.56414234,-111.0226445,-56.51764719,Coventry Health Care Of Kansas Inc.,KS,6205764.17,-1458451.11,No,165451,45094200.14,55453253.69,272.5532039,335.1642099,-8.815003294,37.50816961,-62.61100598,-71.42600927,-33.91783966,Coventry Health Care,KS,525206.15,-2303279.85,No,34703,9963149.44,10049247.84,287.0976411,289.5786485,-66.37120278,15.13431548,-2.481007406,-68.85221018,-53.71789471
168,27990,Aetna Life Insurance Company,NV,626982.29,-401883.36,No,54879,13597160.88,10124188.23,247.7661925,184.4820101,-7.32308096,11.42481259,63.28418247,55.96110151,67.3859141,Aetna Life Insurance Company,NV,1532987.48,-7118682.16,No,69307,21101584.96,14683496.19,304.4654214,211.8616617,-102.7123113,22.11879724,92.60375965,-10.10855166,12.01024557,Aetna Life Insurance Company,NV,1381959.06,-4923899.31,No,75300,27246865.02,22211052.61,361.844157,294.9674981,-65.39042908,18.35270996,66.87665883,1.486229748,19.83893971
352,61430,Coventry Health and Life,KS,18150600.47,-10156545.5,No,604296,120717982,136996020.5,199.7663099,226.7035037,-16.80723602,30.03594343,-26.93719386,-43.74442988,-13.70848645,Coventry Health and Life,KS,19219397.06,-18755986.82,No,641288,163491388.5,187931271.1,254.9422233,293.0528422,-29.24736908,29.96999329,-38.11061894,-67.35798802,-37.38799472,Coventry Health and Life,KS,3045695.42,-11830329.41,No,182842,56178091.43,49763626.23,307.2493816,272.1673698,-64.70247213,16.65752628,35.08201179,-29.62046034,-12.96293406
137,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,316474.04,-751505.85,Yes,22353,8802394,8736406,393.7902742,390.8381873,-33.61991008,14.1580119,2.952086968,-30.66782311,-16.50981121,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,493299.21,-1625923.79,Yes,28987,8721639,9746356,300.8810501,336.2319661,-56.09148204,17.01794632,-35.35091593,-91.44239797,-74.42445165,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",DC,152397.44,-1825261.64,Yes,28489,9015097,9548927,316.4413282,335.1794377,-64.06899645,5.349343255,-18.73810945,-82.8071059,-77.45776265
209,67129,Aetna Life Insurance Company,OH,753385.3,-225186.77,No,76066,21993243.17,18301411.54,289.1336888,240.5991053,-2.960412931,9.904363316,48.53458352,45.57417059,55.4785339,Aetna Life Insurance Company,OH,6603468.9,-16376734.46,No,260828,93890790.37,70425596.8,359.972052,270.007809,-62.78748624,25.31733134,89.96424299,27.17675675,52.4940881,Aetna Life Insurance Company,OH,3316193.33,-13600470.61,No,213297,78325737.4,55555485.78,367.2144353,260.4606993,-63.76306563,15.54730413,106.753736,42.99067033,58.53797447
252,90296,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,1405157.3,-2210325.79,Yes,92214,33642176,29825663,364.8272063,323.4396404,-23.96952513,15.23800399,41.38756588,17.41804075,32.65604474,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,4152560.34,-17702319.36,Yes,287296,87409483,83733862,304.2488688,291.455022,-61.61700601,14.45394416,12.79384676,-48.82315925,-34.3692151,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",MD,3816924.66,-29417473.49,Yes,463323,144825293,145144714,312.579546,313.2689592,-63.492366,8.238150621,-0.689413217,-64.18177921,-55.94362859
338,95185,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",VA,6291295.43,-11219947.68,Yes,250366,90029954,78063723,359.5933713,311.7984191,-44.81418276,25.12839375,47.79495219,2.980769434,28.10916319,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",VA,10975922.03,-39306435.97,Yes,591522,204436285,184696053,345.6106197,312.2386877,-66.44966032,18.55539106,33.37193207,-33.07772825,-14.52233719,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",VA,6499213.85,-48146445.67,Yes,760579,243102908,229023660,319.6287407,301.117517,-63.30236,8.545087164,18.51122369,-44.79113632,-36.24604915
296,74289,Oscar Insurance Corporation,NY,17524068.75,-8073821.58,No,150231,58141826.09,69112720.36,387.016169,460.0430028,-53.74271342,116.6474879,-73.02683381,-126.7695472,-10.12205936,Oscar Insurance Corporation,NY,19771125.4,-30977083.32,No,416880,161499087,176497659.2,387.3994603,423.3776127,-74.30695481,47.42641863,-35.97815247,-110.2851073,-62.85868864,Oscar Insurance Corporation,NY,19687058.53,-44218095.76,No,724618,289943882.2,331945630.2,400.1334251,458.0974116,-61.02262952,27.16887868,-57.96398654,-118.9866161,-91.81773739
28,85266,Hometown Health Providers Ins. Co. Inc.,NV,234356.21,248604.41,No,6053,1609053,2230101,265.8273583,368.4290434,41.0712721,38.71736494,-102.6016851,-61.53041302,-22.81304808,Hometown Health Providers Ins. Co. Inc.,NV,217980.45,397248.75,No,3534,1423220,2103218,402.7221279,595.1380872,112.4076825,61.68094228,-192.4159593,-80.00827674,-18.32733447,"Hometown Health Providers Insurance Company, Inc",NV,57350.9,-674631.16,No,11181,4537475,3729342,405.8201413,333.5427958,-60.33728289,5.129317592,72.2773455,11.94006261,17.0693802
283,76680,"HMO Colorado, Inc., dba HMO Nevada",CO,12493994.43,261875.8,No,139712,49887492.56,54875780.77,357.0737844,392.7778628,1.874397332,89.42678102,-35.70407846,-33.82968113,55.59709989,HMO Colorado Inc.(Anthem BCBS),CO,9021034.94,29925.42,No,193986,61543183.63,65114183.23,317.2558001,335.6643429,0.154265875,46.50353603,-18.40854288,-18.25427701,28.24925902,HMO Colorado Inc(Anthem BCBS),CO,6296226.19,-22957774.05,No,381552,136955596.5,107135236.3,358.9434638,280.7880349,-60.16945017,16.5016202,78.15542888,17.98597871,34.48759891
183,81068,Aetna Life Insurance Company,MI,379492.96,-299479.55,No,72567,17555621.12,13181088.99,241.9229281,181.6402633,-4.126938553,5.229552827,60.28266471,56.15572616,61.38527898,Aetna Life Insurance Company,MI,613608.61,-1395523.24,No,29548,9219535.85,7865754.38,312.0189471,266.2025985,-47.22902531,20.7665023,45.81634865,-1.412676662,19.35382564,Aetna Life Insurance Company,MI,526251.2,-1407174.88,No,24391,8459027.85,7486055.48,346.8093908,306.9187602,-57.69238162,21.57563036,39.89063056,-17.80175106,3.7738793
328,12028,Innovation Health Insurance Company,VA,8970576.3,-10851778.45,No,250797,77956385.43,65164565.2,310.834601,259.829923,-43.26917168,35.76827594,51.00467801,7.735506326,43.50378226,Innovation Health Insurance Company,VA,9720705.61,-9421914.58,No,458023,142090442.7,118565881.9,310.2255623,258.8644717,-20.57083286,21.22318226,51.3610906,30.79025774,52.01344,Innovation Health Insurance Company,VA,9072744.96,-39102743.29,No,684153,206541369.6,195031076.9,301.8935378,285.0693878,-57.15496868,13.26128068,16.82415001,-40.33081868,-27.069538
