,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndReinsPMM_2014,IndRCPMM_2014,TotalPA_2014,TotalPB_2014,TotalPC_2014,TotalPD_2014,TotalPE_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndReinsPMM_2015,IndRCPMM_2015,TotalPA_2015,TotalPB_2015,TotalPC_2015,TotalPD_2015,TotalPE_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndReinsPMM,IndRCPMM,TotalPA,TotalPB,TotalPC,TotalPD,TotalPE
10,82506.0,Freedom Life Insurance,IL,57607.05,59844.74,4321.0,968052.0,1273399.0,,224.03425133071048,294.70006942837307,13.84974311501967,13.331879194630874,,-70.6658180976626,-56.816074982642924,-43.48419578801205,,,Freedom Life Insurance,IL,38014.98,26867.72,3229.0,740957.0,602404.0,,229.46949519975226,186.5605450603902,8.320755651904614,11.77298854134407,,42.90895013936205,51.22970579126666,63.00269433261073,,,Freedom Life Insurance Company of America,IL,0.0,48327.14,2435.0,610525.0,558316.0,,250.7289527720739,229.28788501026693,19.846874743326488,0.0,,21.441067761806977,41.287942505133465,41.287942505133465,,
11,84600.0,Aetna Life Insurance Company,KS,,,4206.0,973126.74,433125.62,,231.36631954350926,102.97803613884926,,,,128.38828340466,,,,,Aetna Life Insurance Company,KS,,,2813.0,690716.26,398728.39,,245.54435122644864,141.74489512975472,,,,103.79945609669392,,,,,Aetna Life Insurance Company,KS,,,2217.0,578805.78,419864.08,,261.0761299052774,189.38388813712226,,,,71.69224176815516,,,,
12,79881.0,"UnitedHealthcare of New England, Inc.",RI,,,2469.0,1004880.32,744221.72,,406.9989145402997,301.42637505062777,,,,105.57253948967195,,,,,"United Healthcare of New England, Inc.",RI,205106.29,-1072057.02,14930.0,6471172.88,3626616.76,-167405.98,433.4342183523108,242.90802143335566,-71.80556061620898,13.737862692565304,-11.212724715338245,190.52619691895512,118.72063630274614,132.45849899531146,107.5079115874079,121.24577427997322,"UnitedHealthcare of New England, Inc.",RI,254775.09,-421370.22,18580.0,7376842.78,5593087.51,,397.03136598493006,301.02731485468246,-22.678698600645856,13.712329924650161,,96.0040511302476,73.32535252960174,87.03768245425191,,
13,94720.0,John Alden Life Insurance Company,WI,,,3567.0,1024179.0,356364.0,,287.1261564339781,99.90580319596299,,,,187.22035323801512,,,,,John Alden Life Insurance Company,WI,,,2435.0,731543.0,1070851.0,,300.4283367556468,439.77453798767965,,,,-139.34620123203285,,,,,,,,,,,,,,,,,,,,,,
14,31234.0,CeltiCare Health Plan of MA***,MA,0.0,,2472.0,1090739.163,264952.4377,200779.8161,441.2375254854369,107.18140683656958,,0.0,81.22160845469256,334.0561186488673,,,,,CeltiCare Health Plan of MA,MA,87686.69,,15810.0,6049869.112000001,2862510.953,-292035.5471,382.6609179000633,181.05698627450982,,5.546280202403542,-18.471571606578117,201.60393162555346,,,,,CeltiCare Health Plan of Massachusetts,MA,1877.17,,15471.0,6035656.62,3246383.453,,390.1271165406244,209.83669142266177,,0.12133475534871696,,180.29042511796263,,,,
15,80698.0,John Alden Life Insurance Company,NE,,,4014.0,1111782.0,870915.0,,276.9760837070254,216.9693572496263,,,,60.00672645739908,,,,,John Alden Life Insurance Company,NE,,,2420.0,715408.0,226936.0,,295.62314049586774,93.77520661157025,,,,201.8479338842975,,,,,,,,,,,,,,,,,,,,,,
16,97646.0,Time Insurance Company,NM,205000.0,219541.22,3770.0,1211757.0,1391775.0,,321.4209549071618,369.1710875331565,58.23374535809019,54.37665782493369,,-47.750132625994695,10.483612732095494,64.86027055702918,,,Time Insurance Company,NM,0.0,6670.67,2858.0,933798.0,838772.0,,326.73128061581525,293.482155353394,2.334034289713086,0.0,,33.24912526242127,35.58315955213436,35.58315955213436,,,,,,,,,,,,,,,,,,,,
17,41240.0,John Alden Life Insurance Company,FL,,,3453.0,1287342.0,1027365.0,,372.81841876629016,297.52823631624676,,,,75.2901824500434,,,,,John Alden Life Insurance Company,FL,,,2136.0,835630.0,581247.0,,391.2125468164794,272.1193820224719,,,,119.09316479400752,,,,,,,,,,,,,,,,,,,,,,
18,86382.0,Sunshine State Health Plan,FL,0.0,-198355.63,3460.0,1302976.93,532646.8603,-467947.2514,376.58292774566473,153.94417927745664,-57.328216763005784,0.0,-135.24487034682082,222.6387484682081,165.31053170520232,165.31053170520232,30.065661358381504,30.065661358381504,Sunshine State Health Plan,FL,1184424.15,-26584661.51,187352.0,64261869.35,27042932.65,,343.00071176181734,144.34290880268156,-141.8968653123532,6.321918901319441,,198.65780295913578,56.760937646782565,63.08285654810201,,,,,,,,,,,,,,,,,,,,
19,73893.0,John Alden Life Insurance Company,AZ,,,4129.0,1333099.0,290994.0,,322.86243642528456,70.47565996609349,,,,252.38677645919108,,,,,John Alden Life Insurance Company,AZ,,,2690.0,862943.0,295044.0,,320.7966542750929,109.6817843866171,,,,211.11486988847582,,,,,,,,,,,,,,,,,,,,,,
20,92045.0,Meritus Mutual Health Partners,AZ,1966321.43,800921.39,3529.0,1338745.0,5769734.255,1600832.0,379.35534145650325,1634.948782941343,226.95420515726835,557.189410597903,453.62198923207706,-1255.5934414848398,-1028.6392363275713,-471.4498257296683,-575.0172470954942,-17.82783649759125,Meritus Mutual Health Partners,AZ,3284983.52,-558586.58,37735.0,11365541.0,25838238.0,,301.1936133563005,684.7287133960514,-14.80287743474228,87.05402199549489,,-383.5351000397509,-398.3379774744932,-311.2839554789983,,,,,,,,,,,,,,,,,,,,
21,59765.0,BridgeSpan Health Company,ID,712878.62,574321.44,4960.0,1425086.0,2866986.0,,287.3157258064516,578.021370967742,115.79061290322579,143.72552822580644,,-290.70564516129036,-174.91503225806457,-31.189504032258128,,,BridgeSpan Health Company,ID,724349.19,-37955.58,11749.0,3156976.0,5057888.0,,268.7016767384458,430.4951910800919,-3.230537066984424,61.65198655204698,,-161.79351434164607,-165.0240514086305,-103.37206485658352,,,BridgeSpan Health Company (ID),ID,1020878.6,-6574515.53,86364.0,26986002.0,25756225.0,,312.46818118660553,298.22871798434534,-76.1256487656894,11.820649807790282,,14.239463202260197,-61.88618556342921,-50.065535755638926,,
22,69443.0,UnitedHealthcare Insurance Company,TN,,,3087.0,1504762.63,1154277.21,,487.4514512471655,373.9155199222546,,,,113.5359313249109,,,,,United Healthcare Insurance Company,TN,,,2010.0,972773.15,574155.03,,483.9667412935323,285.64926865671646,,,,198.31747263681586,,,,,UnitedHealthcare Insurance Company,TN,6404602.34,-11876109.92,428878.0,165680680.4,168842762.7,,386.311912478607,393.6848304179743,-27.691114769235075,14.933389775180821,,-7.372917939367312,-35.06403270860238,-20.130642933421562,,
23,25978.0,UnitedHealthcare Insurance Company,VA,,,2971.0,1515240.68,1064726.15,,510.01032648939747,358.3729888926287,,,,151.63733759676876,,,,,United Healthcare Insurance Company,VA,,,2701.0,1400243.25,996189.3,,518.4166049611255,368.82239911144023,,,,149.59420584968524,,,,,UnitedHealthcare Insurance Company,VA,,,3848.0,1987823.29,1007559.33,,516.5860940748441,261.8397427234927,,,,254.74635135135145,,,,
24,59977.0,John Alden Life Insurance Company,NC,0.0,-115565.12,5325.0,1528569.0,870690.0,,287.0552112676056,163.5098591549296,-21.702369953051644,0.0,,123.54535211267603,101.84298215962438,101.84298215962438,,,John Alden Life Insurance Company,NC,0.0,-138633.22,3338.0,1007779.0,550467.0,,301.91102456560816,164.90922708208507,-41.53182144997004,0.0,,137.0017974835231,95.46997603355305,95.46997603355305,,,,,,,,,,,,,,,,,,,,
25,97889.0,Time Insurance Company,DE,512544.5,53220.61,6861.0,1533482.0,1673209.0,,223.5070689403877,243.87246757032503,7.7569756595248505,74.70405188747996,,-20.365398629937317,-12.608422970412466,62.0956289170675,,,Time Insurance Company,DE,101901.86,40682.47,2948.0,986662.0,772875.0,,334.6886024423338,262.1692672998643,13.800023744911805,34.56643826322931,,72.51933514246946,86.31935888738127,120.88579715061059,,,,,,,,,,,,,,,,,,,,
26,43129.0,UnitedHealthcare Life Insurance Company,UT,42356.49,43110.39,7350.0,1533659.0,1057078.33,,208.66108843537415,143.82018095238095,5.865359183673469,5.762787755102041,,64.8409074829932,70.70626666666666,76.4690544217687,,,United Healthcare Life Insurance Company,UT,119171.57,47918.32,4244.0,1430023.97,2386267.14,,336.95192507068805,562.2684118755891,11.290838831291234,28.08001178133836,,-225.31648680490105,-214.0256479736098,-185.94563619227145,,,UnitedHealthcare Life Insurance Company,UT,171226.54,316788.43,3878.0,1449222.67,2421683.0,,373.70362815884477,624.4669932955131,81.68861010830325,44.15331098504384,,-250.76336513666837,-169.07475502836513,-124.92144404332129,,
27,57860.0,UnitedHealthcare Insurance Company,SC,,,2797.0,1549433.2,1348914.69,,553.962531283518,482.27196639256346,,,,71.69056489095459,,,,,United Healthcare Insurance Company,SC,,,2064.0,1070968.11,846268.33,,518.879898255814,410.0137257751938,,,,108.86617248062026,,,,,UnitedHealthcare Insurance Company,SC,306752.92,565945.16,7966.0,3982764.68,5709415.61,,499.9704594526739,716.7230241024354,71.04508661812704,38.50777303540045,,-216.7525646497615,-145.70747803163445,-107.199704996234,,
28,85266.0,Hometown Health Providers Ins. Co. Inc.,NV,234356.21,248604.41,6053.0,1609053.0,2230101.0,,265.8273583347101,368.42904344952916,41.07127209648108,38.71736494300347,,-102.60168511481908,-61.530413018337995,-22.813048075334528,,,Hometown Health Providers Ins. Co. Inc.,NV,217980.45,397248.75,3534.0,1423220.0,2103218.0,,402.7221279003962,595.1380871533673,112.40768251273344,61.68094227504245,,-192.41595925297116,-80.00827674023772,-18.32733446519527,,,"Hometown Health Providers Insurance Company, Inc",NV,57350.9,-674631.16,11181.0,4537475.0,3729342.0,,405.82014131115284,333.54279581432786,-60.33728289061801,5.129317592344155,,72.27734549682498,11.940062606206965,17.06938019855112,,
29,58819.0,John Alden Life Insurance Company,PA,,,5795.0,1634836.0,611247.0,,282.1114754098361,105.47834339948231,,,,176.6331320103538,,,,,John Alden Life Insurance Company,PA,,,3900.0,1137651.0,587741.0,,291.7053846153846,150.70282051282052,,,,141.0025641025641,,,,,,,,,,,,,,,,,,,,,,
30,23468.0,Humana Insurance Company,OK,48913.42,-107296.38,6085.0,1661454.27,1743140.996,,273.04096466721444,286.4652417419885,-17.63293015612161,8.038359901396877,,-13.424277074774068,-31.057207230895678,-23.0188473294988,,,Humana Insurance Company,OK,66173.45,74763.49,2381.0,841575.83,325591.797,,353.4547795044099,136.74581982360354,31.400037799244018,27.792293154136917,,216.70895968080634,248.10899748005036,275.90129063418726,,,Humana Insurance Company,OK,0.0,-20589.96,751.0,302696.34,323644.53,,403.0577097203729,430.95143808255665,-27.416724367509985,0.0,,-27.893728362183765,-55.31045272969375,-55.31045272969375,,
31,23620.0,UnitedHealthcare Insurance Company,MD,,,3219.0,1680029.72,1316539.32,,521.9104442373408,408.9901584342964,,,,112.92028580304441,,,,,United Healthcare Insurance Company,MD,,,2914.0,1417059.83,1293575.05,,486.2936959505834,443.91731297186,,,,42.37638297872343,,,,,UnitedHealthcare Insurance Company,MD,,,2632.0,1333475.87,986947.18,,506.63976823708214,374.9799316109423,,,,131.65983662613985,,,,
32,72564.0,"Evergreen Health Cooperative, Inc.",MD,311875.67,-360466.32,4194.0,1725306.0,2251799.65,,411.3748211731044,536.9097877920839,-85.9480972818312,74.3623438245112,,-125.53496661897947,-211.48306390081066,-137.12072007629945,,,"Evergreen Health Cooperative, Inc.",MD,725913.47,-3443885.2,47868.0,15266749.0,15460626.0,,318.9343402690733,322.9845826021559,-71.94545834377872,15.164900768780813,,-4.050242333082622,-75.99570067686135,-60.830799908080536,,,Evergreen Health,MD,2540644.79,1224227.52,127132.0,43319182.0,46154706.49,38055.2549,340.7417644652802,363.04554706918793,9.629578076330114,19.98430599691659,0.2993365549192965,-22.303782603907734,-12.67420452757762,7.310101469338969,-12.374867972658324,7.6094380242582655
33,56971.0,John Alden Life Insurance Company,MN,2783.9,-46632.1,7946.0,1732269.0,1793096.0,,218.0051598288447,225.6602063931538,-5.8686257236345325,0.3503523785552479,,-7.655046564309089,-13.523672287943622,-13.173319909388374,,,John Alden Life Insurance Company,MN,3609.11,-93357.87,4840.0,1210818.0,651360.0,,250.1690082644628,134.5785123966942,-19.288816115702478,0.7456838842975206,,115.5904958677686,96.30167975206612,97.04736363636364,,,,,,,,,,,,,,,,,,,,
34,59158.0,UnitedHealthcare Insurance Company,WI,,,3113.0,1736417.03,961523.73,,557.7953838740765,308.87366848699,,,,248.92171538708646,,,,,United Healthcare Insurance Company,WI,,,3128.0,1710491.76,1118015.09,,546.8324040920717,357.4217039641944,,,,189.41070012787725,,,,,UnitedHealthcare Insurance Company,WI,,,4441.0,2404001.31,2452882.65,,541.3198176086468,552.3266494032875,,,,-11.006831794640789,,,,
35,23489.0,UnitedHealthcare Insurance Company,PA,,,3954.0,1761380.53,2071919.42,,445.46801466868993,524.005923115832,,,,-78.53790844714212,,,,,United Healthcare Insurance Company,PA,,,2683.0,1017074.56,737885.15,,379.08108833395454,275.0224189340291,,,,104.05866939992546,,,,,UnitedHealthcare Insurance Company,PA,,,3322.0,1130375.27,1182640.54,,340.2694972907887,356.0025707405178,,,,-15.73307344972909,,,,
36,64206.0,John Alden Life Insurance Company,MT,,,7356.0,1790461.0,1432390.0,,243.40144100054377,194.72403480152258,,,,48.67740619902119,,,,,John Alden Life Insurance Company,MT,,,3055.0,854241.0,281775.0,,279.62062193126025,92.23404255319149,,,,187.38657937806875,,,,,,,,,,,,,,,,,,,,,,
37,70239.0,Health Choice Insurance Co.,AZ,678956.76,-243631.04,4697.0,1812900.71,3639322.68,1258219.037,385.96991909729616,774.8185394932937,-51.86949968064722,144.55115179902066,267.8771635086225,-388.8486203959975,-440.7181200766447,-296.16696827762405,-172.8409565680222,-28.289804769001535,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,58566.0,13465931.75,12713287.44,,229.9274621794215,217.07624628624114,-102.44544104087696,26.344051155960795,,12.851215893180353,-89.5942251476966,-63.25017399173581,,,Health Choice Insurance Co,AZ,3438514.98,-9159037.15,124255.0,40067897.67,49551786.7,,322.46507319624965,398.79108848738485,-73.71161844593779,27.673051225302803,,-76.3260152911352,-150.037633737073,-122.36458251177021,,
38,82824.0,Aetna Health Inc. (a GA corp.),GA,,,3607.0,1861258.73,2757745.26,,516.0129553645689,764.5537177710007,,,,-248.54076240643178,,,,,Aetna Health Inc. (a GA corp.),GA,,,940354.0,259367562.6,233200810.6,,275.8190666493682,247.99257577465508,,,,27.82649087471313,,,,,Aetna Health Inc. (a GA corp.),GA,12594972.21,-49061684.16,1018921.0,352928824.6,302397410.9,,346.3750620509343,296.78199870254906,-48.15062616238158,12.361088062764434,,49.593063348385215,1.4424371860036374,13.803525248768072,,
39,66699.0,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.6,5526.0,1886324.0,4647051.0,243950.0,341.3543250090481,840.942996742671,436.5516829533116,77.20915128483533,44.145855953673546,-499.58867173362285,-63.03698878031122,14.17216250452411,-18.891132826637673,58.318018458197656,"Denver Health Medical Plan, Inc.",CO,90456.8,2379976.29,2857.0,1259820.15,2795911.49,161479.39,440.95910045502274,978.61795239762,833.0333531676584,31.66146307315366,56.520612530626536,-537.6588519425973,295.3745012250612,327.0359642982148,351.8951137556877,383.55657682884134,"Denver Health Medical Plan, Inc.",CO,297354.64,2810015.23,2490.0,1167062.43,3274884.0,-688815.5290000001,468.6997710843373,1315.2144578313253,1128.520172690763,119.41953413654619,-276.63274257028115,-846.514686746988,282.00548594377506,401.42502008032125,5.372743373493904,124.7922775100401
40,85736.0,UCare Minnesota,MN,311887.29,927744.9,5906.0,2027827.07,2734688.0,,343.35033355909246,463.0355570606163,157.0851506942093,52.80854893328818,,-119.68522350152386,37.399927192685425,90.2084761259736,,,UCare Minnesota,MN,1959663.44,-5906132.97,115591.0,26968684.88,29837423.0,,233.3112861727989,258.1292920729123,-51.09509364915954,16.953425785744564,,-24.818005900113377,-75.91309954927291,-58.95967376352835,,,UCare Minnesota,MN,1552756.08,-16539135.0,192341.0,52833255.37,41266848.0,,274.68535242096067,214.55044946215315,-85.98860877296052,8.072933383937903,,60.134902958807515,-25.853705814153003,-17.7807724302151,,
41,50498.0,John Alden Life Insurance Company,OH,,,8221.0,2072607.0,993048.0,,252.1113003284272,120.79406398248388,,,,131.31723634594334,,,,,John Alden Life Insurance Company,OH,,,5339.0,1539217.0,1065907.0,,288.296872073422,199.64543922082788,,,,88.6514328525941,,,,,,,,,,,,,,,,,,,,,,
42,99685.0,Humana Insurance Company,AR,4723.94,68170.5,13384.0,2178290.92,1614966.321,,162.7533562462642,120.66395106096832,5.093432456664674,0.35295427375971306,,42.089405185295874,47.182837641960546,47.53579191572026,,,Humana Insurance Company,AR,149183.57,-484230.53,8077.0,1784005.94,1254218.05,,220.87482233502539,155.28266064132723,-59.951780363996534,18.47017085551566,,65.59216169369816,5.640381329701626,24.110552185217287,,,Humana Insurance Company,AR,0.0,-106659.16,6183.0,1351592.12,1182334.65,,218.59811094937734,191.22345948568653,-17.250389778424715,0.0,,27.37465146369081,10.124261685266095,10.124261685266095,,
43,48069.0,UnitedHealthcare Life Insurance Company,TN,361362.2,140988.67,5206.0,2183321.52,2462986.41,,419.38561659623514,473.10534191317714,27.08195735689589,69.41263926238955,,-53.719725316942004,-26.637767960046112,42.774871302343435,,,United Healthcare Life Insurance Company,TN,199560.67,315512.89,8862.0,3334637.81,3792328.45,,376.28501579778833,427.93144324080345,35.60289889415482,22.518694425637555,,-51.646427443015114,-16.043528548860294,6.475165876777261,,,UnitedHealthcare Life Insurance Company,TN,50470.53,-301887.1,10687.0,4310405.41,3423991.3,,403.3316562178348,320.38844390380837,-28.248067745859455,4.722609712735099,,82.94321231402643,54.69514456816697,59.41775428090207,,
