HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,PremiumPerMemberMonth2014,CostsPerMemberMonth2014,RiskTransfersPerMemberMonth2014,ReinsurancePerMemberMonth2014,RiskCorridorsPerMemberMonth2014,TotalPA_2014,TotalPA_2014_Quintile,TotalPB_2014,TotalPB_2014_Quintile,TotalLossPerMemberMonth2014,TotalPC_2014_Quintile,TotalPC_2014_Quintile1,TotalPC_2014_Quintile2,TotalPC_2014_Quintile3,TotalPC_2014_Quintile4,TotalPC_2014_Quintile5,TotalPD_2014,TotalPD_2014_Quintile,TotalPE_2014,TotalPE_2014_Quintile,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,PremiumPerMemberMonth2015,CostsPerMemberMonth2015,RiskTransfersPerMemberMonth2015,ReinsurancePerMemberMonth2015,RiskCorridorsPerMemberMonth2015,TotalPA_2015,TotalPA_2015_Quintile,TotalPB_2015,TotalPB_2015_Quintile,TotalLossPerMemberMonth2015,TotalPC_2015_Quintile,TotalPC_2015_Quintile1,TotalPC_2015_Quintile2,TotalPC_2015_Quintile3,TotalPC_2015_Quintile4,TotalPC_2015_Quintile5,TotalPD_2015,TotalPD_2015_Quintile,TotalPE_2015,TotalPE_2015_Quintile,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Transfers16,ChangeTransfers1614,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,LogMM16,LogChangeMM1614,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,1.11FederalRiskCorridorsProgramnetpayments/(charges)2HealthInsuranceINDIVIDUALTotalasof3/31/15,PremiumPerMemberMonth2016,CostsPerMemberMonth2016,RiskTransfersPerMemberMonth2016,ReinsurancePerMemberMonth2016,RiskCorridorsPerMemberMonth2016,TotalPA,TotalPB,TotalPC,TotalPD,TotalPE,ExitedMarketIn2016,TotalPC_2015_Quintile
92815,Local Initiative Health Authority for Los Angeles County,CA,347123.67,-31742828.09,240012,66111108,47084780,18809312,275.4491775,196.1767745,-132.2551709,1.446276311,78.36821492,79.27240305,4,-52.9827679,1,-51.53649159,0,1,0,0,0,0,25.38544702,3,26.83172333,1,Local Initiative Health Authority for Los Angeles County,CA,173346.94,-23491264.75,187043,57736325.1,33021025.18,,308.6794218,176.542427,-125.592857,0.926775875,,132.1369948,4,6.544137819,3,7.470913694,2,0,0,1,0,0,,2,,0,Local Initiative Health Authority for Los Angeles County,CA,24557.63,-12354890.24,-96.72812727,35.52704368,127728,5.106286112,-0.273946844,44046851.51,27395497.21,,344.8488312,214.4830985,-96.72812727,0.192265048,,130.3657327,33.63760538,33.82987043,,,0,2
45786,Molina Healthcare of Texas,TX,973697.67,722999.82,12642,4804046,4692447,-421460.8848,380.0068027,371.1791647,57.19030375,77.02085667,-33.33814941,8.827638032,3,66.01794178,4,143.0387984,4,0,0,0,0,1,32.67979237,4,109.700649,4,Molina Healthcare of Texas,TX,2013053.67,-4116190.69,154159,53436933,33378968,-1193891,346.6351819,216.5229925,-26.70094312,13.05829481,-7.744542972,130.1121894,4,103.4112462,4,116.4695411,4,0,0,0,0,1,95.66670327,4,108.7249981,4,"Molina Healthcare of Texas, Inc.",TX,4075833.89,-125970565.3,-94.13370057,-151.3240043,1338209,6.126523946,2.02470816,416288416,213949014,,311.0787747,159.8771298,-94.13370057,3.045737915,,151.2016449,57.06794432,60.11368223,,,0,4
23841,Aetna Life Insurance Company,FL,32190446.23,20415906.73,409905,152776589.5,175865983.9,,372.7121882,429.040836,49.80643498,78.53147981,,-56.32864786,1,-6.522212879,2,72.00926693,3,0,0,0,1,0,,2,,0,Aetna Life Insurance Company,FL,731464.13,-2790586.53,34529,12535255.49,10352181.89,,363.0355785,299.811228,-80.81863159,21.18405196,,63.22435055,4,-17.59428104,2,3.589770917,2,0,0,1,0,0,,2,,0,Aetna Life Insurance Company,FL,184616.94,-1657914.8,-92.88558463,-142.6920196,17849,4.25161389,-1.361069326,7536015.89,6111808.46,,422.2094173,342.4174161,-92.88558463,10.34326517,,79.79200123,-13.09358339,-2.750318225,,,0,2
41047,Buckeye Community Health Plan,OH,311415.92,-154350.05,7133,2518182.674,2129377.596,-138688.5238,353.0327596,298.5248277,-21.63886864,43.6584775,-19.44322498,54.50793187,4,32.86906323,3,76.52754073,4,0,0,0,0,1,13.42583824,3,57.08431574,3,Buckeye Community Health Plan,OH,649923.9,-6141372.01,63391,20472680.63,11338993.88,,322.9587896,178.8738761,-96.8808192,10.25262103,,144.0849135,4,47.20409427,4,57.45671531,3,0,0,0,1,0,,2,,0,Buckeye Community Health Plan,OH,1056417.74,-9939903.66,-90.93232758,-69.29345894,109311,5.038663867,1.185391643,35356283.7,23613412.35,,323.4467135,216.0204586,-90.93232758,9.664331495,,107.4262549,16.49392733,26.15825882,,,0,3
85736,UCare Minnesota,MN,311887.29,927744.9,5906,2027827.07,2734688,,343.3503336,463.0355571,157.0851507,52.80854893,,-119.6852235,1,37.39992719,4,90.20847613,4,0,0,0,0,1,,2,,0,UCare Minnesota,MN,1959663.44,-5906132.97,115591,26968684.88,29837423,,233.3112862,258.1292921,-51.09509365,16.95342579,,-24.8180059,2,-75.91309955,1,-58.95967376,0,1,0,0,0,0,,2,,0,UCare Minnesota,MN,1552756.08,-16539135,-85.98860877,-243.0737595,192341,5.28407187,1.512778427,52833255.37,41266848,,274.6853524,214.5504495,-85.98860877,8.072933384,,60.13490296,-25.85370581,-17.78077243,,,0,0
53789,Keystone Health Plan Central,PA,1122656.96,238390.33,12894,3961366,4682943,123332,307.2255313,363.1877617,18.48846983,87.06816814,9.565069024,-55.96223049,1,-37.47376066,1,49.59440748,3,0,0,0,1,0,-27.90869164,1,59.1594765,3,Keystone Health Plan Central,PA,1234878.34,298016.86,30665,8559182,9790442,,279.1189304,319.2708952,9.718469265,40.26996054,,-40.15196478,2,-30.43349552,2,9.836465025,2,0,0,1,0,0,,2,,0,Keystone Health Plan Central,PA,5430422.97,-35510815.31,-85.9251815,-104.4136513,413276,5.616240185,1.50585252,139777767,128350976,,338.2189312,310.5696339,-85.9251815,13.13994273,,27.64929732,-58.27588418,-45.13594145,,,0,2
60612,"Kaiser Foundation Health Plan, Inc.",HI,4687278.77,-10430372.26,185604,47878943,49630666,12424843,257.9628833,267.4008427,-56.19691526,25.25419048,66.94275447,-9.437959311,2,-65.63487457,1,-40.38068409,0,1,0,0,0,0,1.307879895,2,26.56207038,1,"Kaiser Foundation Health Plan, Inc.",HI,5420682.06,-15467100.5,226746,61802512,67622713,,272.5627442,298.2311176,-68.21333342,23.90640655,,-25.66837342,2,-93.88170684,1,-69.97530029,0,1,0,0,0,0,,2,,0,"Kaiser Foundation Health Plan, Inc.",HI,2908866.08,-16511893.77,-85.72841989,-29.53150463,192607,5.284672067,0.016084735,67825946,69226372,,352.1468379,359.4177366,-85.72841989,15.10259793,,-7.270898773,-92.99931866,-77.89672073,,,0,0
57165,"Affinity Health Plan, Inc.",NY,464860.5,-2141766.08,23258,10718293.95,9224831,1179369,460.8433206,396.6304497,-92.08728524,19.98712271,50.70810044,64.21287084,4,-27.8744144,2,-7.887291685,1,0,1,0,0,0,22.83368604,3,42.82080875,2,"Affinity Health Plan, Inc.",NY,2549532.7,-24567668.78,190900,75887448,42445398,11485324,397.5246097,222.3436249,-128.6939171,13.35533106,60.16408591,175.1809848,4,46.48706768,4,59.84239874,3,0,0,0,1,0,106.6511536,4,120.0064847,4,"Affinity Health Plan, Inc.",NY,1183456.71,-9261635.02,-85.57126773,6.516017507,108233,5.034359696,0.66778733,42411050,37863365,,391.8495283,349.8319829,-85.57126773,10.93434267,,42.01754548,-43.55372225,-32.61937958,,,0,3
85654,HealthPartners Insurance Company,MN,10273153.62,-5217351.16,253562,50895000,53127000,,200.7201395,209.5227203,-20.57623445,40.51535175,,-8.802580828,2,-29.37881528,2,11.13653647,1,0,1,0,0,0,,2,,0,HealthPartners Insurance Company,MN,9288091.28,-29118111.14,507606,109802000,100347000,,216.31344,197.6867886,-57.36360709,18.29783588,,18.62665138,3,-38.73695571,1,-20.43911983,1,0,1,0,0,0,,2,,0,HealthPartners Insurance Company,MN,6932266.01,-55107410.5,-82.52836887,-61.95213442,667739,5.824606742,0.420522574,188789000,150979000,,282.7287308,226.1048104,-82.52836887,10.38170005,,56.62392042,-25.90444844,-15.52274839,,,0,1
91237,"Healthfirst PHSP, Inc.",NY,4031460.89,-2649557.85,66274,29370655,29002425,,443.1700969,437.613921,-39.97884314,60.83020325,,5.556175876,3,-34.42266726,1,26.40753599,2,0,0,1,0,0,,2,,0,"Healthfirst PHSP, Inc.",NY,6632379.19,-48556174.15,401015,161272546.6,107590270.4,,402.1608833,268.2948777,-121.0831868,16.53898031,,133.8660055,4,12.78281872,3,29.32179903,3,0,0,0,1,0,,2,,0,Healthfirst PHSP Inc.,NY,2161266.62,-15553342.32,-82.17759396,-42.19875082,189265,5.277070309,0.455727126,71467522,55171149,,377.60559,291.5021214,-82.17759396,11.41926199,,86.10346868,3.925874726,15.34513671,,,0,3
73836,"Moda Health Plan, Inc.",AK,13102419.34,-4806964.11,78624,33550284,46525522,1271782,426.7181013,591.7470747,-61.13863591,166.6465626,16.17549349,-165.0289733,0,-226.1676093,0,-59.52104663,0,1,0,0,0,0,-209.9921158,0,-43.34555314,0,"Moda Health Plan, Inc.",AK,26305543.39,-9415111.19,159592,93990086,146808709,27091191.41,588.9398341,919.9001767,-58.99488189,164.8299626,169.752816,-330.9603426,0,-389.9552245,0,-225.1252619,0,1,0,0,0,0,-220.2024085,0,-55.37244592,0,Moda Health Plan Inc,AK,8987021.64,-11418310.77,-81.62174498,-20.48310906,139893,5.145795984,0.250240849,115629307,109150932.7,,826.5553459,780.24585,-81.62174498,64.24211104,,46.30949583,-35.31224915,28.92986189,,,0,0
61836,Coordinated Care Corporation,WA,3216434.39,-24258945.68,232541,71555581.14,34938041.98,,307.7116773,150.2446535,-104.3211549,13.83168727,,157.4670237,4,53.14586881,4,66.97755609,3,0,0,0,1,0,,2,,0,Coordinated Care Corporation,WA,4033746.83,-34636348.44,335837,102415296.7,52321436.15,,304.9553703,155.7941387,-103.1344028,12.01102568,,149.1612316,4,46.02682882,4,58.03785449,3,0,0,0,1,0,,2,,0,Coordinated Care Corporation,WA,3500298.88,-29664686.35,-81.58088556,22.74026933,363623,5.560651346,0.19415181,109508323.2,71522097,,301.1589564,196.6929952,-81.58088556,9.626175682,,104.4659612,22.88507561,32.5112513,,,0,3
84014,County of Santa Clara,CA,440556.13,-318460.38,15120,6988341,6495642,,462.1918651,429.6059524,-21.06219444,29.13731019,,32.5859127,3,11.52371825,3,40.66102844,2,0,0,1,0,0,,2,,0,County of Santa Clara,CA,505318.49,-115235.31,22876,9807595,8941213,,428.7285802,390.8556129,-5.037388967,22.08946013,,37.8729673,3,32.83557834,4,54.92503847,3,0,0,0,1,0,,2,,0,Valley Health Plan,CA,315872.69,-2983496.65,-81.35403839,-60.29184395,36673,4.564346438,0.384794647,17269187,13356316,,470.8964906,364.2002563,-81.35403839,8.613221989,,106.6962343,25.34219589,33.95541788,,,0,3
34102,"Group Health Plan, Inc.",MN,2695282.74,-2650.5,51252,12629000,15951000,2612104,246.4098962,311.226879,-0.051715055,52.58883048,50.96589401,-64.81698275,1,-64.86869781,1,-12.27986732,1,0,1,0,0,0,-13.90280379,2,38.68602669,2,"Group Health Plan, Inc.",MN,4673126.71,-4257609.45,145243,34215000,40862000,8702949,235.5707332,281.3354172,-29.31369808,32.17453998,59.91992041,-45.76468401,2,-75.07838209,1,-42.90384211,1,0,1,0,0,0,-15.15846168,1,17.0160783,1,Group Health Plan Inc,MN,3025814.22,-17682308.21,-77.41646728,-77.36475223,228405,5.358705607,0.648994789,66448788,61361000,,290.9252775,268.6499858,-77.41646728,13.24758311,,22.2752917,-55.14117559,-41.89359248,,,0,1
44580,Humana Insurance Company,AL,3343273.21,-983926.61,71319,18905173.34,20499199.8,947117,265.079058,287.4297144,-13.79613581,46.87773539,13.28000953,-22.35065635,2,-36.14679216,1,10.73094323,1,0,1,0,0,0,-22.86678262,2,24.01095276,1,Humana Insurance Company,AL,4108536.1,-3473430.83,80011,26352276.29,29268855.53,,329.3581669,365.8103952,-43.41191624,51.34964067,,-36.45222832,2,-79.86414456,1,-28.51450388,1,0,1,0,0,0,,2,,0,Humana Insurance Company,AL,2298478.1,-13518890.18,-77.29187614,-63.49574033,174907,5.242807191,0.389601946,63005698.43,59951019.03,,360.2239958,342.7594037,-77.29187614,13.14114415,,17.46459204,-59.8272841,-46.68613995,,,0,1
44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,7813491.4,482642.43,264141,66514201.37,61711537.45,1895806,251.8132413,233.6310435,1.827215124,29.58075952,7.177250029,18.18219784,3,20.00941297,3,49.59017248,3,0,0,0,1,0,27.18666299,3,56.76742251,3,"Humana Health Benefit Plan of Louisiana, Inc.",LA,6599758.13,-2526804.46,248033,72076866.85,70634494.88,,290.5938599,284.7786177,-10.18737208,26.60838731,,5.815242206,3,-4.372129878,2,22.23625743,2,0,0,1,0,0,,2,,0,"Humana Health Benefit Plan of Louisiana, Inc.",LA,4491146.79,-32450558.97,-76.93753342,-78.76474854,421778,5.625083923,0.203248105,143009162.6,102535993.5,,339.062641,243.1041768,-76.93753342,10.64812956,,95.95846417,19.02093075,29.66906031,,,0,2
59765,BridgeSpan Health Company,ID,712878.62,574321.44,4960,1425086,2866986,,287.3157258,578.021371,115.7906129,143.7255282,,-290.7056452,0,-174.9150323,0,-31.18950403,0,1,0,0,0,0,,2,,0,BridgeSpan Health Company,ID,724349.19,-37955.58,11749,3156976,5057888,,268.7016767,430.4951911,-3.230537067,61.65198655,,-161.7935143,0,-165.0240514,0,-103.3720649,0,1,0,0,0,0,,2,,0,BridgeSpan Health Company (ID),ID,1020878.6,-6574515.53,-76.12564877,-191.9162617,86364,4.936332749,1.240851072,26986002,25756225,,312.4681812,298.228718,-76.12564877,11.82064981,,14.2394632,-61.88618556,-50.06553576,,,0,0
70239,Health Choice Insurance Co.,AZ,678956.76,-243631.04,4697,1812900.71,3639322.68,1258219.037,385.9699191,774.8185395,-51.86949968,144.5511518,267.8771635,-388.8486204,0,-440.7181201,0,-296.1669683,0,1,0,0,0,0,-172.8409566,0,-28.28980477,0,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,58566,13465931.75,12713287.44,,229.9274622,217.0762463,-102.445441,26.34405116,,12.85121589,3,-89.59422515,1,-63.25017399,0,1,0,0,0,0,,2,,0,Health Choice Insurance Co,AZ,3438514.98,-9159037.15,-73.71161845,-21.84211877,124255,5.094313874,1.422493314,40067897.67,49551786.7,,322.4650732,398.7910885,-73.71161845,27.67305123,,-76.32601529,-150.0376337,-122.3645825,,,0,0
86052,"CareFirst BlueChoice, Inc.",DC,1900356.26,-1007058.65,85443,22644314.97,22846546.22,,265.0224708,267.3893265,-11.78632129,22.24121648,,-2.366855682,2,-14.15317697,2,8.088039512,1,0,1,0,0,0,,2,,0,"CareFirst Blue Choice, Inc.",DC,3021555.65,-1630614.05,110036,33188114.25,30505235.97,,301.6114204,277.2295973,-14.81891426,27.45970092,,24.38182304,3,9.562908775,3,37.02260969,3,0,0,0,1,0,,2,,0,CareFirst BlueChoice,DC,1167287.99,-7984910.32,-72.18259029,-60.396269,110621,5.04383758,0.112161092,27910624.1,26359366.05,,252.3085499,238.2853712,-72.18259029,10.55213739,,14.02317869,-58.15941159,-47.60727421,,,0,3
