State,STATE AVERAGE MONTHLY PREMIUMS 2016,STATE AVERAGE PLAN LIABILITY RISK SCORE 2016,STATE AVERAGE ALLOWABLE RATING FACTOR 2016,STATE AVERAGE ACTUARIAL VALUE 2016,STATE INDUCED DEMAND FACTOR 2016,STATE BILLABLE MEMBER MONTHS 2016,STATE AVERAGE MONTHLY PREMIUMS 2015,STATE AVERAGE PLAN LIABILITY RISK SCORE 2015,STATE AVERAGE ALLOWABLE RATING FACTOR 2015,STATE AVERAGE ACTUARIAL VALUE 2015,STATE INDUCED DEMAND FACTOR 2015,STATE BILLABLE MEMBER MONTHS 2015,STATE AVERAGE MONTHLY PREMIUMS DIFFERENCE,STATE AVERAGE PLAN LIABILITY RISK SCORE DIFFERENCE,STATE AVERAGE ALLOWABLE RATING FACTOR DIFFERENCE,STATE AVERAGE ACTUARIAL VALUE DIFFERENCE,STATE INDUCED DEMAND FACTOR DIFFERENCE,STATE BILLABLE MEMBER MONTHS DIFFERENCE
GA,447.4901728,1.273803352,1.407954955,0.727547141,1.046124726,1881339.7,431.83,1.281,1.408271528,0.722428996,1.04364006,1432310.3,-15.66017285,0.007196648,0.000316573,-0.005118145,-0.002484666,-449029.4
HI,404.6913376,1.535462172,1.44959628,0.88606261,1.140247268,404752.2667,392.9961647,1.519187681,1.451369364,0.888397599,1.141880087,321991.1,-11.69517299,-0.01627449,0.001773084,0.002334988,0.001632819,-82761.16667
IA,384.1765837,1.29625582,1.39617936,0.745467329,1.056064543,931286,374.8402449,1.283233091,1.401213392,0.752953255,1.060075698,706531.2,-9.336338808,-0.013022729,0.005034032,0.007485926,0.004011155,-224754.8
ID,367.7352524,1.146056088,1.357863942,0.754036852,1.059199474,466448.4667,352.5205021,1.165308369,1.369763634,0.758710631,1.061300174,324611.4,-15.21475035,0.019252281,0.011899692,0.004673779,0.0021007,-141837.0667
IL,456.477054,1.39007443,1.409200181,0.784475646,1.078215426,3295229.7,448.891912,1.43537426,1.414534898,0.78250458,1.076494479,2100647.867,-7.58514198,0.04529983,0.005334717,-0.001971066,-0.001720947,-1194581.833
IN,461.9834659,1.306517696,1.427684507,0.720627406,1.042964346,1013460.1,457.2108198,1.365604713,1.438079417,0.725084041,1.045027819,829487.8333,-4.772646116,0.059087016,0.01039491,0.004456634,0.002063473,-183972.2667
KS,377.3265466,1.336630833,1.387040231,0.767606809,1.066756037,735717.0667,362.5285705,1.340774709,1.386456015,0.767088912,1.066293639,535378.7333,-14.79797611,0.004143876,-0.000584215,-0.000517897,-0.000462398,-200338.3333
KY,411.9197173,1.381773911,1.417881289,0.73501341,1.049538245,656281.7,391.3985351,1.433582247,1.416954643,0.735603149,1.049784112,571720.5,-20.52118227,0.051808336,-0.000926646,0.000589739,0.000245867,-84561.2
LA,416.1184452,1.407177931,1.388799515,0.768322356,1.068287871,1216006.467,402.7175895,1.405948886,1.385843359,0.769443874,1.068552475,1043084.767,-13.40085571,-0.001229045,-0.002956156,0.001121518,0.000264603,-172921.7
MD,430.1412942,1.330022049,1.397593361,0.750760832,1.060149616,3030199.233,427.362862,1.351991625,1.395270417,0.74574224,1.058259501,3014983.7,-2.778432181,0.021969576,-0.002322944,-0.005018592,-0.001890114,-15215.53333
ME,378.3682508,1.104958778,1.476717372,0.6916433,1.033725122,615842.7667,367.952519,1.099172866,1.484357796,0.676782007,1.027112589,483245.7667,-10.41573183,-0.005785912,0.007640424,-0.014861293,-0.006612533,-132597
MI,400.2298717,1.40001088,1.388998388,0.798088016,1.085090941,4171338.867,414.7111682,1.425022789,1.392829721,0.800663732,1.087251711,3725092.4,14.48129649,0.025011909,0.003831333,0.002575716,0.00216077,-446246.4667
MN,399.2562062,1.187133113,1.450389732,0.751567793,1.059765048,3117535.433,401.2877702,1.22916455,1.441981909,0.751417414,1.059696326,2936513.767,2.031564022,0.042031437,-0.008407823,-0.00015038,-6.87225E-05,-181021.6667
MO,439.9370296,1.436908971,1.402723989,0.751033954,1.057300585,1135529.3,428.5528917,1.491648618,1.415835941,0.756291868,1.059825476,903949.9333,-11.38413782,0.054739647,0.013111952,0.005257914,0.002524891,-231579.3667
MS,394.2473773,1.274254132,1.388695328,0.748490362,1.055845654,200003.7333,390.529218,1.241601177,1.400252572,0.741629646,1.052492218,129161.8,-3.718159303,-0.032652955,0.011557244,-0.006860716,-0.003353436,-70841.93333
MT,372.6375697,1.080907512,1.386318753,0.727705361,1.049223873,580029.8667,365.6914009,1.148116742,1.383874804,0.737153132,1.053709103,523865.8333,-6.946168799,0.067209229,-0.002443949,0.009447772,0.00448523,-56164.03333
NC,488.3576676,1.279586738,1.444217675,0.738219187,1.052588171,1320823.4,483.8924765,1.366046893,1.45730643,0.745913967,1.056833728,1011384.9,-4.465191163,0.086460155,0.013088755,0.00769478,0.004245557,-309438.5
ND,394.7080471,1.204067236,1.281732451,0.821133646,1.099540208,362338.3333,393.3358502,1.21234743,1.274362823,0.818444851,1.097731118,334011.2,-1.372196895,0.008280194,-0.007369628,-0.002688795,-0.00180909,-28327.13333
NE,400.1311719,1.18692144,1.376294966,0.725887156,1.046505811,510175.9,416.9303067,1.148081597,1.384474407,0.734882515,1.050937953,399327.6667,16.79913488,-0.038839843,0.008179441,0.008995359,0.004432142,-110848.2333
NH,452.49,1.261405168,1.469185742,0.740110114,1.05252234,564579.8,473.3985293,1.297343823,1.460194291,0.743069534,1.054203651,429930.2,20.90852928,0.035938655,-0.008991451,0.00295942,0.001681312,-134649.6
NJ,526.0200514,1.458127865,1.452291993,0.746562185,1.057134482,4455301.2,497.9389739,1.458963994,1.44618428,0.746492488,1.057192871,4514708.667,-28.08107752,0.000836129,-0.006107713,-6.96977E-05,5.83895E-05,59407.46667
NM,423.3482763,1.375227864,1.448094775,0.784055133,1.076895218,587968.5333,441.1961679,1.340476663,1.45955202,0.786573928,1.078314798,312781.2333,17.84789155,-0.034751201,0.011457245,0.002518795,0.001419579,-275187.3
NV,376.6586564,1.228042797,1.347386939,0.752870885,1.060512303,1097079.367,373.608316,1.263187174,1.355952548,0.751333866,1.059793146,1012471.967,-3.050340395,0.035144377,0.008565609,-0.001537019,-0.000719157,-84607.4
NY,600.4155643,1.774265106,0.973785102,0.781950128,1.077725783,11454445.97,566.7629509,1.803115272,0.973527759,0.787125976,1.080473297,11452673,-33.65261334,0.028850166,-0.000257343,0.005175848,0.002747513,-1772.966667
OH,486.6720276,1.494916424,1.452767019,0.73684738,1.051980857,1402304.6,462.7094693,1.556313026,1.453582482,0.741028571,1.054736897,1218534.433,-23.96255833,0.061396602,0.000815463,0.004181191,0.00275604,-183770.1667
OK,408.9092594,1.468539637,1.419275788,0.767384082,1.066493055,1432347.633,397.8637803,1.560154422,1.428410236,0.777910178,1.07131447,1167107.8,-11.04547913,0.091614785,0.009134448,0.010526096,0.004821416,-265239.8333
OR,410.2065435,1.242648885,1.417986678,0.767688575,1.068971966,1322099.133,408.1187195,1.234794818,1.421991223,0.764805172,1.067478529,1049345.667,-2.087824094,-0.007854068,0.004004545,-0.002883403,-0.001493437,-272753.4667
PA,471.1015884,1.51417265,1.437669584,0.794065538,1.083589282,4703903.233,452.1949332,1.53514987,1.435800509,0.801363693,1.088163168,4328976.3,-18.90665518,0.020977219,-0.001869074,0.007298155,0.004573886,-374926.9333
RI,489.5553719,1.582918538,1.474741237,0.807146664,1.089358805,704077.2667,481.0559601,1.692746706,1.467650726,0.812811863,1.092468885,756014.9667,-8.499411863,0.109828168,-0.007090511,0.005665199,0.00311008,51937.7
SC,462.6671064,1.30575985,1.419939967,0.746533903,1.054567276,727271.4,457.7538348,1.362477159,1.435893014,0.745639139,1.054293154,498244.8667,-4.913271671,0.056717309,0.015953048,-0.000894764,-0.000274122,-229026.5333
SD,428.1946759,1.224323955,1.4034021,0.73554929,1.05156276,301600.3,424.0188575,1.316480179,1.425978482,0.752980536,1.060153701,206392.4,-4.175818375,0.092156224,0.022576382,0.017431246,0.00859094,-95207.9
TN,399.1794647,1.369615732,1.447191537,0.738199706,1.053072581,1370714.667,399.2548166,1.431673703,1.458462159,0.73470376,1.052001864,987478.2,0.075351947,0.062057971,0.011270622,-0.003495945,-0.001070717,-383236.4667
TX,460.5397515,1.3656088,1.38223583,0.73787831,1.052509753,6482014.967,444.066925,1.411784828,1.378732291,0.744082501,1.05517815,4919652.4,-16.47282656,0.046176028,-0.003503538,0.006204191,0.002668397,-1562362.567
UT,325.1414742,1.176627572,1.408739648,0.772952142,1.068086846,1476740.733,304.5812805,1.255215117,1.409767361,0.776217467,1.06964983,1313426.967,-20.56019371,0.078587545,0.001027713,0.003265325,0.001562984,-163313.7667
VA,422.7237623,1.312503065,1.357710162,0.790746598,1.081620502,4457422.333,416.3963722,1.321431992,1.358021412,0.794647868,1.08407685,4176498.6,-6.327390081,0.008928926,0.00031125,0.00390127,0.002456348,-280923.7333
WA,422.5905413,1.247723224,1.439447042,0.766137924,1.067011649,2362701.833,427.8088322,1.315605602,1.450892068,0.764517221,1.066266555,1858716.8,5.218290924,0.067882378,0.011445026,-0.001620702,-0.000745093,-503985.0333
WI,467.0715891,1.246701399,1.406665681,0.738250668,1.054229379,1101319.5,470.6680192,1.301614402,1.410817382,0.742052697,1.056143488,866111.4,3.596430168,0.054913003,0.004151702,0.003802029,0.001914108,-235208.1
WV,529.9466245,1.560030923,1.468396148,0.742730581,1.05477249,215920.0667,504.1885157,1.470535457,1.460851908,0.749205018,1.058488052,175463.0667,-25.75810887,-0.089495466,-0.00754424,0.006474436,0.003715562,-40457
WY,517.0771684,1.12950742,1.360211021,0.720005549,1.043279589,81461.23333,507.9780425,1.116378991,1.339385407,0.718816333,1.04382147,52430.86667,-9.099125921,-0.013128429,-0.020825614,-0.001189215,0.000541882,-29030.36667
