,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015
32,78611,Aetna Health Inc. (a PA corp.),AZ,,,324131.01,269,13551,127815.98,119110.44,Aetna Health Inc. (a PA corp.),AZ,,,296497.65,105,8249,25975.82,16675.03
33,84251,Aetna Life Insurance Company,AZ,3503089.05,-437141.1,-3375392.32,146265,456985,37434147.38,32381578.1,Aetna Life Insurance Company,AZ,1614307.95,-3663100.18,-4599781.33,127740,421935,33153017.92,25205733.12
34,98971,All Savers Insurance Company,AZ,,,-8390.44,,736,,,All Savers Insurance Company,AZ,4527194.3,2979667.72,23085.14,98433,314,29722210.17,40129573.55
35,53901,"Blue Cross Blue Shield of Arizona, Inc.",AZ,43210443.35,14331092.97,1494667.03,1649769,518338,425888273,447234457.3,"Blue Cross Blue Shield of Arizona, Inc.",AZ,51821293.19,20131634.31,-837227.17,1857597,534916,542138872.7,597086526.7
36,86830,Cigna Health and Life Insurance Company,AZ,4060861.27,1978320.29,-24005.57,16576,1883,5021387,11070817,Cigna Health and Life Insurance Company,AZ,1431522.46,2978136.23,-35.55,11908,1943,4425413,6759424
37,75849,Freedom Life Insurance,AZ,68741.8,1902.67,,80,,26614,127192,Freedom Life Insurance,AZ,4146.48,168620.34,,172,,72532,289093
38,70239,Health Choice Insurance Co.,AZ,678956.76,-243631.04,,4697,,1812900.71,3639322.68,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,,58566,,13465931.75,12713287.44
39,51485,Health Net Life Insurance Company,AZ,39878281.54,469.35,335791.07,383387,373703,114439203,190164372,Health Net Life Insurance Company,AZ,46215394.37,26294064.75,7584973.03,408507,346823,131907279,288203286
40,91450,"Health Net of Arizona, Inc.",AZ,26048764.45,-26088803.1,-2284176.05,567847,130857,124579161,170970269,"Health Net of Arizona, Inc.",AZ,12625077.68,1953496.4,-4432593.99,409710,94918,93736793,139654977.4
41,23307,"Humana Health Plan, Inc.",AZ,4117754.92,-351373.9,-750038.97,32208,137933,8637428.75,14286146.19,"Humana Health Plan, Inc.",AZ,676362.49,856409.75,-1948641.42,16365,143566,5082191,5778329
42,66105,Humana Insurance Company,AZ,1328793.1,1164384.91,27209.69,180110,70211,31945882.48,27091713.83,Humana Insurance Company,AZ,1778440.1,689053.89,900266.16,54591,53171,15798846,12122248.97
43,73893,John Alden Life Insurance Company,AZ,,,700477.89,4129,19748,1333099,290994,John Alden Life Insurance Company,AZ,,,543121.99,2690,12255,862943,295044
44,23029,Madison National Life,AZ,,,-4301.51,14965,1784,2097652,1019927,Madison National Life,AZ,,,-9938.88,,84,,
45,60761,Meritus Health Partners,AZ,1958734.84,2073821.34,-29408.53,26839,355,6768244,14641929,Meritus Health Partners,AZ,7175051.81,-48452998.55,-788993.84,525565,6774,110954506,113931264
46,92045,Meritus Mutual Health Partners,AZ,1966321.43,800921.39,-12159.89,3529,1257,1338745,5769734.255,Meritus Mutual Health Partners,AZ,3284983.52,-558586.58,-1913246.31,37735,14475,11365541,25838238
47,59096,Standard Security Life,AZ,,,-615.14,2131,955,346061,307990,Standard Security Life,AZ,,,-5153.41,,99,,
48,80863,Time Insurance Company,AZ,13874351.63,5883719.72,784218.43,147996,44258,34843805,56760689,Time Insurance Company,AZ,12354851.1,11878587.57,355617.92,137808,32712,40988927,76820522
49,82011,UnitedHealthcare Insurance Company,AZ,,,2961325.69,10904,486523,5036335.1,4047839,United Healthcare Insurance Company,AZ,,,4970157.33,7959,455517,3526468.74,2392772.56
50,90169,UnitedHealthcare Life Insurance Company,AZ,1610.82,28226.14,,5753,,2810864.09,1870467.82,United Healthcare Life Insurance Company,AZ,737940.9,784206.91,,17049,,6337200.43,7551443.03
51,40702,"UnitedHealthcare of Arizona, Inc.",AZ,,,-139332.36,208,6627,145502.6,186764.29,"United Healthcare of Arizona, Inc.",AZ,,,-34081.48,171,7592,112639.71,159460.77
52,88925,"University of Arizona Health Plans-University Healthcare, Inc.",AZ,292653.92,858090.36,,,,,8435.06,"University of Arizona Health PlansUniversity Healthcare, Inc.",AZ,462348.2,-9792044,,92463,,24466345.22,15147518.56
53,20523,Aetna Health of California Inc.,CA,,,-23489767.02,4418,919142,2247068.97,3347533.76,Aetna Health of California Inc.,CA,,,-55802137.54,2133,1022238,804160.83,1476307.62
54,40733,Aetna Life Insurance Company,CA,,,-1519853.96,63292,796551,20902313.32,13984397.1,Aetna Life Insurance Company,CA,,,26507101.9,15408,633699,7411703.35,5604240.79
55,27603,Blue Cross of California(Anthem BC),CA,401126393.3,-181692588,23364909.92,6902480,4307547,2473401722,2027689771,Blue Cross of California (Anthem BC),CA,324481782.2,-26380560.05,98210694.17,7358067,3947887,2764613657,2568707977
56,70285,CA Physician's Service dba Blue Shield of CA,CA,363050264.5,135212707.6,13755875.29,5746687,1599976,2103117282,1938962494,CA Physician's Service dba Blue Shield of CA,CA,282147399.1,181516599,19822043.9,6984408,2367193,2658951422,2638243806
57,47579,Chinese Community Health Plan,CA,1824095.22,-16711278.79,-3067299.35,141014,21332,60268718.32,29949706.93,Chinese Community Health Plan,CA,2569834.4,-28712244.96,-1540479.6,155023,23217,70273738.3,24778424.54
58,40025,Cigna Health and Life Insurance Company,CA,21440171.45,17743436.54,,104223,1428,40220929,71930149,Cigna Health and Life Insurance Company,CA,17586666.04,5953639.83,,294886,7695,101545360,116800407
59,99483,Contra Costa Health Plan,CA,2293366.91,1753287.86,,9787,2088,5141306,8923224,,,,,,,,,
60,84014,County of Santa Clara,CA,440556.13,-318460.38,,15120,148,6988341,6495642,County of Santa Clara,CA,505318.49,-115235.31,,22876,138,9807595,8941213
61,56887,"County of Ventura, dba Ventura County Health Care Plan",CA,,,500462.21,,3571,,,"County of Ventura, dba Ventura County Health Care Plan",CA,0,,358925.34,,2868,,
62,99110,Health Net Life Insurance Company,CA,96305759.81,53801059.26,-1149328.11,670834,739749,229515619,341244349,Health Net Life Insurance Company,CA,94347305.12,53436905.52,11418011.12,444015,1101301,187024958,479433200
63,67138,"Health Net of California, Inc.",CA,48731305.15,-100186993.9,-3718209.96,2002237,2156540,653074515,476139478,"Health Net of California, Inc.",CA,41900195.93,-125635855.9,-9525637.47,2736915,1788573,895993865,681419303
64,68744,Humana Insurance Company,CA,,,8197.35,,1079,,,Humana Insurance Company,CA,,,23570.86,,439,,
65,40513,"Kaiser Foundation Health Plan, Inc.",CA,240031290.8,98811448.39,-6119361.66,5935591,7801104,2273510519,2044153218,"Kaiser Foundation Health Plan, Inc.",CA,193662847,-82078859.73,-86677086.3,7551901,8079938,2864002080,2536678058
66,27330,Kaiser Permanente Insurance Company,CA,,,-178446.96,,9335,,,Kaiser Permanente Insurance Company,CA,,,765550.26,,9945,,
67,92815,Local Initiative Health Authority for Los Angeles County,CA,347123.67,-31742828.09,,240012,,66111108,47084780,Local Initiative Health Authority for Los Angeles County,CA,173346.94,-23491264.75,,187043,,57736325.1,33021025.18
68,18126,MOLINA HEALTHCARE OF CALIFORNIA,CA,950343.48,-9072047.23,,71865,,20990525,8163374,Molina Healthcare of California,CA,1230390.91,-25983024.62,,199582,,60304876,28198872
69,92499,Sharp Health Plan,CA,10986209.85,10432568.53,-953791.37,122265,112929,48589226,63015430.38,Sharp Health Plan,CA,9640079.06,9791489.44,-5238158.44,230438,176700,105005537,105532273
70,64198,Time Insurance Company,CA,45901082.37,19393416.27,,351232,,104985608,197653699,Time Insurance Company,CA,65148241.89,63308434.85,,720760,,278139241,441889313
71,35305,Trustmark Life Insurance Company,CA,,,-132284.52,1478,,126043.26,48046.62014,Trustmark Life Insurance Company,CA,0,-165775.07,,842,,74003.11,33189.3
72,49116,UHC of California,CA,,,-2215283.01,5622,407230,2881887.45,3398138.4,UHC of California,CA,,,-1290603.41,3275,403312,1498719.36,2149910.87
73,95677,UnitedHealthcare Insurance Company,CA,,,4029609.65,12461,503041,5995770.22,6042728.3,United Healthcare Insurance Company,CA,,,3006738.38,10567,492637,4656797.6,4845846.23
74,93689,Western Health Advantage,CA,5847162.74,2576272.04,884571.67,40958,344213,17648512.71,23285629.43,Western Health Advantage,CA,6089256.83,-1713529.97,3553914.02,82544,352835,36465371.67,35046006.27
75,92137,All Savers Insurance Company,CO,547719.39,481970.65,,1794,,960626.99,1661246.86,All Savers Insurance Company,CO,73109,168907.5,,1504,,754995.49,928849.03
76,49375,Cigna Health and Life Insurance Company,CO,10847936.42,10208969.51,,73019,3932,29192161,43386898,Cigna Health and Life Insurance Company,CO,6431729.43,10417522.17,,90880,2771,35996954,46141581
77,63312,Colorado Choice Health Plans,CO,6252605.7,-4578461.04,-534596.16,63856,32144,23273256,29458165,Colorado Choice Health Plans,CO,4665826.16,1562462.46,-1750013.59,65551,29964,24627126,29021855
78,20472,"Colorado Health Insurance Cooperative, Inc.",CO,19571825.5,-4393875.95,-97502.97,144312,1277,53792423.77,67902479.91,"Colorado Health Insurance Cooperative, Inc.",CO,38664334.67,-41180913.97,-819602.44,890026,26597,239276326,322392216.6
79,66699,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.6,,5526,,1886324,4647051,"Denver Health Medical Plan, Inc.",CO,90456.8,2379976.29,,2857,,1259820.15,2795911.49
80,76680,"HMO Colorado, Inc., dba HMO Nevada",CO,12493994.43,261875.8,-860371.91,139712,18150,49887492.56,54875780.77,HMO Colorado Inc.(Anthem BCBS),CO,9021034.94,29925.42,-1803127.62,193986,22133,61543183.63,65114183.23
81,74320,Humana Health Plan,CO,8822154.98,4731745.94,-2841602.51,205949,173854,47543279.95,55236205.29,Humana Health Plan,CO,7614421.26,6064407.53,3278864.95,138751,215339,41906992.59,49664673.44
82,79509,Humana Insurance Company,CO,1268061.73,1264744.68,139778.65,195438,11126,42583478.25,31808594.15,Humana Insurance Company,CO,1442411.66,664060.25,-95294.25,87852,14273,23166217.33,18871983.99
83,21032,Kaiser Foundation Health Plan of Colo.,CO,26956984.91,-33664830.89,-3582183.17,819397,664202,253676763,219954806,Kaiser Foundation Health Plan of Colo.,CO,20539222.46,-7630792.84,951160.48,829731,627193,231648599,261842374
84,35944,Kaiser Permanente Insurance Company,CO,,,-49499.07,,1146,,,Kaiser Permanente Insurance Company,CO,,,-124133.71,,1216,,
85,11555,New Health Ventures Inc.,CO,205000,99152.72,,921,,486058,826272,New Health Ventures Inc.,CO,389863.07,173278.24,,4585,,1634767,2504367
86,80208,Rocky Mountain Health Care Options,CO,,,404793.25,,160207,,,Rocky Mountain Health Care Options,CO,,,4347588.59,,111248,,
87,97879,Rocky Mountain HMO,CO,54104079.51,13887675.22,-16089.07,317751,166386,143359065,192086392,Rocky Mountain HMO,CO,32893237.64,18515843.4,-2204692.42,310694,157000,141690627,212669755
88,87269,"Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield",CO,,,2272512.47,751693,722035,204232828.5,158902637.2,Rocky Mountain Hos & Med Svc(Anthem BCBS),CO,3292837.76,-318263.67,-1239886.17,534111,677758,181263174.2,148064739.2
89,39060,Time Insurance Company,CO,16138881.92,9288648.71,,251449,,67039154,85312278,Time Insurance Company,CO,5903506.26,6541514.95,,135223,,44349854,54965967
90,67879,UnitedHealthcare Insurance Company,CO,,,3694826.77,27168,648310,13529598.43,14539004.6,United Healthcare Insurance Company,CO,,,979323.74,19084,553156,9615388.77,8685449.61
91,59036,"UnitedHealthcare of Colorado, Inc.",CO,,,1469933.76,1532,43061,848497.44,1163737.92,"United Healthcare of Colorado, Inc.",CO,,,-1520187.65,1201,50195,647029.81,767349.24
92,39159,Aetna Life Insurance Company,CT,5454083.6,2822391.74,2719970.89,394978,430042,98469600.06,92307381.1,Aetna Life Insurance Company,CT,4544078.36,-621770.44,-610884.79,93291,433610,35918919.04,31853805.4
93,86545,Anthem Health Plans Inc. (Anthem BCBS),CT,53879332.07,13893512.78,1456630.51,709141,882121,284597256,270068513.8,Anthem Health Plans Inc.(Anthem BCBS),CT,37802725.1,25538509.66,25341838.53,654579,464639,280767787,281199270.2
94,74684,Celtic Insurance Company**,CT,0,-376.51,,566,,146313,78932.17738,,,,,,,,,
95,87354,Cigna Health and Life Insurance Company**,CT,1443523.59,-45977.45,,7558,5600,3024212,4941316,Cigna Health and Life Insurance Company,CT,949866.36,1551767.81,,7637,7581,3105679,5626276
96,76962,"ConnectiCare Benefits, Inc. **",CT,22088564.32,-6289036.98,,302364,,145886000,127959000,"ConnectiCare Benefits, Inc.",CT,20637447.76,4456584.71,,439258,,194807925.7,183674757.7
97,94815,"ConnectiCare Insurance Company, Inc. **",CT,13127918.24,-10948959.34,-7957364.87,263102,640290,94374795,81056000,"ConnectiCare Insurance Company, Inc.",CT,17822555.02,-26170707.17,-10932640.17,482538,790744,169320298,166089425.7
98,75091,"ConnectiCare, Inc. **",CT,9490.2,-115248.13,72069.21,6108,56182,2748338,2504000,"ConnectiCare, Inc.",CT,26569.95,-1899004.88,-6351.77,11204,1041,4087279.69,2760050.122
99,95882,"Harvard Pilgrim Health Care of Connecticut, Inc. **",CT,,,9449.37,,,,,"Harvard Pilgrim Health Care of Connecticut, Inc.",CT,,,-586198.35,,2813,,
100,91069,"HealthyCT, Inc. **",CT,1944236.31,-569431.67,-532743.6,23491,3296,11974980,12903482.29,"HealthyCT, Inc.",CT,11450211.51,-6912671.83,-6459820.49,204238,70909,95596346.48,94063469.84
101,89130,"HPHC Insurance Company, Inc. **",CT,,,-130325.86,,842,,,"HPHC Insurance Company, Inc.",CT,,,-9781592.11,,72808,,
102,29462,"Oxford Health Insurance, Inc. **",CT,,,4715438.4,10175,281054,6277323.63,5081898.85,"Oxford Health Insurance, Inc.",CT,,,5162193.87,7471,226055,4981886.02,4654320.68
103,71179,"Oxford Health Plans (CT), Inc. **",CT,,,-86030.15,1336,71604,975602.14,911348.93,"Oxford Health Plans (CT), Inc.",CT,,,-1834583.56,399,31660,260782.68,197148.41
104,86542,Time Insurance Company**,CT,2907270.19,1253125.49,,32592,,10690013,12884801,Time Insurance Company,CT,2420111.46,905352.48,,44378,,16848251,19155290
105,49650,UnitedHealthcare Insurance Company,CT,,,-267093.84,1934,8132,998138.95,-896855.92,United Healthcare Insurance Company,CT,1989551.43,1159270.36,-291961.23,27086,6305,12920412.57,14534404.08
106,73987,Aetna Health Inc. (a PA corp.),DC,,,-239619.32,44,13487,22061.26,62500.78,Aetna Health Inc. (a PA corp.),DC,,,-905578.03,,7469,,
107,77422,Aetna Life Insurance Company,DC,0,-45424.71,400712.47,19134,12722,3784199.41,2750090.09,Aetna Life Insurance Company,DC,26078.14,-254043.25,-335906.75,7547,8048,2045560.4,1150528.64
108,86052,"CareFirst BlueChoice, Inc.",DC,1900356.26,-1007058.65,-6732251.48,85443,411734,22644314.97,22846546.22,"CareFirst Blue Choice, Inc.",DC,3021555.65,-1630614.05,-10757047.29,110036,440289,33188114.25,30505235.97
109,78079,GHMSI,DC,2071230.11,1803989.23,8238082.97,91636,491235,31714766.26,32975261,GHMSI,DC,2537992.49,3510581.06,15545279.98,78795,468211,30954934.21,34339711.12
110,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,316474.04,-751505.85,-1598160.33,22353,47595,8802394,8736406,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,493299.21,-1625923.79,-2940128.99,28987,47724,8721639,9746356
111,75753,"Optimum Choice, Inc.",DC,,,186718.46,146,18132,96830.42,41721.66,"Optimum Choice, Inc.",DC,,,-171150.38,181,12853,103401.8,12905.09
112,41842,UnitedHealthcare Insurance Company,DC,,,-255482.82,502,91860,367061.23,-13596163.6,United Healthcare Insurance Company,DC,,,-389192.26,4233,87665,989112.32,15388473.43
113,67190,Aetna Health Inc. (a PA corp.),DE,,,12382.86,138,43949,77729.2,323311.26,Aetna Health Inc. (a PA corp.),DE,729611.12,-743159.52,-557909.15,12516,45656,4569217.03,4965220.65
114,29497,Aetna Life Insurance Company,DE,290104.21,-357373.55,-77166.51,37213,3228,7707729.93,5261689.08,Aetna Life Insurance Company,DE,983961.77,-1832345.1,-241246.17,23387,4936,8127670.65,7114111.22
115,13537,Coventry Health and Life,DE,437178.28,3410.6,,16121,484,3677153,2861580.77,,,,,,,,,
116,81914,"Coventry Health Care of Delaware, Inc.",DE,628973.12,-427183.66,235718.45,10111,92287,3606911,2716606.48,"Coventry Health Care of Delaware, Inc.",DE,0,,-1468781.32,814,58896,412018.92,430624.65
117,76168,Highmark BCBSD Inc.,DE,17745845.52,727926,-438027.53,,,,,Highmark BCBSD Inc.,DE,20884315.58,2779948.94,2329735.02,,,,
118,78960,John Alden Life Insurance Company,DE,,,-2542.01,342,480,96820,41071,John Alden Life Insurance Company,DE,,,-5432.47,279,18,79509,42692
119,97569,"Optimum Choice, Inc.",DE,,,-45756.59,24,767,13125.85,3149.4,"Optimum Choice, Inc.",DE,,,-112992.65,,581,,
120,97889,Time Insurance Company,DE,512544.5,53220.61,-4709.65,6861,2760,1533482,1673209,Time Insurance Company,DE,101901.86,40682.47,-10832.08,2948,43,986662,772875
121,61021,UnitedHealthcare Insurance Company,DE,,,320100.97,486,2524,244000.03,142067.59,United Healthcare Insurance Company,DE,,,67458.83,358,3046,142305.26,59814.41
122,18628,Aetna Health Inc. (a FL corp.),FL,1205126.79,-525058.02,389940.41,404615,883049,93742793.82,71993704.55,Aetna Health Inc. (a FL corp.),FL,10360565.46,-28025200.75,5437975.83,485275,824836,153265045.8,124845466.8
123,23841,Aetna Life Insurance Company,FL,32190446.23,20415906.73,1330151.83,409905,92602,152776589.5,175865983.9,Aetna Life Insurance Company,FL,731464.13,-2790586.53,1289962.56,34529,112153,12535255.49,10352181.89
124,42204,All Savers Insurance Company,FL,,,31520.79,138,43780,53914.6,25262.61,All Savers Insurance Company,FL,,,-125918.62,158,30287,75514.52,53235.14
125,19898,"AvMed, Inc.",FL,1841557.61,1215541.75,-3118661.5,114237,380802,28608236,23869035,"AvMed, Inc.",FL,3804584.76,-148477.46,-3997943.28,168528,434149,55062372,50135453
126,16842,Blue Cross and Blue Shield of Florida,FL,265367761.3,221628751.9,4537166.63,5946938,2327073,1964556922,2007392657,Blue Cross and Blue Shield of Florida,FL,203698387.5,368933330.5,8102147.17,6204216,2084681,2399215803,2407327473
127,66966,Capital Health Plan,FL,,,635267.48,,158719,,,Capital Health Plan,FL,,,3951692.24,,154324,,
128,21663,Celtic Insurance Company,FL,14820.41,143355.7,,138,,174155,432959.3592,Celtic Insurance Company,FL,110365.02,193747.7,,111,,196528.25,635771.117
129,48121,Cigna Health and Life Insurance Company,FL,75559934.98,39512510.93,,406640,90788,178312739,274385648,Cigna Health and Life Insurance Company,FL,82711915.66,73421679.32,,497891,63293,238338961,448394923
130,76089,Coventry Health and Life Insurance Co.,FL,,,107518.39,79654,14868,13570204,11566437.26,Coventry Health and Life Insurance Co.,FL,,,-31756.97,280,4870,125.65,3921.93
131,57451,"Coventry Health Care of Florida, Inc.",FL,63556095.78,-160958367.1,90797.9,2194518,229598,632137574.4,505332831.5,"Coventry Health Care of Florida, Inc.",FL,56919893.68,-110567546,973155.25,2827355,128894,798433547.1,727386476.9
132,92120,"Coventry Health Plan of Florida, Inc.",FL,1838893.01,824165.75,,183541,,53843141.34,43602103.04,"Coventry Health Plan of Florida, Inc.",FL,489538.37,-1502492.36,,41870,,15021291.46,13064460.97
133,56503,"Florida Health Care Plan, Inc.",FL,3957217.77,4718787.44,-69476.1,43790,63494,18256065.08,22655624.43,"Florida Health Care Plan, Inc.",FL,2186051.19,2314125.36,528571.04,37045,59053,18538858.37,20950336.53
