,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15
52,88925,"University of Arizona Health Plans-University Healthcare, Inc.",AZ,292653.92,858090.36,,,,,8435.06,"University of Arizona Health PlansUniversity Healthcare, Inc.",AZ,462348.2,-9792044.0,,92463.0,,24466345.22,15147518.56,,,,,,,,,
53,20523,Aetna Health of California Inc.,CA,,,-23489767.02,4418.0,919142.0,2247068.97,3347533.76,Aetna Health of California Inc.,CA,,,-55802137.54,2133.0,1022238.0,804160.83,1476307.62,Aetna Health of California Inc.,CA,,,-30584653.01,293.0,1007899.0,86943.05,3121174.22
54,40733,Aetna Life Insurance Company,CA,,,-1519853.96,63292.0,796551.0,20902313.32,13984397.1,Aetna Life Insurance Company,CA,,,26507101.9,15408.0,633699.0,7411703.35,5604240.79,Aetna Life Insurance Company,CA,,,22400144.48,7162.0,596237.0,3745286.25,1882111.11
55,27603,Blue Cross of California(Anthem BC),CA,401126393.3,-181692588.0,23364909.92,6902480.0,4307547.0,2473401722.0,2027689771.0,Blue Cross of California (Anthem BC),CA,324481782.2,-26380560.05,98210694.17,7358067.0,3947887.0,2764613657.0,2568707977.0,Blue Cross of California(Anthem BC),CA,210252593.47,49496966.88,216503893.64,7425788.0,4829405.0,2934404826.0,2952584864.0
56,70285,CA Physician's Service dba Blue Shield of CA,CA,363050264.5,135212707.6,13755875.29,5746687.0,1599976.0,2103117282.0,1938962494.0,CA Physician's Service dba Blue Shield of CA,CA,282147399.1,181516599.0,19822043.9,6984408.0,2367193.0,2658951422.0,2638243806.0,CA Physician's Service dba Blue Shield of CA,CA,200597192.85,265442825.1,105943814.59,8342490.0,5418248.0,3331546180.0,3407583852.0
57,47579,Chinese Community Health Plan,CA,1824095.22,-16711278.79,-3067299.35,141014.0,21332.0,60268718.32,29949706.93,Chinese Community Health Plan,CA,2569834.4,-28712244.96,-1540479.6,155023.0,23217.0,70273738.3,24778424.54,Chinese Community Health Plan,CA,2031826.13,-24844080.41,-2248025.07,154960.0,25754.0,70383906.83,35832049.9
58,40025,Cigna Health and Life Insurance Company,CA,21440171.45,17743436.54,,104223.0,1428.0,40220929.0,71930149.0,Cigna Health and Life Insurance Company,CA,17586666.04,5953639.83,,294886.0,7695.0,101545360.0,116800407.0,Cigna Health and Life Insurance Company,CA,7651494.69,6391520.32,,203893.0,13566.0,78456145.0,97466924.0
59,99483,Contra Costa Health Plan,CA,2293366.91,1753287.86,,9787.0,2088.0,5141306.0,8923224.0,,,,,,,,,,,,,,,,,,
60,84014,County of Santa Clara,CA,440556.13,-318460.38,,15120.0,148.0,6988341.0,6495642.0,County of Santa Clara,CA,505318.49,-115235.31,,22876.0,138.0,9807595.0,8941213.0,Valley Health Plan,CA,315872.69,-2983496.65,,36673.0,385.0,17269187.0,13356316.0
61,56887,"County of Ventura, dba Ventura County Health Care Plan",CA,,,500462.21,,3571.0,,,"County of Ventura, dba Ventura County Health Care Plan",CA,0.0,,358925.34,,2868.0,,,Ventura County Health Care Plan,CA,,,274684.29,,6776.0,,
62,99110,Health Net Life Insurance Company,CA,96305759.81,53801059.26,-1149328.11,670834.0,739749.0,229515619.0,341244349.0,Health Net Life Insurance Company,CA,94347305.12,53436905.52,11418011.12,444015.0,1101301.0,187024958.0,479433200.0,Health Net Life Insurance Company,CA,23086888.56,65553512.41,27189932.09,328744.0,1089874.0,169810875.1,280252072.4
63,67138,"Health Net of California, Inc.",CA,48731305.15,-100186993.9,-3718209.96,2002237.0,2156540.0,653074515.0,476139478.0,"Health Net of California, Inc.",CA,41900195.93,-125635855.9,-9525637.47,2736915.0,1788573.0,895993865.0,681419303.0,"Health Net of California, Inc.",CA,24670172.12,-53862013.99,-41807057.69,2083374.0,1456517.0,732748701.6,608224981.5
64,68744,Humana Insurance Company,CA,,,8197.35,,1079.0,,,Humana Insurance Company,CA,,,23570.86,,439.0,,,,,,,,,,,
65,40513,"Kaiser Foundation Health Plan, Inc.",CA,240031290.8,98811448.39,-6119361.66,5935591.0,7801104.0,2273510519.0,2044153218.0,"Kaiser Foundation Health Plan, Inc.",CA,193662847.0,-82078859.73,-86677086.3,7551901.0,8079938.0,2864002080.0,2536678058.0,"Kaiser Foundation Health Plan, Inc.",CA,99483995.87,-182807948.2,-254946663.78,7386281.0,9839547.0,2899936689.0,2664433592.0
66,27330,Kaiser Permanente Insurance Company,CA,,,-178446.96,,9335.0,,,Kaiser Permanente Insurance Company,CA,,,765550.26,,9945.0,,,Kaiser Permanente Insurance Company,CA,,,-331349.12,,12242.0,,
67,92815,Local Initiative Health Authority for Los Angeles County,CA,347123.67,-31742828.09,,240012.0,,66111108.0,47084780.0,Local Initiative Health Authority for Los Angeles County,CA,173346.94,-23491264.75,,187043.0,,57736325.1,33021025.18,Local Initiative Health Authority for Los Angeles County,CA,24557.63,-12354890.24,,127728.0,,44046851.51,27395497.21
68,18126,MOLINA HEALTHCARE OF CALIFORNIA,CA,950343.48,-9072047.23,,71865.0,,20990525.0,8163374.0,Molina Healthcare of California,CA,1230390.91,-25983024.62,,199582.0,,60304876.0,28198872.0,Molina Healthcare of California,CA,3087612.7,-106521339.27,,792947.0,,247229762.0,108535836.0
69,92499,Sharp Health Plan,CA,10986209.85,10432568.53,-953791.37,122265.0,112929.0,48589226.0,63015430.38,Sharp Health Plan,CA,9640079.06,9791489.44,-5238158.44,230438.0,176700.0,105005537.0,105532273.0,Sharp Health Plan,CA,6648728.33,5351707.64,-9546508.28,324858.0,328423.0,131730201.0,122381020.0
70,64198,Time Insurance Company,CA,45901082.37,19393416.27,,351232.0,,104985608.0,197653699.0,Time Insurance Company,CA,65148241.89,63308434.85,,720760.0,,278139241.0,441889313.0,,,,,,,,,
71,35305,Trustmark Life Insurance Company,CA,,,-132284.52,1478.0,,126043.26,48046.62014,Trustmark Life Insurance Company,CA,0.0,-165775.07,,842.0,,74003.11,33189.3,,,,,,,,,
72,49116,UHC of California,CA,,,-2215283.01,5622.0,407230.0,2881887.45,3398138.4,UHC of California,CA,,,-1290603.41,3275.0,403312.0,1498719.36,2149910.87,UHC of California,CA,,,-15840917.19,4715.0,752476.0,2295597.16,2683968.02
73,95677,UnitedHealthcare Insurance Company,CA,,,4029609.65,12461.0,503041.0,5995770.22,6042728.3,United Healthcare Insurance Company,CA,,,3006738.38,10567.0,492637.0,4656797.6,4845846.23,UnitedHealthcare Insurance Company,CA,,,-6770926.79,10293.0,840398.0,4565554.32,4285516.25
74,93689,Western Health Advantage,CA,5847162.74,2576272.04,884571.67,40958.0,344213.0,17648512.71,23285629.43,Western Health Advantage,CA,6089256.83,-1713529.97,3553914.02,82544.0,352835.0,36465371.67,35046006.27,Western Health Advantage,CA,3454688.21,-4446832.83,2191329.0,114249.0,386159.0,52425442.0,47458058.03
75,92137,All Savers Insurance Company,CO,547719.39,481970.65,,1794.0,,960626.99,1661246.86,All Savers Insurance Company,CO,73109.0,168907.5,,1504.0,,754995.49,928849.03,All Savers Insurance Company,CO,129784.97,939139.28,,3267.0,,1781624.24,1860916.19
76,49375,Cigna Health and Life Insurance Company,CO,10847936.42,10208969.51,,73019.0,3932.0,29192161.0,43386898.0,Cigna Health and Life Insurance Company,CO,6431729.43,10417522.17,,90880.0,2771.0,35996954.0,46141581.0,Cigna Health and Life Insurance Company,CO,6707081.89,1238103.55,,336710.0,1581.0,115375928.0,117857758.0
77,63312,Colorado Choice Health Plans,CO,6252605.7,-4578461.04,-534596.16,63856.0,32144.0,23273256.0,29458165.0,Colorado Choice Health Plans,CO,4665826.16,1562462.46,-1750013.59,65551.0,29964.0,24627126.0,29021855.0,Colorado Choice Health Plans,CO,3886517.25,-2794252.54,28711.53,151321.0,40243.0,63697696.0,58699592.0
78,20472,"Colorado Health Insurance Cooperative, Inc.",CO,19571825.5,-4393875.95,-97502.97,144312.0,1277.0,53792423.77,67902479.91,"Colorado Health Insurance Cooperative, Inc.",CO,38664334.67,-41180913.97,-819602.44,890026.0,26597.0,239276326.0,322392216.6,,,,,,,,,
79,66699,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.6,,5526.0,,1886324.0,4647051.0,"Denver Health Medical Plan, Inc.",CO,90456.8,2379976.29,,2857.0,,1259820.15,2795911.49,"Denver Health Medical Plan, Inc.",CO,297354.64,2810015.23,,2490.0,,1167062.43,3274884.0
80,76680,"HMO Colorado, Inc., dba HMO Nevada",CO,12493994.43,261875.8,-860371.91,139712.0,18150.0,49887492.56,54875780.77,HMO Colorado Inc.(Anthem BCBS),CO,9021034.94,29925.42,-1803127.62,193986.0,22133.0,61543183.63,65114183.23,HMO Colorado Inc(Anthem BCBS),CO,6296226.19,-22957774.05,-5766680.6,381552.0,56858.0,136955596.5,107135236.3
81,74320,Humana Health Plan,CO,8822154.98,4731745.94,-2841602.51,205949.0,173854.0,47543279.95,55236205.29,Humana Health Plan,CO,7614421.26,6064407.53,3278864.95,138751.0,215339.0,41906992.59,49664673.44,Humana Health Plan,CO,4384982.12,19133063.67,-1635879.75,107490.0,209696.0,38473280.96,55122389.97
82,79509,Humana Insurance Company,CO,1268061.73,1264744.68,139778.65,195438.0,11126.0,42583478.25,31808594.15,Humana Insurance Company,CO,1442411.66,664060.25,-95294.25,87852.0,14273.0,23166217.33,18871983.99,Humana Insurance Company,CO,164260.09,719860.7,621087.18,14536.0,7695.0,4810241.0,2796922.79
