HIOS ID	HIOS INPUTTED INSURANCE COMPANY NAME_2014	STATE_2014	REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014	"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014"	HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014	7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014	7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014	1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014	2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014	IndPremiumPMM_2014	IndCostsPMM_2014	IndRTPMM_2014	TotalP2014	IndPremiumMinusCostsPMM_2014	HIOS INPUTTED INSURANCE COMPANY NAME_2015	STATE_2015	REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015	"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015"	HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015	7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015	7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015	1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015	2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015	IndPremiumPMM_2015	IndCostsPMM_2015	IndRTPMM_2015	IndPremiumMinusCostsPMM_2015	HIOS INPUTTED INSURANCE COMPANY NAME	STATE	REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)	"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)"	HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)	7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15	7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15	1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15	2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15	IndPremiumPMM	IndCostsPMM	IndRTPMM	IndPremiumMinusCostsPMM	ExitedMarketIn2016
66105	Humana Insurance Company	AZ	1328793.1	1164384.91	27209.69	180110	70211	31945882.48	27091713.83	177.3687329	150.4175994	6.464854311	33.41598778	26.95113347	Humana Insurance Company	AZ	1778440.1	689053.89	900266.16	54591	53171	15798846	12122248.97	289.4038578	222.0558145	12.62211518	67.34804327	Humana Insurance Company	AZ	2656508.48	-1311469.26	-1065223.04	97980	43082	28240828.17	30256833.69	288.2305386	308.8062226	-13.38507103	-20.57568402	0
81941	Aetna Health Inc. (a LA corp.)	LA	1125984.52	-2764603.7	-120226.85	149620	85123	27002700	25513962.18	180.4752038	170.5250781	-18.477501	-8.527375215	9.950125785	"Coventry Health Care of Louisiana, Inc."	LA	1301311.45	-9447131.62	-727200.2	78262	53216	19409194.68	12798652.92	248.0027942	163.5359807	-120.7116049	84.46681352	Aetna Health Inc. (a LA corp.)	LA	664684.81	-6121430.71	-644489.03	51289	29833	17194438.38	9795494.66	335.2461226	190.9862672	-119.3517267	144.2598553	0
61644	Aetna Life Insurance Company	NC	215718.92	-240838.67	205830.47	62142	11297	11364162.23	9280166.74	182.8740985	149.3380763	-3.875618261	29.66040392	33.53602218	Aetna Life Insurance Company	NC	651988.51	-715751.32	-157069.07	16986	11487	4390892.19	4106034.29	258.5006588	241.730501	-42.13772048	16.77015778	Aetna Life Insurance Company	NC			-943358.48	578	44008	247057.16	481194.16	427.4345329	832.5158478		-405.0813149	1
62294	Humana Insurance Company	MI	698246.11	884115.01	-107913.09	101756	81670	18662585.78	14364555.98	183.4052614	141.166673	8.688578659	50.92716705	42.23858839	Humana Insurance Company	MI	1227648.12	-356523.02	-541342.84	33385	62952	10083892.39	6049813.101	302.0485964	181.2135121	-10.67913794	120.8350843	Humana Insurance Company	MI	597264.23	282976.78	-442791.4	28784	52331	9148102.29	9004530.18	317.8190067	312.831093	9.83104433	4.987913772	0
80431	Freedom Life Insurance	SC	0	-599.88		2469		458787	378926	185.818955	153.473471	-0.242964763	32.10251924	32.345484	Freedom Life Insurance	SC	7907.84	-7622.19		2028		421461	432622	207.8210059	213.3244576	-3.758476331	-5.503451677	Freedom Life Insurance Company of America	SC	0	-520.68		1735		366124	106303	211.0224784	61.26974063	-0.300103746	149.7527378	1
96384	Cox Health Systems Insurance Company	MO	1265068.01	-173675.23	-164283.18	101891	22942	19336149	18647400	189.7728847	183.01322	-1.70451983	5.05514491	6.75966474	Cox Health Systems Insurance Company	MO	1954932.69	-1884389.93	-1229766.58	120726	31560	26708066	24317228.3	221.2287825	201.4249482	-15.60881608	19.8038343	Cox HealthPlans	MO	1399376.4	-3684258.43	-1394119.54	132265	40377	32195573	32947426	243.4171776	249.1016217	-27.85512743	-5.684444108	0
83198	"Sierra Health and Life Ins Company, Inc."	NV	6624972.17	6879575.41	2637752.16	308590	167244	58679798.88	58742830.01	190.1545704	190.3588257	22.29357857	22.08932331	-0.204255258	"Sierra Health and Life Ins Company, Inc."	NV	10119419.06	4132272.63	72611.26	377613	239448	102774924.9	96883579.81	272.1699859	256.5684439	10.94314187	15.60154203	"Sierra Health and Life Insurance Company, Inc."	NV	8209939.49	13434434.68	266851.71	392267	288169	127153733.8	130694505.8	324.1509834	333.1774169	34.24818983	-9.026433526	0
53524	Coventry Health and Life	OK	548214.67	-322539.29	-977664.58	52740	92540	10161093	8321225.91	192.6638794	157.7782691	-6.115648275	28.76996208	34.88561035	Coventry Health and Life	OK	22512.4	-200398.31	-816839.4	9743	47711	1666568.13	1429357.23	171.0528718	146.706069	-20.56843991	24.34680283	Coventry Health and Life	OK			-53793.64	54	20996	19026.47	9359.45	352.342037	173.3231481		179.0188889	1
29241	Priority Health Insurance Company (PHIC)	MI	1980226.36	1869040.06	267097.25	260064	175745	50424136	51433723	193.8912575	197.7733289	7.186846545	3.304775209	-3.882071336	Priority Health Insurance Company (PHIC)	MI	4303697.77	37908.56	124208.68	255090	144552	59195738	53108065	232.0582461	208.1934415	0.14860857	23.86480458	Priority Health	MI	3777289.5	5900733.25	1298105.46	274816	157168	77199778	78396996	280.9144227	285.2708576	21.47157826	-4.356434851	0
63141	Humana Insurance Company	TX	21797558.59	5252230.85	-1055927.97	1152876	409270	225637658.6	235618617.3	195.7171965	204.3746399	4.55576389	-4.101679495	-8.657443385	Humana Insurance Company	TX	22961195.74	16542107.09	-1192747.03	960435	291529	230141545.1	262184110.3	239.6221973	272.984752	17.22355713	-33.36255468	Humana Insurance Company	TX	40825576.65	75959121.33	-1009234.4	825944	192074	254400868.6	434295724	308.0122485	525.8173968	91.96643033	-217.8051483	0
38927	Aetna Health of Utah Inc.	UT	3138343.27	-1640855.99	347136.03	142404	419799	27872977.89	26503726.2	195.7317062	186.1164448	-11.52254143	-1.907279991	9.615261439	Altius Health Plans Inc.	UT	2271988.13	-3519378.66	-991146.89	131934	275220	28394641.19	27965900.91	215.2185274	211.9688701	-26.67529719	3.249657253	Altius Health Plans Inc.	UT	633404.46	-2076263.76	-1421968.44	49789	140672	13206793.47	12018181.51	265.2552465	241.3822634	-41.70125449	23.87298319	0
19503	Time Insurance Company	KY	2528454.66	1786736.84	196961.32	44888	7273	8834919	13511722	196.8213999	301.0096685	39.80433167	-64.38393693	-104.1882686	Time Insurance Company	KY	1692781.9	1187533.23	-16224.72	35805	6190	8818172	13346144	246.2832565	372.745259	33.16668705	-126.4620025														1
15411	"Humana Health Plan, Inc."	KY	7877805.71	1152387.48	-1929958.7	301919	547482	59580665.13	64919042.08	197.3398995	215.0213868	3.816876315	-13.86461094	-17.68148725	"Humana Health Plan, Inc."	KY	6821351.04	3404519.29	-1964729.71	189064	624026	51957088.49	55892517.14	274.812172	295.6274972	18.00723189	-20.81532523	"Humana Health Plan, Inc."	KY	3650974.52	4158571.2	-2971979.56	144065	575713	46009746.68	56155044.47	319.3679706	389.7896399	28.8659369	-70.42166932	0
77422	Aetna Life Insurance Company	DC	0	-45424.71	400712.47	19134	12722	3784199.41	2750090.09	197.7735659	143.7279236	-2.374031044	51.67161127	54.04564231	Aetna Life Insurance Company	DC	26078.14	-254043.25	-335906.75	7547	8048	2045560.4	1150528.64	271.0428515	152.4484749	-33.66148801	118.5943766	Aetna Life Insurance Company	DC			-278383.82	258	9712	104974.72	96648.02	406.8787597	374.6047287		32.27403101	1
33906	Aetna Life Insurance Company	PA	2951625.54	-67222.42	-382153.41	542601	78728	107410604	98689530.82	197.9550425	181.8823239	-0.12388923	15.94882936	16.07271859	Aetna Life Insurance Company	PA	4647588.91	-9332073.48	-361486.58	217406	107344	65677880.61	54041189.78	302.097829	248.5726695	-42.9246363	53.52515952	Aetna Life Insurance Company	PA	0	-64.1	-835761.71	3432	126042	1257596.17	1435338.08	366.4324505	418.2220513	-0.018677156	-51.78960082	0
89029	Time Insurance Company	MI	2196259.12	688700.17	-60605.89	130130	56167	25848787	24230833	198.6381849	186.2048183	5.292401214	17.72576784	12.43336663	Time Insurance Company	MI	2392980.67	1364106.91	-129271.65	105644	49242	25854093	24852227	244.7284559	235.2450399	12.91229895	9.483416001														1
56764	"Humana Medical Plan of Utah, Inc."	UT	3555669.52	-9861880.07		119232		23750751.72	24774017.66	199.1977969	207.7799388	-82.71168872	-91.2938306	-8.582141875	"Humana Medical Plan of Utah, Inc."	UT	2401586.97	-12348265.88		150566		32572721	25970854	216.3351686	172.4881713	-82.01231274	43.84699733	"Humana Medical Plan of Utah, Inc."	UT	521649.44	-5105680.26		75653		19984930.07	16416733.2	264.1657313	217.0004256	-67.48814006	47.16530567	0
32237	Humana Insurance Company	NC	86672.41	-458922.56	-9900.45	37196	623	7419397.65	5361900.222	199.4676215	144.152603	-12.33795462	42.97706388	55.3150185	Humana Insurance Company	NC	293030.6	-520970.75		28992	12	6801002.18	5108896.339	234.5820288	176.217451	-17.96946571	58.36457785	Humana Insurance Company	NC	454507.19	-1766155.71		36040		11018852.23	9552219.98	305.739518	265.0449495	-49.00543036	40.69456853	0
61430	Coventry Health and Life	KS	18150600.47	-10156545.5	-84693.06	604296	102777	120717982	136996020.5	199.7663099	226.7035037	-16.80723602	-43.74442988	-26.93719386	Coventry Health and Life	KS	19219397.06	-18755986.82	-684315.4	641288	66865	163491388.5	187931271.1	254.9422233	293.0528422	-29.24736908	-38.11061894	Coventry Health and Life	KS	3045695.42	-11830329.41	-14621.47	182842	35293	56178091.43	49763626.23	307.2493816	272.1673698	-64.70247213	35.08201179	0
85654	HealthPartners Insurance Company	MN	10273153.62	-5217351.16	-820791.54	253562	200964	50895000	53127000	200.7201395	209.5227203	-20.57623445	-29.37881528	-8.802580828	HealthPartners Insurance Company	MN	9288091.28	-29118111.14	-3345685.38	507606	194406	109802000	100347000	216.31344	197.6867886	-57.36360709	18.62665138	HealthPartners Insurance Company	MN	6932266.01	-55107410.5	-2487209.58	667739	142823	188789000	150979000	282.7287308	226.1048104	-82.52836887	56.62392042	0
60597	PacificSource Health Plans	ID	2266284.66	663249.2	-228325.54	92174	72031	18851283	19724797.9	204.5184434	213.995247	7.195621325	-2.281182329	-9.476803654	Pacific Source Health Plans	ID	807479.44	600458.28	-80877.14	34541	21577	7143434	8342078.867	206.8102834	241.5123727	17.38392866	-34.70208931	PacificSource Health Plans	ID	38751.09	303111.16	-116759.35	26839	14107	5969401	5955373.513	222.4151794	221.8925263	11.29368307	0.522653117	0
77969	Regence BlueCross BlueShield of Oregon	OR	10846173.39	4080269.2	6543460.93	368323	374065	75631577	79709375	205.3403589	216.4116143	11.07796472	0.00670933	-11.07125539	Regence BlueCross BlueShield of Oregon	OR	5234032.69	5024567.08	5570483.58	281509	290080	62826201	68324502	223.1765272	242.7080555	17.84869073	-19.5315283	Regence BlueCross BlueShield of Oregon	OR	4627308.73	1694890.09	4558873.15	175655	296113	60524893	58819381	344.5668669	334.8574251	9.648971507	9.709441804	0
29497	Aetna Life Insurance Company	DE	290104.21	-357373.55	-77166.51	37213	3228	7707729.93	5261689.08	207.1246589	141.393843	-9.603459812	56.12735603	65.73081584	Aetna Life Insurance Company	DE	983961.77	-1832345.1	-241246.17	23387	4936	8127670.65	7114111.22	347.5294245	304.1908419	-78.34887331	43.33858255	Aetna Life Insurance Company	DE	1002995.37	-617987.08	-609891.66	22659	9415	9954488.68	11091264.04	439.3172108	489.4860338	-27.2733607	-50.16882298	0
43129	UnitedHealthcare Life Insurance Company	UT	42356.49	43110.39		7350		1533659	1057078.33	208.6610884	143.820181	5.865359184	70.70626666	64.84090748	United Healthcare Life Insurance Company	UT	119171.57	47918.32		4244		1430023.97	2386267.14	336.9519251	562.2684119	11.29083883	-225.3164868	UnitedHealthcare Life Insurance Company	UT	171226.54	316788.43		3878		1449222.67	2421683	373.7036282	624.4669933	81.68861011	-250.7633651	0
88102	PreferredOne Insurance Company	MN	51337471.78	5422835.32	-1029344.47	880297	192143	186382394	293227598	211.7267172	333.100758	6.160233785	-115.213807	-121.3740408	Preferred One Insurance Company	MN	4222933.09	5753591.46	-3077770.23	78619	178184	55169518	32466576	701.7326346	412.9609382	73.18321856	288.7716964	PreferredOne Insurance Company	MN	1189854.34	4665798.89	-5741279.42	21744	185223	9103900	13548366	418.6856144	623.0852649	214.5786833	-204.3996505	0
68781	SelectHealth	UT	51361644.15	12505596.48	-1805886.51	1144804	1347616	244284085	346944682	213.3850729	303.0603335	10.92378825	-78.75147232	-89.67526057	Select Health	UT	45753380.6	29815302	2775857.47	1430842	1402554	333665717.5	492765465.8	233.1953615	344.388455	20.83759213	-111.1930935	SelectHealth	UT	32012506.7	22409549.17	-995925.57	1849312	1474420	509597215.4	702984108	275.560433	380.132778	12.11777632	-104.5723451	0
45127	Capital Advantage Assurance Company	PA	276428.37	395776.73	5977678.07	112518	1178312	24451444	15627145	217.3113991	138.8857338	3.517452585	81.94311782	78.42566523	Capital Advantage Assurance Company	PA	4546704.54	6863660.42	-3297707.87	116325	1002856	35385364	44730192	304.1939738	384.5277627	59.00417296	-80.33378895	Capital Advantage Assurance Company	PA	13180606.35	13226705.35	-6125098.38	441483	722751	185914936	217985745	421.1145978	493.757959	29.95971612	-72.64336113	0
79509	Humana Insurance Company	CO	1268061.73	1264744.68	139778.65	195438	11126	42583478.25	31808594.15	217.8874029	162.7554219	6.471334541	61.60331553	55.13198099	Humana Insurance Company	CO	1442411.66	664060.25	-95294.25	87852	14273	23166217.33	18871983.99	263.6959583	214.8156444	7.558851819	48.88031394	Humana Insurance Company	CO	164260.09	719860.7	621087.18	14536	7695	4810241	2796922.79	330.9191662	192.4135106	49.52261282	138.5056556	0
56971	John Alden Life Insurance Company	MN	2783.9	-46632.1	113761.56	7946	512	1732269	1793096	218.0051598	225.6602064	-5.868625724	-13.52367229	-7.655046564	John Alden Life Insurance Company	MN	3609.11	-93357.87	-43185.94	4840	204	1210818	651360	250.1690083	134.5785124	-19.28881612	115.5904959														1
91450	"Health Net of Arizona, Inc."	AZ	26048764.45	-26088803.1	-2284176.05	567847	130857	124579161	170970269	219.3886047	301.0850969	-45.94336696	-127.6398592	-81.69649219	"Health Net of Arizona, Inc."	AZ	12625077.68	1953496.4	-4432593.99	409710	94918	93736793	139654977.4	228.7881502	340.8629943	4.767997852	-112.0748442	"Health Net of Arizona, Inc."	AZ	4433397.9	9901556.2	-2809420.3	217218	48583	60980911.78	88094557.05	280.7359969	405.5582735	45.58349768	-124.8222766	0
83978	Aetna Life Insurance Company	GA	2623982.14	-500123.69	-3143639.65	325926	270504	71679839.36	65252933.38	219.9267299	200.2078183	-1.534470064	18.18444153	19.71891159	Aetna Life Insurance Company	GA	6808764.85	-14644018.02	3485222.28	248398	365173	80536607.95	68980935.36	324.2240596	277.703264	-58.95384834	46.52079562	Aetna Life Insurance Company	GA	7209783.66	-7286899.98	11869948.22	294890	332786	113626086.8	108891922.4	385.3168531	369.2628519	-24.71056998	16.05400115	0
82120	Humana Insurance Company	TN	7489285.27	275162.36	-1959826.68	297853	257648	65549030.12	69602919.01	220.0717472	233.682115	0.923819334	-12.6865485	-13.61036783	Humana Insurance Company	TN	8501816.89	618404.6	-2645066.63	296844	343106	78246627.84	83685155.47	263.5951134	281.9162775	2.08326461	-18.32116408	Humana Insurance Company	TN	6589586.31	1781992.58	307106.48	383931	298969	129383773	127426655.2	336.9974631	331.8998862	4.641439686	5.097576908	0
87696	Time Insurance Company	NC	2823899.85	12959.79	-109748.65	93145	2287	20763791	21448918	222.919008	230.2744968	0.139135649	-7.216353105	-7.355488754	Time Insurance Company	NC	2414167.19	-2641746.14	-271229.67	82276	2702	22802565	24135384	277.147224	293.3465895	-32.10834435	-16.19936555														1
97889	Time Insurance Company	DE	512544.5	53220.61	-4709.65	6861	2760	1533482	1673209	223.5070689	243.8724676	7.75697566	-12.60842297	-20.36539863	Time Insurance Company	DE	101901.86	40682.47	-10832.08	2948	43	986662	772875	334.6886024	262.1692673	13.80002374	72.51933514														1
82506	Freedom Life Insurance	IL	57607.05	59844.74		4321		968052	1273399	224.0342513	294.7000694	13.84974312	-56.81607498	-70.6658181	Freedom Life Insurance	IL	38014.98	26867.72		3229		740957	602404	229.4694952	186.5605451	8.320755652	42.90895014	Freedom Life Insurance Company of America	IL	0	48327.14		2435		610525	558316	250.7289528	229.287885	19.84687474	21.44106776	0
99308	"Humana Health Insurance Co of FL, Inc."	FL	547055.66	185940.22	-116650.43	332719	7632	74908404.3	58260377.32	225.1401462	175.1038484	0.558850622	50.59514846	50.03629784	"Humana Health Insurance Co of FL, Inc."	FL	1206801.28	-2261208.38	-124082.7	231548	7886	60196665.78	44044679.38	259.9748898	190.2183538	-9.765613955	69.75653601	"Humana Health Insurance Co of FL, Inc."	FL	380796.07	-2944845.74	-110820.97	137234	6407	38957988.65	28694534.48	283.8800053	209.0920215	-21.45857251	74.78798381	0
24867	Time Insurance Company	MT	3474683.03	617238.69	-32953.83	109492	7790	24731561	26212712	225.8755069	239.4029883	5.637294871	-7.890186589	-13.52748146	Time Insurance Company	MT	2894124.53	1231200.88	-309927.67	67694	5008	21696872	24865264	320.5139599	367.3185807	18.18774012	-46.80462079														1
14026	Time Insurance Company	MO	5677768.05	2064658.36	-12141.44	186785	16203	42701638	44326434	228.6138501	237.3126	11.05366255	2.35491265	-8.6987499	Time Insurance Company	MO	3138358.14	3559221.84	-166224.74	134182	10270	36013379	39018665	268.3920272	290.7891148	26.52533007	-22.39708754														1
31616	Medica Insurance Company	MN	8295441.04	-11637872.8	-4213354.17	271330	551537	62080064.95	48327689.36	228.799119	178.1140654	-42.89195002	7.79310357	50.68505359	Medica Insurance Company	MN	4415250.76	-5042829.16	9261067.53	138388	192529	36796777.05	35785272.13	265.8957211	258.5865258	-36.4397864	7.309195306	Medica Insurance Company	MN	1837669.52	-5073958.4	9613665.25	94007	160705	28906770.34	26696904.84	307.4959348	283.9884779	-53.97426149	23.50745689	0
59830	HealthPlus Insurance Company	MI	8257698.56	-3647377.54	-322954.15	244364	64372	55921142	59101063	228.8436185	241.8566687	-14.92600195	-27.93905215	-13.0130502	Health Plus Insurance Company	MI	9028543.74	-4117248.29	469960.22	306867	26843	83682650	92279790	272.7000622	300.7159128	-13.41704481	-28.01585052														1
74320	Humana Health Plan	CO	8822154.98	4731745.94	-2841602.51	205949	173854	47543279.95	55236205.29	230.8497732	268.2033187	22.97532855	-14.37821694	-37.35354549	Humana Health Plan	CO	7614421.26	6064407.53	3278864.95	138751	215339	41906992.59	49664673.44	302.0302022	357.9410126	43.70712665	-55.91081037	Humana Health Plan	CO	4384982.12	19133063.67	-1635879.75	107490	209696	38473280.96	55122389.97	357.924281	512.814122	177.9985456	-154.889841	0
18628	Aetna Health Inc. (a FL corp.)	FL	1205126.79	-525058.02	389940.41	404615	883049	93742793.82	71993704.55	231.6839312	177.9313781	-1.297673146	52.45487994	53.75255309	Aetna Health Inc. (a FL corp.)	FL	10360565.46	-28025200.75	5437975.83	485275	824836	153265045.8	124845466.8	315.8313241	257.2674603	-57.75117356	58.56386379	Aetna Health Inc. (a FL corp.)	FL	6467391.19	-19679828.24	6118081.67	524977	545041	187980194.5	148120335.6	358.0732003	282.1463333	-37.48702941	75.92686708	0
67577	Alliance Health and Life Insurance Company	MI	2529564.79	1895578.59	-181245.97	113796	131419	26377099	24127739	231.7928486	212.0262487	16.65769087	36.42429075	19.76659988	Alliance Health and Life Insurance Company	MI	2909573.77	4463306.2	-282556.4	118357	166084	35855316	35364842	302.942082	298.7980601	37.71053846	4.1440219	Alliance Health & Life Insurance Co	MI	3461031.71	2973919.75	-1080248.95	198382	186023	63975333	64695568	322.4855733	326.1161194	14.99087493	-3.630546118	0
