,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015
175,83808.0,Coventry Health and Life,MS,0.0,-132911.3,16718.65,4736.0,2186.0,766827.0,1076537.61,161.9144847972973,227.30946157094596,-28.064041385135134,-65.39497677364866,Coventry Health and Life,MS,62611.94,-199659.48,-154417.17,2953.0,154.0,647952.86,526416.9,219.4218963765662,178.26512021672875,-67.61242126650863,41.15677615983745
176,44113.0,"Empire HealthChoice Assurance, Inc.",NY,,,-2505396.9,13522.0,45872.0,778157.0,91269.054,57.54747818370063,6.74967120248484,,50.79780698121579,"Empire HealthChoice Assurance, Inc.",NY,,,-1060038.06,213.0,21074.0,839592.0,651223.12,3941.7464788732395,3057.385539906103,,884.3609389671365
177,99806.0,John Alden Life Insurance Company,ND,,,-8542.7,3510.0,4059.0,793029.0,584483.0,225.93418803418803,166.51937321937322,,59.414814814814804,John Alden Life Insurance Company,ND,,,-58311.32,1908.0,1201.0,530894.0,208105.0,278.2463312368973,109.06970649895179,,169.17662473794547
182,67580.0,John Alden Life Insurance Company,IA,,,-63213.98,2843.0,303.0,864182.0,518108.0,303.9683432993317,182.23988744284208,,121.72845585648963,John Alden Life Insurance Company,IA,,,39118.81,1768.0,201.0,611530.0,638330.0,345.88800904977376,361.04638009049773,,-15.158371040723978
183,31112.0,UnitedHealthcare of the Mid-Atlantic Inc.,MD,,,-332036.0,2383.0,75098.0,866823.51,936203.27,363.75304657994127,392.86750734368445,,-29.114460763743182,United Healthcare of the MidAtlantic Inc.,MD,504920.11,-1146080.38,-1678830.01,27649.0,36198.0,8397232.7,6850854.38,303.70836919960936,247.77946327172774,-41.45106079785887,55.92890592788163
185,53135.0,UnitedHealthcare Life Insurance Company,AR,256733.54,71131.67,,2567.0,,870399.72,1047720.59,339.0727386053759,408.1498208024932,27.71003895597974,-69.0770821971173,United Healthcare Life Insurance Company,AR,506664.43,-280355.58,,7917.0,,2593474.69,3610832.45,327.58300997852723,456.0859479600859,-35.41184539598333,-128.50293798155866
186,64146.0,UnitedHealthcare Ins Co of River Valley,SC,,,448146.55,2187.0,101664.0,881543.74,611793.83,403.08355738454503,279.74112025605854,,123.3424371284865,United Healthcare Ins Co of River Valley,SC,,,16395.03,2200.0,84509.0,994457.07,635770.73,452.0259409090909,288.98669545454544,,163.03924545454544
188,67088.0,John Alden Life Insurance Company,OK,,,-198017.77,2907.0,3822.0,904964.0,446500.0,311.30512555899554,153.59477124183007,,157.71035431716547,John Alden Life Insurance Company,OK,,,-178744.41,2057.0,2130.0,631438.0,349806.0,306.9703451628585,170.0563928050559,,136.9139523578026
190,89728.0,John Alden Life Insurance Company,SC,,,92798.49,3503.0,2255.0,922158.0,608761.0,263.24807308021695,173.78275763631174,,89.46531544390521,John Alden Life Insurance Company,SC,,,35428.72,2384.0,917.0,643822.0,271989.0,270.0595637583893,114.08934563758389,,155.97021812080538
192,82506.0,Freedom Life Insurance,IL,57607.05,59844.74,,4321.0,,968052.0,1273399.0,224.03425133071048,294.70006942837307,13.84974311501967,-70.6658180976626,Freedom Life Insurance,IL,38014.98,26867.72,,3229.0,,740957.0,602404.0,229.46949519975226,186.5605450603902,8.320755651904614,42.90895013936205
193,84600.0,Aetna Life Insurance Company,KS,,,-266018.93,4206.0,3739.0,973126.74,433125.62,231.36631954350926,102.97803613884926,,128.38828340466,Aetna Life Insurance Company,KS,,,745826.49,2813.0,6579.0,690716.26,398728.39,245.54435122644864,141.74489512975472,,103.79945609669392
196,79881.0,"UnitedHealthcare of New England, Inc.",RI,,,-1100658.25,2469.0,24434.0,1004880.32,744221.72,406.9989145402997,301.42637505062777,,105.57253948967195,"United Healthcare of New England, Inc.",RI,205106.29,-1072057.02,-4145329.17,14930.0,52255.0,6471172.88,3626616.76,433.4342183523108,242.90802143335566,-71.80556061620898,190.52619691895512
197,94720.0,John Alden Life Insurance Company,WI,,,-41526.94,3567.0,9807.0,1024179.0,356364.0,287.1261564339781,99.90580319596299,,187.22035323801512,John Alden Life Insurance Company,WI,,,44877.57,2435.0,3302.0,731543.0,1070851.0,300.4283367556468,439.77453798767965,,-139.34620123203285
198,27833.0,Celtic Insurance Company,IL,0.0,15156.6,,4359.0,,1074419.0,805083.7729999999,246.48290892406516,184.6946026611608,3.477081899518238,61.78830626290437,Celtic Insurance Company,IL,0.0,-76.03,,24.0,,31253.3,60705.37639,1302.2208333333333,2529.3906829166667,-3.1679166666666667,-1227.1698495833334
201,31234.0,CeltiCare Health Plan of MA***,MA,0.0,,,2472.0,78.0,1090739.163,264952.4377,441.2375254854369,107.18140683656958,,334.0561186488673,CeltiCare Health Plan of MA,MA,87686.69,,,15810.0,,6049869.112000001,2862510.953,382.6609179000633,181.05698627450982,,201.60393162555346
202,80698.0,John Alden Life Insurance Company,NE,,,71939.33,4014.0,2630.0,1111782.0,870915.0,276.9760837070254,216.9693572496263,,60.00672645739908,John Alden Life Insurance Company,NE,,,-21958.59,2420.0,1022.0,715408.0,226936.0,295.62314049586774,93.77520661157025,,201.8479338842975
203,97646.0,Time Insurance Company,NM,205000.0,219541.22,,3770.0,,1211757.0,1391775.0,321.4209549071618,369.1710875331565,58.23374535809019,-47.750132625994695,Time Insurance Company,NM,0.0,6670.67,,2858.0,,933798.0,838772.0,326.73128061581525,293.482155353394,2.334034289713086,33.24912526242127
204,41240.0,John Alden Life Insurance Company,FL,,,-890.28,3453.0,439.0,1287342.0,1027365.0,372.81841876629016,297.52823631624676,,75.2901824500434,John Alden Life Insurance Company,FL,,,6445.09,2136.0,247.0,835630.0,581247.0,391.2125468164794,272.1193820224719,,119.09316479400752
205,72208.0,John Alden Life Insurance Company,WY,,,45022.01,4031.0,22626.0,1290963.0,885947.0,320.2587447283552,219.78342842967007,,100.47531629868516,John Alden Life Insurance Company,WY,,,599763.48,1938.0,12664.0,677409.0,472450.0,349.5402476780186,243.78224974200205,,105.75799793601655
206,86382.0,Sunshine State Health Plan,FL,0.0,-198355.63,,3460.0,,1302976.93,532646.8603,376.58292774566473,153.94417927745664,-57.328216763005784,222.6387484682081,Sunshine State Health Plan,FL,1184424.15,-26584661.51,,187352.0,,64261869.35,27042932.65,343.00071176181734,144.34290880268156,-141.8968653123532,198.65780295913578
207,73893.0,John Alden Life Insurance Company,AZ,,,700477.89,4129.0,19748.0,1333099.0,290994.0,322.86243642528456,70.47565996609349,,252.38677645919108,John Alden Life Insurance Company,AZ,,,543121.99,2690.0,12255.0,862943.0,295044.0,320.7966542750929,109.6817843866171,,211.11486988847582
208,92045.0,Meritus Mutual Health Partners,AZ,1966321.43,800921.39,-12159.89,3529.0,1257.0,1338745.0,5769734.255,379.35534145650325,1634.948782941343,226.95420515726835,-1255.5934414848398,Meritus Mutual Health Partners,AZ,3284983.52,-558586.58,-1913246.31,37735.0,14475.0,11365541.0,25838238.0,301.1936133563005,684.7287133960514,-14.80287743474228,-383.5351000397509
209,54297.0,UnitedHealthcare Ins Co of New York,NY,,,-454374.0,3852.0,27664.0,1340811.1,3373064.67,348.08180166147457,875.6658021806853,,-527.5840005192108,United Healthcare Ins Co of New York,NY,71627.97,-7577.79,-207851.87,1284.0,29968.0,787174.58,1357190.9,613.0643146417445,1057.002258566978,-5.901705607476636,-443.9379439252335
210,59765.0,BridgeSpan Health Company,ID,712878.62,574321.44,,4960.0,,1425086.0,2866986.0,287.3157258064516,578.021370967742,115.79061290322579,-290.70564516129036,BridgeSpan Health Company,ID,724349.19,-37955.58,,11749.0,,3156976.0,5057888.0,268.7016767384458,430.4951910800919,-3.230537066984424,-161.79351434164607
211,69443.0,UnitedHealthcare Insurance Company,TN,,,441221.96,3087.0,257791.0,1504762.63,1154277.21,487.4514512471655,373.9155199222546,,113.5359313249109,United Healthcare Insurance Company,TN,,,1962995.16,2010.0,219298.0,972773.15,574155.03,483.9667412935323,285.64926865671646,,198.31747263681586
212,25978.0,UnitedHealthcare Insurance Company,VA,,,-1683466.68,2971.0,384873.0,1515240.68,1064726.15,510.01032648939747,358.3729888926287,,151.63733759676876,United Healthcare Insurance Company,VA,,,-7578909.62,2701.0,336520.0,1400243.25,996189.3,518.4166049611255,368.82239911144023,,149.59420584968524
213,59977.0,John Alden Life Insurance Company,NC,0.0,-115565.12,-40668.98,5325.0,4125.0,1528569.0,870690.0,287.0552112676056,163.5098591549296,-21.702369953051644,123.54535211267603,John Alden Life Insurance Company,NC,0.0,-138633.22,-11962.08,3338.0,1894.0,1007779.0,550467.0,301.91102456560816,164.90922708208507,-41.53182144997004,137.0017974835231
214,97889.0,Time Insurance Company,DE,512544.5,53220.61,-4709.65,6861.0,2760.0,1533482.0,1673209.0,223.5070689403877,243.87246757032503,7.7569756595248505,-20.365398629937317,Time Insurance Company,DE,101901.86,40682.47,-10832.08,2948.0,43.0,986662.0,772875.0,334.6886024423338,262.1692672998643,13.800023744911805,72.51933514246946
215,43129.0,UnitedHealthcare Life Insurance Company,UT,42356.49,43110.39,,7350.0,,1533659.0,1057078.33,208.66108843537415,143.82018095238095,5.865359183673469,64.8409074829932,United Healthcare Life Insurance Company,UT,119171.57,47918.32,,4244.0,,1430023.97,2386267.14,336.95192507068805,562.2684118755891,11.290838831291234,-225.31648680490105
216,57860.0,UnitedHealthcare Insurance Company,SC,,,359514.77,2797.0,86417.0,1549433.2,1348914.69,553.962531283518,482.27196639256346,,71.69056489095459,United Healthcare Insurance Company,SC,,,472850.3,2064.0,66954.0,1070968.11,846268.33,518.879898255814,410.0137257751938,,108.86617248062026
217,85266.0,Hometown Health Providers Ins. Co. Inc.,NV,234356.21,248604.41,-318074.62,6053.0,32964.0,1609053.0,2230101.0,265.8273583347101,368.42904344952916,41.07127209648108,-102.60168511481908,Hometown Health Providers Ins. Co. Inc.,NV,217980.45,397248.75,-1757923.69,3534.0,60181.0,1423220.0,2103218.0,402.7221279003962,595.1380871533673,112.40768251273344,-192.41595925297116
218,58819.0,John Alden Life Insurance Company,PA,,,-78133.65,5795.0,2151.0,1634836.0,611247.0,282.1114754098361,105.47834339948231,,176.6331320103538,John Alden Life Insurance Company,PA,,,-101659.48,3900.0,780.0,1137651.0,587741.0,291.7053846153846,150.70282051282052,,141.0025641025641
219,93838.0,"HealthAssurance PA, Inc",PA,,,-1641283.35,4102.0,561514.0,1660964.0,1537162.25,404.915650901999,374.7348244758654,,30.180826426133592,"Health Assurance PA, Inc.",PA,,,-58719.48,270.0,568755.0,141579.44,58426.79,524.3682962962963,216.39551851851851,,307.97277777777776
220,23468.0,Humana Insurance Company,OK,48913.42,-107296.38,-81323.21,6085.0,945.0,1661454.27,1743140.996,273.04096466721444,286.4652417419885,-17.63293015612161,-13.424277074774068,Humana Insurance Company,OK,66173.45,74763.49,-69246.02,2381.0,685.0,841575.83,325591.797,353.4547795044099,136.74581982360354,31.400037799244018,216.70895968080634
221,23620.0,UnitedHealthcare Insurance Company,MD,,,1556233.82,3219.0,117747.0,1680029.72,1316539.32,521.9104442373408,408.9901584342964,,112.92028580304441,United Healthcare Insurance Company,MD,,,1835041.07,2914.0,162340.0,1417059.83,1293575.05,486.2936959505834,443.91731297186,,42.37638297872343
222,72564.0,"Evergreen Health Cooperative, Inc.",MD,311875.67,-360466.32,,4194.0,30240.0,1725306.0,2251799.65,411.3748211731044,536.9097877920839,-85.9480972818312,-125.53496661897947,"Evergreen Health Cooperative, Inc.",MD,725913.47,-3443885.2,-20766948.84,47868.0,192165.0,15266749.0,15460626.0,318.9343402690733,322.9845826021559,-71.94545834377872,-4.050242333082622
223,56971.0,John Alden Life Insurance Company,MN,2783.9,-46632.1,113761.56,7946.0,512.0,1732269.0,1793096.0,218.0051598288447,225.6602063931538,-5.8686257236345325,-7.655046564309089,John Alden Life Insurance Company,MN,3609.11,-93357.87,-43185.94,4840.0,204.0,1210818.0,651360.0,250.1690082644628,134.5785123966942,-19.288816115702478,115.5904958677686
224,59158.0,UnitedHealthcare Insurance Company,WI,,,2979572.04,3113.0,1086472.0,1736417.03,961523.73,557.7953838740765,308.87366848699,,248.92171538708646,United Healthcare Insurance Company,WI,,,11297157.89,3128.0,1103277.0,1710491.76,1118015.09,546.8324040920717,357.4217039641944,,189.41070012787725
225,23489.0,UnitedHealthcare Insurance Company,PA,,,-2928219.72,3954.0,171118.0,1761380.53,2071919.42,445.46801466868993,524.005923115832,,-78.53790844714212,United Healthcare Insurance Company,PA,,,-5371431.92,2683.0,219495.0,1017074.56,737885.15,379.08108833395454,275.0224189340291,,104.05866939992546
226,64206.0,John Alden Life Insurance Company,MT,,,-292758.82,7356.0,14972.0,1790461.0,1432390.0,243.40144100054377,194.72403480152258,,48.67740619902119,John Alden Life Insurance Company,MT,,,264897.43,3055.0,7651.0,854241.0,281775.0,279.62062193126025,92.23404255319149,,187.38657937806875
227,70239.0,Health Choice Insurance Co.,AZ,678956.76,-243631.04,,4697.0,,1812900.71,3639322.68,385.96991909729616,774.8185394932937,-51.86949968064722,-388.8486203959975,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,,58566.0,,13465931.75,12713287.44,229.9274621794215,217.07624628624114,-102.44544104087696,12.851215893180353
228,78575.0,Coventry Health and Life,TN,28787.96,-57779.81,-53103.05,10611.0,22295.0,1847813.0,1809844.7,174.14126849495807,170.56306662896992,-5.44527471491848,3.5782018659881487,,,,,,,,,,,,,
229,82824.0,Aetna Health Inc. (a GA corp.),GA,,,-1390717.91,3607.0,303393.0,1861258.73,2757745.26,516.0129553645689,764.5537177710007,,-248.54076240643178,Aetna Health Inc. (a GA corp.),GA,,,-4486504.66,940354.0,684990.0,259367562.6,233200810.6,275.8190666493682,247.99257577465508,,27.82649087471313
230,31808.0,American Progressive Life & Health Insurance Company of New York,NY,547364.03,660761.45,,14440.0,,1880668.1,2815111.5130000003,130.2401731301939,194.95232084487537,45.75910318559556,-64.71214771468146,,,,,,,,,,,,,
231,66699.0,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.6,,5526.0,,1886324.0,4647051.0,341.3543250090481,840.942996742671,436.5516829533116,-499.58867173362285,"Denver Health Medical Plan, Inc.",CO,90456.8,2379976.29,,2857.0,,1259820.15,2795911.49,440.95910045502274,978.61795239762,833.0333531676584,-537.6588519425973
232,92551.0,CDPHP Universal Benefits Inc.,NY,,,-1425321.82,6833.0,987813.0,1936278.0,1974195.0,283.37157910141957,288.920679057515,,-5.549099956095404,CDPHP Universal Benefits Inc.,NY,,,10072804.56,,880946.0,10572.0,878.0,,,,
233,49669.0,Madison National Life,MT,,,-24720.97,12652.0,3814.0,1995921.0,1855172.0,157.755374644325,146.6307303193171,,11.124644325007893,Madison National Life,MT,,,-10799.68,,63.0,,,,,,
234,85736.0,UCare Minnesota,MN,311887.29,927744.9,,5906.0,,2027827.07,2734688.0,343.35033355909246,463.0355570606163,157.0851506942093,-119.68522350152386,UCare Minnesota,MN,1959663.44,-5906132.97,,115591.0,,26968684.88,29837423.0,233.3112861727989,258.1292920729123,-51.09509364915954,-24.818005900113377
235,50498.0,John Alden Life Insurance Company,OH,,,6795.41,8221.0,19820.0,2072607.0,993048.0,252.1113003284272,120.79406398248388,,131.31723634594334,John Alden Life Insurance Company,OH,,,109425.34,5339.0,10131.0,1539217.0,1065907.0,288.296872073422,199.64543922082788,,88.6514328525941
236,23029.0,Madison National Life,AZ,,,-4301.51,14965.0,1784.0,2097652.0,1019927.0,140.17053123955898,68.15415970598062,,72.01637153357836,Madison National Life,AZ,,,-9938.88,,84.0,,,,,,
237,99685.0,Humana Insurance Company,AR,4723.94,68170.5,27385.89,13384.0,2722.0,2178290.92,1614966.321,162.7533562462642,120.66395106096832,5.093432456664674,42.089405185295874,Humana Insurance Company,AR,149183.57,-484230.53,91590.58,8077.0,1810.0,1784005.94,1254218.05,220.87482233502539,155.28266064132723,-59.951780363996534,65.59216169369816
238,48069.0,UnitedHealthcare Life Insurance Company,TN,361362.2,140988.67,,5206.0,,2183321.52,2462986.41,419.38561659623514,473.10534191317714,27.08195735689589,-53.719725316942004,United Healthcare Life Insurance Company,TN,199560.67,315512.89,,8862.0,,3334637.81,3792328.45,376.28501579778833,427.93144324080345,35.60289889415482,-51.646427443015114
239,40411.0,Cigna Health and Life Insurance Company,NC,1242110.42,1069804.73,,5704.0,,2238018.0,3813691.0,392.359396914446,668.5994039270687,187.55342391304347,-276.2400070126227,Cigna Health and Life Insurance Company,NC,293355.4,596150.26,,5539.0,,2106567.0,2571812.0,380.3153998916772,464.30980321357646,107.62777757718,-83.99440332189926
240,20523.0,Aetna Health of California Inc.,CA,,,-23489767.02,4418.0,919142.0,2247068.97,3347533.76,508.6167881394297,757.7034314169307,,-249.08664327750103,Aetna Health of California Inc.,CA,,,-55802137.54,2133.0,1022238.0,804160.83,1476307.62,377.00929676511953,692.1273417721519,,-315.1180450070324
241,50313.0,John Alden Life Insurance Company,GA,,,159888.81,8512.0,7460.0,2261645.0,566719.0,265.7007753759398,66.57882988721805,,199.1219454887218,John Alden Life Insurance Company,GA,,,123868.75,6138.0,4070.0,1688342.0,1012820.0,275.0638644509612,165.0081459758879,,110.05571847507329
242,95074.0,John Alden Life Insurance Company,IN,,,-124424.43,9516.0,10937.0,2263435.0,2807514.0,237.8557166876839,295.03089533417403,,-57.17517864649014,John Alden Life Insurance Company,IN,,,-241241.52,6522.0,5735.0,1705257.0,1170953.0,261.46228150873964,179.53894510886232,,81.92333639987731
243,92476.0,UnitedHealthcare Ins Co of Illinois,IL,,,-700664.41,3578.0,863764.0,2297926.08,1470998.13,642.2375852431526,411.1230100614868,,231.11457518166577,United Healthcare Ins Co of Illinois,IL,,,4056740.92,3303.0,721188.0,1841854.78,1709451.63,557.6308749621556,517.5451498637602,,40.085725098395415
244,53799.0,Freedom Life Insurance,TX,763968.78,212352.03,,9495.0,,2302145.0,3971315.0,242.45866245392313,418.2532912058978,22.364616113744077,-175.7946287519747,Freedom Life Insurance,TX,939694.86,808134.93,,6793.0,,2037537.0,6603686.0,299.9465626380097,972.1310172236125,118.96583689091713,-672.1844545856028
245,65779.0,Aetna Health of Utah Inc.,NV,0.0,-1158344.59,-16246.63,12700.0,1725.0,2307869.0,1288034.99,181.721968503937,101.4200779527559,-91.20823543307087,80.3018905511811,Altius Health Plans Inc.,NV,0.0,,35537.64,,706.0,,,,,,
246,95426.0,UnitedHealthcare Insurance Company,MO,,,-342820.74,4617.0,542131.0,2318002.6,1602444.49,502.05817630495994,347.074829976175,,154.98334632878493,United Healthcare Insurance Company,MO,,,2802884.9,4821.0,629836.0,2245406.86,1630747.4,465.7554158888197,338.2591578510682,,127.49625803775149
247,54172.0,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,,6429.0,,2382576.0,3070584.0,370.59822678488104,477.61455902939804,103.30722974023955,-107.016332244517,"Molina Healthcare of Florida, Inc.",FL,19021408.95,-218903904.1,,1722261.0,,586687204.0,333655952.1,340.649416087341,193.7313520424605,-127.10263084398937,146.91806404488054
248,16322.0,"UPMC Health Options, Inc.",PA,24575.39,-3587.19,3575646.12,7694.0,1607798.0,2395450.0,4487507.78,311.34000519885626,583.2476969066805,-0.46623212893163507,-271.90769170782426,"UPMC Health Options, Inc.",PA,17829957.2,-3105783.44,5913428.11,630940.0,1517618.0,170872680.9,215887269.2,270.8223934130028,342.1676691919992,-4.922470345833201,-71.34527577899638
249,85757.0,UnitedHealthcare Insurance Company,OK,,,-2256892.13,5172.0,266759.0,2397455.93,1675496.72,463.5452300850735,323.9552822892498,,139.58994779582372,United Healthcare Insurance Company,OK,,,-144362.05,4882.0,236945.0,2116229.78,1474239.28,433.4759893486276,301.9744530929947,,131.5015362556329
250,79970.0,John Alden Life Insurance Company,MI,,,-155335.89,11153.0,26951.0,2424175.0,1637389.0,217.35631668609344,146.81153052990226,,70.54478615619118,John Alden Life Insurance Company,MI,,,-25243.15,7574.0,19937.0,1778772.0,989333.0,234.85238975442303,130.62226036440455,,104.23012939001848
251,49221.0,John Alden Life Insurance Company,MO,,,-89587.28,10684.0,7490.0,2430469.0,1316404.0,227.48680269561962,123.21265443654062,,104.274148259079,John Alden Life Insurance Company,MO,,,30517.37,7379.0,4995.0,1713773.0,1357051.0,232.25003387992953,183.9071689930885,,48.34286488684103
252,69347.0,UnitedHealthcare Insurance Company,NC,,,-15874.11,4295.0,477146.0,2437777.47,2297875.26,567.5849755529687,535.0117019790454,,32.5732735739233,United Healthcare Insurance Company,NC,,,-2306736.6,3025.0,443252.0,1825650.49,1357995.77,603.5208231404958,448.9242214876033,,154.59660165289256
253,99389.0,"Community Care of Oregon, Inc.",OR,447174.74,961182.24,-356550.41,7206.0,3550.0,2482923.61,5249096.959,344.56336525117956,728.4342157923952,133.38637801831806,-383.87085054121565,"Community Care of Oregon, Inc.",OR,4781867.05,401324.32,-1315272.66,101241.0,29172.0,32382491.22,47794308.61,319.8555053782558,472.0845172410387,3.9640493475963297,-152.2290118627829
254,41047.0,Buckeye Community Health Plan,OH,311415.92,-154350.05,,7133.0,,2518182.674,2129377.596,353.03275956820414,298.52482770222906,-21.638868638721434,54.50793186597508,Buckeye Community Health Plan,OH,649923.9,-6141372.01,,63391.0,,20472680.63,11338993.88,322.95878957580726,178.87387610228583,-96.88081920146392,144.08491347352142
255,16481.0,"UPMC Health Network, Inc.",PA,921883.53,541631.59,1137929.73,5614.0,26106.0,2581779.0,3855640.91,459.8822586391165,686.7903295333097,96.47872996081225,-226.90807089419314,"UPMC Health Network, Inc.",PA,0.0,,-1036677.48,10.0,31026.0,2341.057143,1692.4134239999998,234.1057143,169.24134239999998,,64.86437190000001
