,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM
23,25978,UnitedHealthcare Insurance Company,VA,,,-1683466.68,2971,384873,1515240.68,1064726.15,510.0103265,358.3729889,,151.6373376,United Healthcare Insurance Company,VA,,,-7578909.62,2701,336520,1400243.25,996189.3,518.416605,368.8223991,,149.5942058,UnitedHealthcare Insurance Company,VA,,,-11826669.96,3848,392052,1987823.29,1007559.33,516.5860941,261.8397427,,254.7463514
26,43129,UnitedHealthcare Life Insurance Company,UT,42356.49,43110.39,,7350,,1533659,1057078.33,208.6610884,143.820181,5.865359184,64.84090748,United Healthcare Life Insurance Company,UT,119171.57,47918.32,,4244,,1430023.97,2386267.14,336.9519251,562.2684119,11.29083883,-225.3164868,UnitedHealthcare Life Insurance Company,UT,171226.54,316788.43,,3878,,1449222.67,2421683,373.7036282,624.4669933,81.68861011,-250.7633651
27,57860,UnitedHealthcare Insurance Company,SC,,,359514.77,2797,86417,1549433.2,1348914.69,553.9625313,482.2719664,,71.69056489,United Healthcare Insurance Company,SC,,,472850.3,2064,66954,1070968.11,846268.33,518.8798983,410.0137258,,108.8661725,UnitedHealthcare Insurance Company,SC,306752.92,565945.16,181519.45,7966,57007,3982764.68,5709415.61,499.9704595,716.7230241,71.04508662,-216.7525646
28,85266,Hometown Health Providers Ins. Co. Inc.,NV,234356.21,248604.41,-318074.62,6053,32964,1609053,2230101,265.8273583,368.4290434,41.0712721,-102.6016851,Hometown Health Providers Ins. Co. Inc.,NV,217980.45,397248.75,-1757923.69,3534,60181,1423220,2103218,402.7221279,595.1380872,112.4076825,-192.4159593,"Hometown Health Providers Insurance Company, Inc",NV,57350.9,-674631.16,-1995391.69,11181,99773,4537475,3729342,405.8201413,333.5427958,-60.33728289,72.2773455
31,23620,UnitedHealthcare Insurance Company,MD,,,1556233.82,3219,117747,1680029.72,1316539.32,521.9104442,408.9901584,,112.9202858,United Healthcare Insurance Company,MD,,,1835041.07,2914,162340,1417059.83,1293575.05,486.293696,443.917313,,42.37638298,UnitedHealthcare Insurance Company,MD,,,-1895792.87,2632,184073,1333475.87,986947.18,506.6397682,374.9799316,,131.6598366
32,72564,"Evergreen Health Cooperative, Inc.",MD,311875.67,-360466.32,,4194,30240,1725306,2251799.65,411.3748212,536.9097878,-85.94809728,-125.5349666,"Evergreen Health Cooperative, Inc.",MD,725913.47,-3443885.2,-20766948.84,47868,192165,15266749,15460626,318.9343403,322.9845826,-71.94545834,-4.050242333,Evergreen Health,MD,2540644.79,1224227.52,-10613469.4,127132,282037,43319182,46154706.49,340.7417645,363.0455471,9.629578076,-22.3037826
34,59158,UnitedHealthcare Insurance Company,WI,,,2979572.04,3113,1086472,1736417.03,961523.73,557.7953839,308.8736685,,248.9217154,United Healthcare Insurance Company,WI,,,11297157.89,3128,1103277,1710491.76,1118015.09,546.8324041,357.421704,,189.4107001,UnitedHealthcare Insurance Company,WI,,,12017109.32,4441,1060819,2404001.31,2452882.65,541.3198176,552.3266494,,-11.00683179
35,23489,UnitedHealthcare Insurance Company,PA,,,-2928219.72,3954,171118,1761380.53,2071919.42,445.4680147,524.0059231,,-78.53790845,United Healthcare Insurance Company,PA,,,-5371431.92,2683,219495,1017074.56,737885.15,379.0810883,275.0224189,,104.0586694,UnitedHealthcare Insurance Company,PA,,,-6368539.3,3322,259434,1130375.27,1182640.54,340.2694973,356.0025707,,-15.73307345
37,70239,Health Choice Insurance Co.,AZ,678956.76,-243631.04,,4697,,1812900.71,3639322.68,385.9699191,774.8185395,-51.86949968,-388.8486204,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,,58566,,13465931.75,12713287.44,229.9274622,217.0762463,-102.445441,12.85121589,Health Choice Insurance Co,AZ,3438514.98,-9159037.15,,124255,,40067897.67,49551786.7,322.4650732,398.7910885,-73.71161845,-76.32601529
38,82824,Aetna Health Inc. (a GA corp.),GA,,,-1390717.91,3607,303393,1861258.73,2757745.26,516.0129554,764.5537178,,-248.5407624,Aetna Health Inc. (a GA corp.),GA,,,-4486504.66,940354,684990,259367562.6,233200810.6,275.8190666,247.9925758,,27.82649087,Aetna Health Inc. (a GA corp.),GA,12594972.21,-49061684.16,-5012021.19,1018921,322550,352928824.6,302397410.9,346.3750621,296.7819987,-48.15062616,49.59306335
39,66699,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.6,,5526,,1886324,4647051,341.354325,840.9429967,436.551683,-499.5886717,"Denver Health Medical Plan, Inc.",CO,90456.8,2379976.29,,2857,,1259820.15,2795911.49,440.9591005,978.6179524,833.0333532,-537.6588519,"Denver Health Medical Plan, Inc.",CO,297354.64,2810015.23,,2490,,1167062.43,3274884,468.6997711,1315.214458,1128.520173,-846.5146867
40,85736,UCare Minnesota,MN,311887.29,927744.9,,5906,,2027827.07,2734688,343.3503336,463.0355571,157.0851507,-119.6852235,UCare Minnesota,MN,1959663.44,-5906132.97,,115591,,26968684.88,29837423,233.3112862,258.1292921,-51.09509365,-24.8180059,UCare Minnesota,MN,1552756.08,-16539135,,192341,,52833255.37,41266848,274.6853524,214.5504495,-85.98860877,60.13490296
42,99685,Humana Insurance Company,AR,4723.94,68170.5,27385.89,13384,2722,2178290.92,1614966.321,162.7533562,120.6639511,5.093432457,42.08940519,Humana Insurance Company,AR,149183.57,-484230.53,91590.58,8077,1810,1784005.94,1254218.05,220.8748223,155.2826606,-59.95178036,65.59216169,Humana Insurance Company,AR,0,-106659.16,,6183,,1351592.12,1182334.65,218.5981109,191.2234595,-17.25038978,27.37465146
43,48069,UnitedHealthcare Life Insurance Company,TN,361362.2,140988.67,,5206,,2183321.52,2462986.41,419.3856166,473.1053419,27.08195736,-53.71972532,United Healthcare Life Insurance Company,TN,199560.67,315512.89,,8862,,3334637.81,3792328.45,376.2850158,427.9314432,35.60289889,-51.64642744,UnitedHealthcare Life Insurance Company,TN,50470.53,-301887.1,,10687,,4310405.41,3423991.3,403.3316562,320.3884439,-28.24806775,82.94321231
44,40411,Cigna Health and Life Insurance Company,NC,1242110.42,1069804.73,,5704,,2238018,3813691,392.3593969,668.5994039,187.5534239,-276.240007,Cigna Health and Life Insurance Company,NC,293355.4,596150.26,,5539,,2106567,2571812,380.3153999,464.3098032,107.6277776,-83.99440332,Cigna Health and Life Insurance Company,NC,574641.37,-717206.52,,13889,,5578645,5479908,401.6592267,394.5502196,-51.63845633,7.109007128
48,92476,UnitedHealthcare Ins Co of Illinois,IL,,,-700664.41,3578,863764,2297926.08,1470998.13,642.2375852,411.1230101,,231.1145752,United Healthcare Ins Co of Illinois,IL,,,4056740.92,3303,721188,1841854.78,1709451.63,557.630875,517.5451499,,40.0857251,UnitedHealthcare Insurance Company of Illinois,IL,,,2021972.27,4115,679217,2205124.3,1333436.43,535.874678,324.0428748,,211.8318032
49,53799,Freedom Life Insurance,TX,763968.78,212352.03,,9495,,2302145,3971315,242.4586625,418.2532912,22.36461611,-175.7946288,Freedom Life Insurance,TX,939694.86,808134.93,,6793,,2037537,6603686,299.9465626,972.1310172,118.9658369,-672.1844546,Freedom Life Insurance Company of America,TX,230293.45,306657.04,,4057,,1327125,2016748,327.119793,497.1032783,75.58714321,-169.9834853
50,95426,UnitedHealthcare Insurance Company,MO,,,-342820.74,4617,542131,2318002.6,1602444.49,502.0581763,347.07483,,154.9833463,United Healthcare Insurance Company,MO,,,2802884.9,4821,629836,2245406.86,1630747.4,465.7554159,338.2591579,,127.496258,UnitedHealthcare Insurance Company,MO,,,6325614.34,6660,671313,3200237.21,2614594.4,480.5160976,392.5817417,,87.93435586
51,54172,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,,6429,,2382576,3070584,370.5982268,477.614559,103.3072297,-107.0163322,"Molina Healthcare of Florida, Inc.",FL,19021408.95,-218903904.1,,1722261,,586687204,333655952.1,340.6494161,193.731352,-127.1026308,146.918064,"Molina Healthcare of Florida, Inc.",FL,25476629.62,-252569063.1,,2589371,,868088165,664080390,335.2505937,256.4639791,-97.54070124,78.78661459
52,16322,"UPMC Health Options, Inc.",PA,24575.39,-3587.19,3575646.12,7694,1607798,2395450,4487507.78,311.3400052,583.2476969,-0.466232129,-271.9076917,"UPMC Health Options, Inc.",PA,17829957.2,-3105783.44,5913428.11,630940,1517618,170872680.9,215887269.2,270.8223934,342.1676692,-4.922470346,-71.34527578,UPMC Health Options,PA,18516908.47,-5211297.35,12239314.33,1322261,1436131,409160383.5,470210509,309.4399544,355.6109641,-3.941201737,-46.17100973
53,85757,UnitedHealthcare Insurance Company,OK,,,-2256892.13,5172,266759,2397455.93,1675496.72,463.5452301,323.9552823,,139.5899478,United Healthcare Insurance Company,OK,,,-144362.05,4882,236945,2116229.78,1474239.28,433.4759893,301.9744531,,131.5015363,UnitedHealthcare Insurance Company,OK,,,-331381.33,4726,217288,2060557.22,1600365.71,436.0044901,338.6300698,,97.37442023
56,69347,UnitedHealthcare Insurance Company,NC,,,-15874.11,4295,477146,2437777.47,2297875.26,567.5849756,535.011702,,32.57327357,United Healthcare Insurance Company,NC,,,-2306736.6,3025,443252,1825650.49,1357995.77,603.5208231,448.9242215,,154.5966017,UnitedHealthcare Insurance Company,NC,,,-2779689.38,3239,541960,1690554.87,748514.99,521.9372862,231.0944705,,290.8428157
57,99389,"Community Care of Oregon, Inc.",OR,447174.74,961182.24,-356550.41,7206,3550,2482923.61,5249096.959,344.5633653,728.4342158,133.386378,-383.8708505,"Community Care of Oregon, Inc.",OR,4781867.05,401324.32,-1315272.66,101241,29172,32382491.22,47794308.61,319.8555054,472.0845172,3.964049348,-152.2290119,"Community Care of Oregon, Inc.",OR,1426141.65,-2371948.67,-3515859.4,78796,41951,22002270.73,26359133.74,279.2308078,334.5237543,-30.10239949,-55.29294647
58,41047,Buckeye Community Health Plan,OH,311415.92,-154350.05,,7133,,2518182.674,2129377.596,353.0327596,298.5248277,-21.63886864,54.50793187,Buckeye Community Health Plan,OH,649923.9,-6141372.01,,63391,,20472680.63,11338993.88,322.9587896,178.8738761,-96.8808192,144.0849135,Buckeye Community Health Plan,OH,1056417.74,-9939903.66,,109311,,35356283.7,23613412.35,323.4467135,216.0204586,-90.93232758,107.4262549
59,57637,Medica Insurance Company,WI,,,-890267.24,12941,87023,2668847.69,1645106.38,206.2319519,127.1235901,,79.1083618,Medica Insurance Company,WI,,,355871.33,9384,84479,2131433.75,1542374.93,227.1348838,164.3622048,,62.77267903,Medica Insurance Company,WI,,,-1998867.88,7817,77183,1938508.43,1088224.095,247.986239,139.2124978,,108.7737412
60,75091,"ConnectiCare, Inc. **",CT,9490.2,-115248.13,72069.21,6108,56182,2748338,2504000,449.9571054,409.9541585,-18.86839064,40.00294695,"ConnectiCare, Inc.",CT,26569.95,-1899004.88,-6351.77,11204,1041,4087279.69,2760050.122,364.805399,246.3450662,-169.4934738,118.4603327,"ConnectiCare, Inc.",CT,49691.37,-1145321.71,-266957.78,7751,1618,2880064.18,2328469.831,371.5732396,300.4089577,-147.7643801,71.1642819
61,90169,UnitedHealthcare Life Insurance Company,AZ,1610.82,28226.14,,5753,,2810864.09,1870467.82,488.5910116,325.1291187,4.906334087,163.4618929,United Healthcare Life Insurance Company,AZ,737940.9,784206.91,,17049,,6337200.43,7551443.03,371.7051106,442.9258625,45.99723796,-71.22075195,UnitedHealthcare Life Insurance Company,AZ,822635.08,-819920.79,,55822,,19215156.59,18384841.95,344.2219302,329.347604,-14.68812995,14.87432625
62,49116,UHC of California,CA,,,-2215283.01,5622,407230,2881887.45,3398138.4,512.6089381,604.4358591,,-91.82692102,UHC of California,CA,,,-1290603.41,3275,403312,1498719.36,2149910.87,457.6242321,656.4613344,,-198.8371023,UHC of California,CA,,,-15840917.19,4715,752476,2295597.16,2683968.02,486.8710838,569.2403012,,-82.36921739
64,66663,United Healthcare Life Insurance Company,VA,726662.22,428044.47,,8062,,2907863.63,4495865.09,360.6876247,557.6612615,53.09407963,-196.9736368,United Healthcare Life Insurance Company,VA,2604337.93,2658704.33,,37231,,14784988.32,18449770.37,397.1149934,495.5486119,71.41103731,-98.43361849,UnitedHealthcare Life Insurance Company,VA,2207260.9,4297345.9,,37979,,16815742.47,24991003.68,442.7642242,658.0216351,113.1505806,-215.2574109
67,81413,Network Health Plan,WI,0,17211.06,-5824.29,18001,171588,3010754,1918512.432,167.2548192,106.578103,0.956116882,60.67671618,Network Health Plan,WI,24525.62,294393.41,-54663.83,14440,129581,2243847,1580270,155.3910665,109.4369806,20.38735526,45.95408587,Network Health Plan,WI,1548847.3,1897726.68,-3546.19,55987,108312,22776443,25842938.9,406.816636,461.5882062,33.89584511,-54.77157019
69,56726,UnitedHealthcare Insurance Company,OH,,,2231396.77,5787,552184,3022644.73,2752242.21,522.3163522,475.5904977,,46.7258545,United Healthcare Insurance Company,OH,,,1775202.4,4768,402846,2305123.88,2296010.41,483.4571896,481.5458075,,1.911382131,UnitedHealthcare Insurance Company,OH,,,926423.44,5143,365188,2145394.14,1362827.56,417.1483842,264.986887,,152.1614972
70,87354,Cigna Health and Life Insurance Company**,CT,1443523.59,-45977.45,,7558,5600,3024212,4941316,400.1338979,653.7861868,-6.083282614,-253.652289,Cigna Health and Life Insurance Company,CT,949866.36,1551767.81,,7637,7581,3105679,5626276,406.662171,736.7128454,203.1907568,-330.0506743,Cigna Health and Life Insurance Company,CT,535710.84,1027304.78,,6669,,2992995,5399617,448.7921727,809.6591693,154.0418024,-360.8669966
71,24675,"Blue Cross and Blue Shield of Massachusetts, Inc. ***",MA,78976.66,,,3430,49377,3059745,4057978,892.0539359,1183.083965,,-291.0300292,"Blue Cross and Blue Shield of Massachusetts, Inc.",MA,96895.37,,,2558,37764,2307543,2184281,902.0887412,853.9018765,,48.18686474,"Blue Cross and Blue Shield of Massachusetts, Inc.",MA,82290.16,,,2994,37528,2164115,2138372,722.8173013,714.2191049,,8.598196393
73,99248,Cigna Health and Life Insurance Company,TN,1040048.02,1134427.73,,9483,482,3131695,5082545,330.2430665,535.96383,119.6275156,-205.7207635,Cigna Health and Life Insurance Company,TN,962071.92,1397613.95,,15616,741,5229779,7147753,334.8987577,457.7198386,89.49884413,-122.8210809,Cigna Health and Life Insurance Company,TN,2323303.71,-24919104.44,,212035,,70770129,57016568,333.7662603,268.9016813,-117.523543,64.86457896
76,89364,Sanford Health Plan,ND,300927.77,128336.66,871040.84,12835,27498,3365375,2795365.75,262.2029607,217.7924231,9.998960654,44.41053759,Sanford Health Plan,ND,935693.69,-728919.89,-429914.25,28955,59864,9384377,9045705.67,324.102124,312.4056526,-25.17423208,11.69647142,Sanford Health Plan,ND,824355.88,-3640352.33,-1552877.7,66684,61234,22471555,21669276.86,336.9857087,324.9546647,-54.59109127,12.03104403
77,73331,"Minuteman Health, Inc.***",MA,1167.6,,,13931,3029,3466522.18,1202727.288,248.8351288,86.33459823,,162.5005306,"Minuteman Health, Inc.",MA,349712.48,,,56185,6684,13457110,7964463,239.5142832,141.7542583,,97.76002492,"Minuteman Health, Inc.",MA,368156.26,,,66843,12295,19144269.69,12300433.32,286.4065002,184.0197675,,102.3867326
78,58326,"MercyCare HMO, Inc.",WI,1158384.25,553470.57,176359.16,7914,40296,3483939.53,5994594.09,440.2248585,757.4670318,69.93562926,-317.2421734,"Mercy Care HMO, Inc.",WI,1039637.7,686857.72,224237.16,10511,17819,5800173,8315467.52,551.8193321,791.1204947,65.34656265,-239.3011626,"MercyCare HMO, Inc.",WI,216322.43,-14819.28,405777.06,15670,18343,7035331.83,6227139.75,448.9682087,397.3924537,-0.945710274,51.57575495
79,38712,Tufts Insurance Company***,MA,1677442.23,,,5487,24883,3550449,6839015,647.0656096,1246.403317,,-599.3377073,Tufts Insurance Company,MA,1002595.01,,,5867,25535,3904718,7432948,665.5391171,1266.907789,,-601.3686722,Tufts Associated Health Maintenance Organization Inc.,MA,421450.61,,,4290,27455,2768339,6046304,645.3004662,1409.394872,,-764.0944056
80,61724,UnitedHealthcare Life Insurance Company,OH,907441.89,1149383.33,-975536.98,8881,246629,3625969.39,5007633.02,408.2839083,563.8591397,129.4204853,-155.5752314,United Healthcare Life Insurance Company,OH,2327012.2,2965356.57,-4212359.07,39475,467432,14906016.34,19732630.09,377.6064937,499.8766331,75.11986244,-122.2701393,UnitedHealthcare Life Insurance Company,OH,1737137.87,4086573.63,-6324051.22,34387,607074,14667975.92,18567660.21,426.5558473,539.9616195,118.8406558,-113.4057722
81,90117,UnitedHealthcare Insurance Company,RI,,,-1740424.21,9037,145710,3654330.77,4467752.79,404.3743244,494.384507,,-90.01018258,United Healthcare Insurance Company,RI,,,-1255163.31,6049,88977,2884114.13,3251346.46,476.7918879,537.5014812,,-60.70959332,UnitedHealthcare Insurance Company,RI,,,-1875286.65,3659,48506,1960006.23,2336722.65,535.667185,638.6232987,,-102.9561137
82,69842,UnitedHealthcare Insurance Company,LA,,,511621.86,10105,205255,3714685.67,2746353.57,367.6086759,271.7816497,,95.82702622,United Healthcare Insurance Company,LA,,,-301664.16,7895,204666,3230043.86,2202185.69,409.1252514,278.9342229,,130.1910285,UnitedHealthcare Insurance Company,LA,,,-1019726.31,6772,225268,2904954.25,1660442.12,428.9654829,245.19228,,183.7732029
84,39364,Medica Insurance Company,ND,,,-987988.94,18289,80761,3887599.05,2289058.85,212.5648778,125.1604161,,87.4044617,Medica Insurance Company,ND,,,-79596.59,13459,64618,3338127.27,2110928.25,248.0219385,156.8413887,,91.18054982,Medica Insurance Company,ND,,,634824.54,11085,52001,2826000.95,1493400.755,254.9391926,134.7226662,,120.2165264
85,53789,Keystone Health Plan Central,PA,1122656.96,238390.33,-78244.77,12894,39670,3961366,4682943,307.2255313,363.1877617,18.48846983,-55.96223049,Keystone Health Plan Central,PA,1234878.34,298016.86,5269.47,30665,17939,8559182,9790442,279.1189304,319.2708952,9.718469265,-40.15196478,Keystone Health Plan Central,PA,5430422.97,-35510815.31,-946154.73,413276,10725,139777767,128350976,338.2189312,310.5696339,-85.9251815,27.64929732
86,40442,Freedom Life Insurance,FL,197590.16,34088.7,,14676,,3968126,3457885,270.3819842,235.6149496,2.322751431,34.76703461,Freedom Life Insurance,FL,441431.46,544782.95,,10292,,3189781,4324035,309.9281967,420.1355422,52.93266129,-110.2073455,Freedom Life Insurance Company of America,FL,92026.59,173446.74,,6944,,2475206,3616725,356.452477,520.8417339,24.97792915,-164.3892569
87,17808,Humana Insurance Company,SC,2760.15,24910.64,-3229.79,14566,109,3970049.62,4017044.401,272.5559261,275.7822601,1.710190855,-3.226333997,Humana Insurance Company,SC,0,16975.57,,8505,,2661666.91,2139771.392,312.9531934,251.5898168,1.995951793,61.3633766,Humana Insurance Company,SC,0,-7953.72,,3908,,1359755.98,734010.32,347.941653,187.8224974,-2.035240532,160.1191556
