,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM
26,43129.0,UnitedHealthcare Life Insurance Company,UT,42356.49,43110.39,,7350.0,,1533659.0,1057078.33,208.66108843537415,143.82018095238095,5.865359183673469,64.8409074829932,United Healthcare Life Insurance Company,UT,119171.57,47918.32,,4244.0,,1430023.97,2386267.14,336.95192507068805,562.2684118755891,11.290838831291234,-225.31648680490105,UnitedHealthcare Life Insurance Company,UT,171226.54,316788.43,,3878.0,,1449222.67,2421683.0,373.70362815884477,624.4669932955131,81.68861010830325,-250.76336513666837
27,57860.0,UnitedHealthcare Insurance Company,SC,,,359514.77,2797.0,86417.0,1549433.2,1348914.69,553.962531283518,482.27196639256346,,71.69056489095459,United Healthcare Insurance Company,SC,,,472850.3,2064.0,66954.0,1070968.11,846268.33,518.879898255814,410.0137257751938,,108.86617248062026,UnitedHealthcare Insurance Company,SC,306752.92,565945.16,181519.45,7966.0,57007.0,3982764.68,5709415.61,499.9704594526739,716.7230241024354,71.04508661812704,-216.7525646497615
28,85266.0,Hometown Health Providers Ins. Co. Inc.,NV,234356.21,248604.41,-318074.62,6053.0,32964.0,1609053.0,2230101.0,265.8273583347101,368.42904344952916,41.07127209648108,-102.60168511481908,Hometown Health Providers Ins. Co. Inc.,NV,217980.45,397248.75,-1757923.69,3534.0,60181.0,1423220.0,2103218.0,402.7221279003962,595.1380871533673,112.40768251273344,-192.41595925297116,"Hometown Health Providers Insurance Company, Inc",NV,57350.9,-674631.16,-1995391.69,11181.0,99773.0,4537475.0,3729342.0,405.82014131115284,333.54279581432786,-60.33728289061801,72.27734549682498
29,58819.0,John Alden Life Insurance Company,PA,,,-78133.65,5795.0,2151.0,1634836.0,611247.0,282.1114754098361,105.47834339948231,,176.6331320103538,John Alden Life Insurance Company,PA,,,-101659.48,3900.0,780.0,1137651.0,587741.0,291.7053846153846,150.70282051282052,,141.0025641025641,,,,,,,,,,,,,
30,23468.0,Humana Insurance Company,OK,48913.42,-107296.38,-81323.21,6085.0,945.0,1661454.27,1743140.996,273.04096466721444,286.4652417419885,-17.63293015612161,-13.424277074774068,Humana Insurance Company,OK,66173.45,74763.49,-69246.02,2381.0,685.0,841575.83,325591.797,353.4547795044099,136.74581982360354,31.400037799244018,216.70895968080634,Humana Insurance Company,OK,0.0,-20589.96,-15629.24,751.0,45.0,302696.34,323644.53,403.0577097203729,430.95143808255665,-27.416724367509985,-27.893728362183765
31,23620.0,UnitedHealthcare Insurance Company,MD,,,1556233.82,3219.0,117747.0,1680029.72,1316539.32,521.9104442373408,408.9901584342964,,112.92028580304441,United Healthcare Insurance Company,MD,,,1835041.07,2914.0,162340.0,1417059.83,1293575.05,486.2936959505834,443.91731297186,,42.37638297872343,UnitedHealthcare Insurance Company,MD,,,-1895792.87,2632.0,184073.0,1333475.87,986947.18,506.63976823708214,374.9799316109423,,131.65983662613985
32,72564.0,"Evergreen Health Cooperative, Inc.",MD,311875.67,-360466.32,,4194.0,30240.0,1725306.0,2251799.65,411.3748211731044,536.9097877920839,-85.9480972818312,-125.53496661897947,"Evergreen Health Cooperative, Inc.",MD,725913.47,-3443885.2,-20766948.84,47868.0,192165.0,15266749.0,15460626.0,318.9343402690733,322.9845826021559,-71.94545834377872,-4.050242333082622,Evergreen Health,MD,2540644.79,1224227.52,-10613469.4,127132.0,282037.0,43319182.0,46154706.49,340.7417644652802,363.04554706918793,9.629578076330114,-22.303782603907734
33,56971.0,John Alden Life Insurance Company,MN,2783.9,-46632.1,113761.56,7946.0,512.0,1732269.0,1793096.0,218.0051598288447,225.6602063931538,-5.8686257236345325,-7.655046564309089,John Alden Life Insurance Company,MN,3609.11,-93357.87,-43185.94,4840.0,204.0,1210818.0,651360.0,250.1690082644628,134.5785123966942,-19.288816115702478,115.5904958677686,,,,,,,,,,,,,
34,59158.0,UnitedHealthcare Insurance Company,WI,,,2979572.04,3113.0,1086472.0,1736417.03,961523.73,557.7953838740765,308.87366848699,,248.92171538708646,United Healthcare Insurance Company,WI,,,11297157.89,3128.0,1103277.0,1710491.76,1118015.09,546.8324040920717,357.4217039641944,,189.41070012787725,UnitedHealthcare Insurance Company,WI,,,12017109.32,4441.0,1060819.0,2404001.31,2452882.65,541.3198176086468,552.3266494032875,,-11.006831794640789
35,23489.0,UnitedHealthcare Insurance Company,PA,,,-2928219.72,3954.0,171118.0,1761380.53,2071919.42,445.46801466868993,524.005923115832,,-78.53790844714212,United Healthcare Insurance Company,PA,,,-5371431.92,2683.0,219495.0,1017074.56,737885.15,379.08108833395454,275.0224189340291,,104.05866939992546,UnitedHealthcare Insurance Company,PA,,,-6368539.3,3322.0,259434.0,1130375.27,1182640.54,340.2694972907887,356.0025707405178,,-15.73307344972909
36,64206.0,John Alden Life Insurance Company,MT,,,-292758.82,7356.0,14972.0,1790461.0,1432390.0,243.40144100054377,194.72403480152258,,48.67740619902119,John Alden Life Insurance Company,MT,,,264897.43,3055.0,7651.0,854241.0,281775.0,279.62062193126025,92.23404255319149,,187.38657937806875,,,,,,,,,,,,,
37,70239.0,Health Choice Insurance Co.,AZ,678956.76,-243631.04,,4697.0,,1812900.71,3639322.68,385.96991909729616,774.8185394932937,-51.86949968064722,-388.8486203959975,Health Choice Insurance Co.,AZ,1542865.7,-5999819.7,,58566.0,,13465931.75,12713287.44,229.9274621794215,217.07624628624114,-102.44544104087696,12.851215893180353,Health Choice Insurance Co,AZ,3438514.98,-9159037.15,,124255.0,,40067897.67,49551786.7,322.46507319624965,398.79108848738485,-73.71161844593779,-76.3260152911352
38,82824.0,Aetna Health Inc. (a GA corp.),GA,,,-1390717.91,3607.0,303393.0,1861258.73,2757745.26,516.0129553645689,764.5537177710007,,-248.54076240643178,Aetna Health Inc. (a GA corp.),GA,,,-4486504.66,940354.0,684990.0,259367562.6,233200810.6,275.8190666493682,247.99257577465508,,27.82649087471313,Aetna Health Inc. (a GA corp.),GA,12594972.21,-49061684.16,-5012021.19,1018921.0,322550.0,352928824.6,302397410.9,346.3750620509343,296.78199870254906,-48.15062616238158,49.593063348385215
39,66699.0,"Denver Health Medical Plan, Inc.",CO,426657.77,2412384.6,,5526.0,,1886324.0,4647051.0,341.3543250090481,840.942996742671,436.5516829533116,-499.58867173362285,"Denver Health Medical Plan, Inc.",CO,90456.8,2379976.29,,2857.0,,1259820.15,2795911.49,440.95910045502274,978.61795239762,833.0333531676584,-537.6588519425973,"Denver Health Medical Plan, Inc.",CO,297354.64,2810015.23,,2490.0,,1167062.43,3274884.0,468.6997710843373,1315.2144578313253,1128.520172690763,-846.514686746988
40,85736.0,UCare Minnesota,MN,311887.29,927744.9,,5906.0,,2027827.07,2734688.0,343.35033355909246,463.0355570606163,157.0851506942093,-119.68522350152386,UCare Minnesota,MN,1959663.44,-5906132.97,,115591.0,,26968684.88,29837423.0,233.3112861727989,258.1292920729123,-51.09509364915954,-24.818005900113377,UCare Minnesota,MN,1552756.08,-16539135.0,,192341.0,,52833255.37,41266848.0,274.68535242096067,214.55044946215315,-85.98860877296052,60.134902958807515
41,50498.0,John Alden Life Insurance Company,OH,,,6795.41,8221.0,19820.0,2072607.0,993048.0,252.1113003284272,120.79406398248388,,131.31723634594334,John Alden Life Insurance Company,OH,,,109425.34,5339.0,10131.0,1539217.0,1065907.0,288.296872073422,199.64543922082788,,88.6514328525941,,,,,,,,,,,,,
42,99685.0,Humana Insurance Company,AR,4723.94,68170.5,27385.89,13384.0,2722.0,2178290.92,1614966.321,162.7533562462642,120.66395106096832,5.093432456664674,42.089405185295874,Humana Insurance Company,AR,149183.57,-484230.53,91590.58,8077.0,1810.0,1784005.94,1254218.05,220.87482233502539,155.28266064132723,-59.951780363996534,65.59216169369816,Humana Insurance Company,AR,0.0,-106659.16,,6183.0,,1351592.12,1182334.65,218.59811094937734,191.22345948568653,-17.250389778424715,27.37465146369081
43,48069.0,UnitedHealthcare Life Insurance Company,TN,361362.2,140988.67,,5206.0,,2183321.52,2462986.41,419.38561659623514,473.10534191317714,27.08195735689589,-53.719725316942004,United Healthcare Life Insurance Company,TN,199560.67,315512.89,,8862.0,,3334637.81,3792328.45,376.28501579778833,427.93144324080345,35.60289889415482,-51.646427443015114,UnitedHealthcare Life Insurance Company,TN,50470.53,-301887.1,,10687.0,,4310405.41,3423991.3,403.3316562178348,320.38844390380837,-28.248067745859455,82.94321231402643
44,40411.0,Cigna Health and Life Insurance Company,NC,1242110.42,1069804.73,,5704.0,,2238018.0,3813691.0,392.359396914446,668.5994039270687,187.55342391304347,-276.2400070126227,Cigna Health and Life Insurance Company,NC,293355.4,596150.26,,5539.0,,2106567.0,2571812.0,380.3153998916772,464.30980321357646,107.62777757718,-83.99440332189926,Cigna Health and Life Insurance Company,NC,574641.37,-717206.52,,13889.0,,5578645.0,5479908.0,401.6592267261862,394.5502195982432,-51.63845633234934,7.109007127943016
45,20523.0,Aetna Health of California Inc.,CA,,,-23489767.02,4418.0,919142.0,2247068.97,3347533.76,508.6167881394297,757.7034314169307,,-249.08664327750103,Aetna Health of California Inc.,CA,,,-55802137.54,2133.0,1022238.0,804160.83,1476307.62,377.00929676511953,692.1273417721519,,-315.1180450070324,Aetna Health of California Inc.,CA,,,-30584653.01,293.0,1007899.0,86943.05,3121174.22,296.7339590443686,10652.471740614335,,-10355.737781569967
46,50313.0,John Alden Life Insurance Company,GA,,,159888.81,8512.0,7460.0,2261645.0,566719.0,265.7007753759398,66.57882988721805,,199.1219454887218,John Alden Life Insurance Company,GA,,,123868.75,6138.0,4070.0,1688342.0,1012820.0,275.0638644509612,165.0081459758879,,110.05571847507329,,,,,,,,,,,,,
47,95074.0,John Alden Life Insurance Company,IN,,,-124424.43,9516.0,10937.0,2263435.0,2807514.0,237.8557166876839,295.03089533417403,,-57.17517864649014,John Alden Life Insurance Company,IN,,,-241241.52,6522.0,5735.0,1705257.0,1170953.0,261.46228150873964,179.53894510886232,,81.92333639987731,,,,,,,,,,,,,
48,92476.0,UnitedHealthcare Ins Co of Illinois,IL,,,-700664.41,3578.0,863764.0,2297926.08,1470998.13,642.2375852431526,411.1230100614868,,231.11457518166577,United Healthcare Ins Co of Illinois,IL,,,4056740.92,3303.0,721188.0,1841854.78,1709451.63,557.6308749621556,517.5451498637602,,40.085725098395415,UnitedHealthcare Insurance Company of Illinois,IL,,,2021972.27,4115.0,679217.0,2205124.3,1333436.43,535.8746780072903,324.04287484811664,,211.83180315917366
49,53799.0,Freedom Life Insurance,TX,763968.78,212352.03,,9495.0,,2302145.0,3971315.0,242.45866245392313,418.2532912058978,22.364616113744077,-175.7946287519747,Freedom Life Insurance,TX,939694.86,808134.93,,6793.0,,2037537.0,6603686.0,299.9465626380097,972.1310172236125,118.96583689091713,-672.1844545856028,Freedom Life Insurance Company of America,TX,230293.45,306657.04,,4057.0,,1327125.0,2016748.0,327.119792950456,497.1032782844466,75.58714320926792,-169.98348533399064
50,95426.0,UnitedHealthcare Insurance Company,MO,,,-342820.74,4617.0,542131.0,2318002.6,1602444.49,502.05817630495994,347.074829976175,,154.98334632878493,United Healthcare Insurance Company,MO,,,2802884.9,4821.0,629836.0,2245406.86,1630747.4,465.7554158888197,338.2591578510682,,127.49625803775149,UnitedHealthcare Insurance Company,MO,,,6325614.34,6660.0,671313.0,3200237.21,2614594.4,480.5160975975976,392.5817417417417,,87.93435585585587
51,54172.0,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,,6429.0,,2382576.0,3070584.0,370.59822678488104,477.61455902939804,103.30722974023955,-107.016332244517,"Molina Healthcare of Florida, Inc.",FL,19021408.95,-218903904.1,,1722261.0,,586687204.0,333655952.1,340.649416087341,193.7313520424605,-127.10263084398937,146.91806404488054,"Molina Healthcare of Florida, Inc.",FL,25476629.62,-252569063.1,,2589371.0,,868088165.0,664080390.0,335.25059367699725,256.4639790899025,-97.54070123593722,78.78661458709473
52,16322.0,"UPMC Health Options, Inc.",PA,24575.39,-3587.19,3575646.12,7694.0,1607798.0,2395450.0,4487507.78,311.34000519885626,583.2476969066805,-0.46623212893163507,-271.90769170782426,"UPMC Health Options, Inc.",PA,17829957.2,-3105783.44,5913428.11,630940.0,1517618.0,170872680.9,215887269.2,270.8223934130028,342.1676691919992,-4.922470345833201,-71.34527577899638,UPMC Health Options,PA,18516908.47,-5211297.35,12239314.33,1322261.0,1436131.0,409160383.5,470210509.0,309.4399543660442,355.6109640986159,-3.941201737024687,-46.17100973257169
