,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME_2016,STATE_2016,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2016,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2016",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2016,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2016,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2016,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2016,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2016,IndPremiumPMM_2016,IndCostsPMM_2016,IndRTPMM_2016,IndPremiumMinusCostsPMM_2016
180,94720.0,John Alden Life Insurance Company,WI,,,44877.57,2435.0,3302.0,731543.0,1070851.0,300.4283367556468,439.77453798767965,,-139.34620123203285,,,,,,,,,,,,,
181,82506.0,Freedom Life Insurance,IL,38014.98,26867.72,,3229.0,,740957.0,602404.0,229.46949519975226,186.5605450603902,8.320755651904614,42.90895013936205,Freedom Life Insurance Company of America,IL,0.0,48327.14,,2435.0,,610525.0,558316.0,250.7289527720739,229.28788501026693,19.846874743326488,21.441067761806977
183,73250.0,Aetna Health Inc. (a ME corp.),ME,80946.55,-207447.42,-169162.21,2633.0,6988.0,780401.94,602279.61,296.39268515001896,228.74273072540828,-78.78747436384353,67.64995442461068,Aetna Health Inc. (a ME corp.),ME,92757.12,-370234.08,-154409.6,7375.0,12377.0,2332638.38,2017789.27,316.2899498305085,273.59854508474575,-50.20123118644068,42.691404745762725
185,20523.0,Aetna Health of California Inc.,CA,,,-55802137.54,2133.0,1022238.0,804160.83,1476307.62,377.00929676511953,692.1273417721519,,-315.1180450070324,Aetna Health of California Inc.,CA,,,-30584653.01,293.0,1007899.0,86943.05,3121174.22,296.7339590443686,10652.471740614335,,-10355.737781569967
187,41240.0,John Alden Life Insurance Company,FL,,,6445.09,2136.0,247.0,835630.0,581247.0,391.2125468164794,272.1193820224719,,119.09316479400752,,,,,,,,,,,,,
189,23468.0,Humana Insurance Company,OK,66173.45,74763.49,-69246.02,2381.0,685.0,841575.83,325591.797,353.4547795044099,136.74581982360354,31.400037799244018,216.70895968080634,Humana Insurance Company,OK,0.0,-20589.96,-15629.24,751.0,45.0,302696.34,323644.53,403.0577097203729,430.95143808255665,-27.416724367509985,-27.893728362183765
190,64206.0,John Alden Life Insurance Company,MT,,,264897.43,3055.0,7651.0,854241.0,281775.0,279.62062193126025,92.23404255319149,,187.38657937806875,,,,,,,,,,,,,
191,73893.0,John Alden Life Insurance Company,AZ,,,543121.99,2690.0,12255.0,862943.0,295044.0,320.7966542750929,109.6817843866171,,211.11486988847582,,,,,,,,,,,,,
192,18699.0,United Healthcare Insurance Company,WA,,,-2911146.39,2289.0,220908.0,866073.9,1267689.57,378.3634338138925,553.8180733944954,,-175.45463958060287,UnitedHealthcare Insurance Company,WA,,,-611615.77,2840.0,186882.0,1059597.35,1138446.15,373.0976584507043,400.8613204225352,,-27.763661971830913
194,10958.0,United Healthcare Ins Co of River Valley,TN,,,-4628908.57,2218.0,482901.0,899910.21,547940.29,405.7304824165915,247.04251127141572,,158.68797114517577,UnitedHealthcare Insurance Company of the River Valley,TN,,,-5545932.81,1880.0,652762.0,836967.9,442372.79,445.1956914893617,235.30467553191488,,209.89101595744683
195,97646.0,Time Insurance Company,NM,0.0,6670.67,,2858.0,,933798.0,838772.0,326.73128061581525,293.482155353394,2.334034289713086,33.24912526242127,,,,,,,,,,,,,
196,11082.0,Aetna Life Insurance Company,AK,0.0,-34550.55,557129.08,2906.0,21271.0,958431.34,462786.99,329.8111975223675,159.25223331039228,-11.889384033035101,170.5589642119752,Aetna Life Insurance Company,AK,,,-1188058.34,242.0,28604.0,166157.31,24287.02,686.6004545454546,100.3595867768595,,586.2408677685951
197,69443.0,United Healthcare Insurance Company,TN,,,1962995.16,2010.0,219298.0,972773.15,574155.03,483.9667412935323,285.64926865671646,,198.31747263681586,UnitedHealthcare Insurance Company,TN,6404602.34,-11876109.92,14454.67,428878.0,208715.0,165680680.4,168842762.7,386.311912478607,393.6848304179743,-27.691114769235075,-7.372917939367312
198,72034.0,CHRISTUS Health Plan,NM,22695.1,-455783.17,,3453.0,,986130.31,517386.0,285.5865363452071,149.83666377063423,-131.99628439038517,135.74987257457286,CHRISTUS Health Plan,NM,22380.16,-3546966.8,,33015.0,,9044258.0,5807818.0,273.9439042859306,175.91452370134786,-107.43500832954717,98.02938058458275
199,97889.0,Time Insurance Company,DE,101901.86,40682.47,-10832.08,2948.0,43.0,986662.0,772875.0,334.6886024423338,262.1692672998643,13.800023744911805,72.51933514246946,,,,,,,,,,,,,
200,41842.0,United Healthcare Insurance Company,DC,,,-389192.26,4233.0,87665.0,989112.32,15388473.43,233.66697850224426,3635.358712497047,,-3401.6917339948027,UnitedHealthcare Insurance Company,DC,,,-2167698.98,2603.0,98152.0,1111059.47,2838024.02,426.838059930849,1090.2896734537073,,-663.4516135228583
201,64146.0,United Healthcare Ins Co of River Valley,SC,,,16395.03,2200.0,84509.0,994457.07,635770.73,452.0259409090909,288.98669545454544,,163.03924545454544,UnitedHealthcare Insurance Company of the River Valley,SC,,,775157.13,1475.0,71031.0,675973.77,390778.15,458.28730169491524,264.93433898305085,,193.3529627118644
202,22369.0,Aetna Life Insurance Company,SC,,,-183730.56,3120.0,1177.0,999909.67,1046345.73,320.4838685897436,335.3672211538462,,-14.883352564102552,Aetna Life Insurance Company,SC,,,60604.68,345.0,1218.0,217158.31,128643.87,629.4443768115942,372.88078260869565,,256.56359420289857
203,59977.0,John Alden Life Insurance Company,NC,0.0,-138633.22,-11962.08,3338.0,1894.0,1007779.0,550467.0,301.91102456560816,164.90922708208507,-41.53182144997004,137.0017974835231,,,,,,,,,,,,,
204,23489.0,United Healthcare Insurance Company,PA,,,-5371431.92,2683.0,219495.0,1017074.56,737885.15,379.08108833395454,275.0224189340291,,104.05866939992546,UnitedHealthcare Insurance Company,PA,,,-6368539.3,3322.0,259434.0,1130375.27,1182640.54,340.2694972907887,356.0025707405178,,-15.73307344972909
205,72850.0,United Healthcare Insurance Company,IN,,,-6771739.27,2194.0,761207.0,1022172.57,749367.48,465.894516864175,341.5530902461258,,124.34142661804918,UnitedHealthcare Insurance Company,IN,,,-10746407.83,4549.0,590464.0,2085892.22,1906880.46,458.5386282699494,419.1867355462739,,39.35189272367552
206,28700.0,Freedom Life Insurance,CO,49057.63,98569.13,,4469.0,,1024383.0,2636489.0,229.21973595882747,589.9505482210785,22.056193779368986,-360.73081226225105,Freedom Life Insurance Company of America,CO,189050.16,530940.43,,2558.0,,947270.0,3221773.0,370.31665363565287,1259.4890539483972,207.56076231430808,-889.1724003127443
207,34446.0,United Healthcare Ins Co of River Valley,IL,,,-2373664.9,2645.0,203050.0,1057632.37,416438.84,399.8610094517959,157.44379584120983,,242.41721361058606,UnitedHealthcare Insurance Company of the River Valley,IL,,,632447.67,2780.0,224855.0,1166064.03,782782.61,419.4474928057554,281.5764784172662,,137.87101438848924
208,52899.0,"UPMC Health Plan, Inc.",PA,32889.28,197264.42,-5456.23,2351.0,112.0,1064770.42,1359652.739,452.90107188430454,578.3295359421523,83.90660144619312,-125.4284640578478,,,,,,,,,,,,,
209,57860.0,United Healthcare Insurance Company,SC,,,472850.3,2064.0,66954.0,1070968.11,846268.33,518.879898255814,410.0137257751938,,108.86617248062026,UnitedHealthcare Insurance Company,SC,306752.92,565945.16,181519.45,7966.0,57007.0,3982764.68,5709415.61,499.9704594526739,716.7230241024354,71.04508661812704,-216.7525646497615
210,32536.0,ATRIO Health Plans,OR,59191.36,-163736.68,-28002.5,2990.0,123.0,1073974.54,1283535.0929999999,359.1888093645485,429.2759508361204,-54.76143143812709,-70.0871414715719,ATRIO Health Plans,OR,565037.28,-2249966.76,-86927.73,24978.0,635.0,10015117.31,12039165.51,400.95753503082716,481.99077227960606,-90.07793898630794,-81.0332372487789
211,58819.0,John Alden Life Insurance Company,PA,,,-101659.48,3900.0,780.0,1137651.0,587741.0,291.7053846153846,150.70282051282052,,141.0025641025641,,,,,,,,,,,,,
212,63631.0,United Healthcare Insurance Company,MI,,,-1154312.92,2949.0,409266.0,1146442.41,576681.84,388.7563275686673,195.55165818921668,,193.20466937945062,UnitedHealthcare Insurance Company,MI,,,-1938501.49,5156.0,404502.0,1975678.7,1473969.81,383.1805081458495,285.8746722265322,,97.3058359193173
213,63509.0,"Valley Baptist Health Plans, dba of VBIC",TX,51119.55,-170079.29,-373334.92,4119.0,16662.0,1174795.0,995269.479,285.213644088371,241.6289096868172,-41.2914032532168,43.58473440155379,Allegian Insurance Company,TX,3690911.19,212479.07,-244378.85,66085.0,9436.0,19011152.0,29201322.42,287.67726412953016,441.8751973972914,3.2152390103654387,-154.19793326776124
214,56971.0,John Alden Life Insurance Company,MN,3609.11,-93357.87,-43185.94,4840.0,204.0,1210818.0,651360.0,250.1690082644628,134.5785123966942,-19.288816115702478,115.5904958677686,,,,,,,,,,,,,
215,11593.0,HPHC Insurance Company Inc.,ME,405479.23,208585.27,2498771.66,3228.0,154215.0,1222730.18,2854907.905,378.7887794299876,884.4200449194547,64.61749380421313,-505.63126548946707,HPHC Insurance Company Inc.,ME,353431.61,617069.84,2126973.99,4163.0,109969.0,1665613.5,3116413.943,400.09932740811917,748.59811265914,148.22720153735287,-348.4987852510209
216,66946.0,Aetna Life Insurance Company,OK,0.0,-37821.69,65348.5,4047.0,75066.0,1238526.13,903335.91,306.0356140350877,223.21124536693847,-9.345611564121572,82.82436866814922,Aetna Life Insurance Company,OK,,,341655.17,573.0,58399.0,274228.72,262485.1,478.58415357766137,458.08917975567186,,20.494973821989504
217,66699.0,"Denver Health Medical Plan, Inc.",CO,90456.8,2379976.29,,2857.0,,1259820.15,2795911.49,440.95910045502274,978.61795239762,833.0333531676584,-537.6588519425973,"Denver Health Medical Plan, Inc.",CO,297354.64,2810015.23,,2490.0,,1167062.43,3274884.0,468.6997710843373,1315.2144578313253,1128.520172690763,-846.514686746988
218,25978.0,United Healthcare Insurance Company,VA,,,-7578909.62,2701.0,336520.0,1400243.25,996189.3,518.4166049611255,368.82239911144023,,149.59420584968524,UnitedHealthcare Insurance Company,VA,,,-11826669.96,3848.0,392052.0,1987823.29,1007559.33,516.5860940748441,261.8397427234927,,254.74635135135145
219,23620.0,United Healthcare Insurance Company,MD,,,1835041.07,2914.0,162340.0,1417059.83,1293575.05,486.2936959505834,443.91731297186,,42.37638297872343,UnitedHealthcare Insurance Company,MD,,,-1895792.87,2632.0,184073.0,1333475.87,986947.18,506.63976823708214,374.9799316109423,,131.65983662613985
220,85266.0,Hometown Health Providers Ins. Co. Inc.,NV,217980.45,397248.75,-1757923.69,3534.0,60181.0,1423220.0,2103218.0,402.7221279003962,595.1380871533673,112.40768251273344,-192.41595925297116,"Hometown Health Providers Insurance Company, Inc",NV,57350.9,-674631.16,-1995391.69,11181.0,99773.0,4537475.0,3729342.0,405.82014131115284,333.54279581432786,-60.33728289061801,72.27734549682498
221,43129.0,United Healthcare Life Insurance Company,UT,119171.57,47918.32,,4244.0,,1430023.97,2386267.14,336.95192507068805,562.2684118755891,11.290838831291234,-225.31648680490105,UnitedHealthcare Life Insurance Company,UT,171226.54,316788.43,,3878.0,,1449222.67,2421683.0,373.70362815884477,624.4669932955131,81.68861010830325,-250.76336513666837
222,49116.0,UHC of California,CA,,,-1290603.41,3275.0,403312.0,1498719.36,2149910.87,457.6242320610687,656.4613343511451,,-198.83710229007636,UHC of California,CA,,,-15840917.19,4715.0,752476.0,2295597.16,2683968.02,486.8710837751856,569.24030116649,,-82.3692173913044
223,50498.0,John Alden Life Insurance Company,OH,,,109425.34,5339.0,10131.0,1539217.0,1065907.0,288.296872073422,199.64543922082788,,88.6514328525941,,,,,,,,,,,,,
224,32812.0,Cigna Health and Life Insurance Company,MD,691025.23,1034979.8,,4317.0,3185.0,1553035.0,3564937.0,359.7486680565207,825.7903636784804,239.7451470928886,-466.04169562195966,Cigna Health and Life Insurance Company,MD,456704.97,1770732.37,,7748.0,,2939706.0,6442194.0,379.41481672689724,831.4654104284976,228.54057434176562,-452.0505937016004
225,11555.0,New Health Ventures Inc.,CO,389863.07,173278.24,,4585.0,,1634767.0,2504367.0,356.54678298800434,546.2087241003271,37.7924187568157,-189.66194111232278,,,,,,,,,,,,,
226,53524.0,Coventry Health and Life,OK,22512.4,-200398.31,-816839.4,9743.0,47711.0,1666568.13,1429357.23,171.05287180539872,146.70606897259572,-20.568439905573232,24.346802832803007,Coventry Health and Life,OK,,,-53793.64,54.0,20996.0,19026.47,9359.45,352.3420370370371,173.32314814814816,,179.0188888888889
227,50313.0,John Alden Life Insurance Company,GA,,,123868.75,6138.0,4070.0,1688342.0,1012820.0,275.0638644509612,165.0081459758879,,110.05571847507329,,,,,,,,,,,,,
228,95074.0,John Alden Life Insurance Company,IN,,,-241241.52,6522.0,5735.0,1705257.0,1170953.0,261.46228150873964,179.53894510886232,,81.92333639987731,,,,,,,,,,,,,
229,97667.0,"Cigna HealthCare of Arizona, Inc.",AZ,,,-56070.83,3113.0,570.0,1710434.0,2478740.0,549.4487632508834,796.2544169611307,,-246.80565371024727,"Cigna HealthCare of Arizona, Inc",AZ,1135299.23,-1946342.41,-107879.38,45447.0,646.0,14402982.0,14006163.0,316.9182124232623,308.18674499966994,-42.82664224261227,8.731467423592335
230,59158.0,United Healthcare Insurance Company,WI,,,11297157.89,3128.0,1103277.0,1710491.76,1118015.09,546.8324040920717,357.4217039641944,,189.41070012787725,UnitedHealthcare Insurance Company,WI,,,12017109.32,4441.0,1060819.0,2404001.31,2452882.65,541.3198176086468,552.3266494032875,,-11.006831794640789
231,49221.0,John Alden Life Insurance Company,MO,,,30517.37,7379.0,4995.0,1713773.0,1357051.0,232.25003387992953,183.9071689930885,,48.34286488684103,,,,,,,,,,,,,
232,79970.0,John Alden Life Insurance Company,MI,,,-25243.15,7574.0,19937.0,1778772.0,989333.0,234.85238975442303,130.62226036440455,,104.23012939001848,,,,,,,,,,,,,
233,99685.0,Humana Insurance Company,AR,149183.57,-484230.53,91590.58,8077.0,1810.0,1784005.94,1254218.05,220.87482233502539,155.28266064132723,-59.951780363996534,65.59216169369816,Humana Insurance Company,AR,0.0,-106659.16,,6183.0,,1351592.12,1182334.65,218.59811094937734,191.22345948568653,-17.250389778424715,27.37465146369081
234,69347.0,United Healthcare Insurance Company,NC,,,-2306736.6,3025.0,443252.0,1825650.49,1357995.77,603.5208231404958,448.9242214876033,,154.59660165289256,UnitedHealthcare Insurance Company,NC,,,-2779689.38,3239.0,541960.0,1690554.87,748514.99,521.9372861994443,231.09447051559124,,290.8428156838531
235,92476.0,United Healthcare Ins Co of Illinois,IL,,,4056740.92,3303.0,721188.0,1841854.78,1709451.63,557.6308749621556,517.5451498637602,,40.085725098395415,UnitedHealthcare Insurance Company of Illinois,IL,,,2021972.27,4115.0,679217.0,2205124.3,1333436.43,535.8746780072903,324.04287484811664,,211.83180315917366
236,19298.0,Aetna Health Inc. (a PA corp.),NV,44592.7,-1143730.03,261732.04,8373.0,6474.0,1949729.12,682849.79,232.8590851546638,81.55377881285084,-136.5973999761137,151.30530634181298,Aetna Health Inc. (a PA corp.),NV,0.0,-835974.11,224843.43,6968.0,5292.0,1928281.34,751358.68,276.73383180252586,107.82989092996556,-119.97332233065441,168.9039408725603
237,89587.0,Golden Rule Insurance Company,DE,53697.97,-245126.83,,4600.0,,1972578.68,1133510.71,428.82145217391303,246.41537173913042,-53.28844130434782,182.4060804347826,Golden Rule Insurance Company,DE,42201.07,922.26,,3013.0,,1277647.86,730562.83,424.04509127115836,242.4702389644872,0.30609359442416195,181.57485230667115
238,53799.0,Freedom Life Insurance,TX,939694.86,808134.93,,6793.0,,2037537.0,6603686.0,299.9465626380097,972.1310172236125,118.96583689091713,-672.1844545856028,Freedom Life Insurance Company of America,TX,230293.45,306657.04,,4057.0,,1327125.0,2016748.0,327.119792950456,497.1032782844466,75.58714320926792,-169.98348533399064
239,77422.0,Aetna Life Insurance Company,DC,26078.14,-254043.25,-335906.75,7547.0,8048.0,2045560.4,1150528.64,271.04285146415793,152.44847489068502,-33.66148800848019,118.59437657347291,Aetna Life Insurance Company,DC,,,-278383.82,258.0,9712.0,104974.72,96648.02,406.8787596899225,374.60472868217056,,32.274031007751944
240,48161.0,Aetna Life Insurance Company,MO,,,258345.46,7897.0,21933.0,2054294.03,2303668.84,260.1360048119539,291.7144282638977,,-31.578423451943763,Aetna Life Insurance Company,MO,0.0,,-208051.89,1564.0,42638.0,616563.09,967546.65,394.22192455242964,618.6359654731458,,-224.41404092071616
241,59809.0,United Healthcare Life Insurance Company,AL,148062.53,-805865.4,2012.29,7077.0,26.0,2060581.79,1537350.79,291.1660011304225,217.23198954359194,-113.87104705383638,73.93401158683056,UnitedHealthcare Life Insurance Company,AL,111220.27,-959823.85,,7809.0,,2738518.56,2428831.42,350.68748367268535,311.02976309386605,-122.91251760788833,39.657720578819294
242,57020.0,John Alden Life Insurance Company,IL,,,-167167.35,5992.0,7613.0,2096598.0,1271982.0,349.89953271028037,212.28004005340455,,137.61949265687582,,,,,,,,,,,,,
243,39595.0,WellCare of New York,NY,64785.18,-846218.15,,5221.0,,2104764.82,1365577.773,403.1344225244206,261.55483106684545,-162.07970695269105,141.57959145757513,WellCare of New York,NY,0.0,-2270393.89,,10071.0,,4238879.0,1642364.5580000002,420.89951345447327,163.0785977559329,-225.43877370668255,257.8209156985404
244,40411.0,Cigna Health and Life Insurance Company,NC,293355.4,596150.26,,5539.0,,2106567.0,2571812.0,380.3153998916772,464.30980321357646,107.62777757718,-83.99440332189926,Cigna Health and Life Insurance Company,NC,574641.37,-717206.52,,13889.0,,5578645.0,5479908.0,401.6592267261862,394.5502195982432,-51.63845633234934,7.109007127943016
245,85757.0,United Healthcare Insurance Company,OK,,,-144362.05,4882.0,236945.0,2116229.78,1474239.28,433.4759893486276,301.9744530929947,,131.5015362556329,UnitedHealthcare Insurance Company,OK,,,-331381.33,4726.0,217288.0,2060557.22,1600365.71,436.0044900550148,338.63006982649176,,97.37442022852304
246,57637.0,Medica Insurance Company,WI,,,355871.33,9384.0,84479.0,2131433.75,1542374.93,227.13488384484228,164.3622048167093,,62.772679028132984,Medica Insurance Company,WI,,,-1998867.88,7817.0,77183.0,1938508.43,1088224.095,247.98623896635536,139.21249776128948,,108.77374120506587
247,70767.0,Aetna Life Insurance Company,MD,,,-2554392.85,7335.0,78583.0,2167727.03,1461037.56,295.53197409679615,199.1871247443763,,96.34484935241986,Aetna Life Insurance Company,MD,,,-904266.78,5709.0,66459.0,1592211.84,1578757.4,278.8950499211771,276.53834296724466,,2.3567069539324166
248,81413.0,Network Health Plan,WI,24525.62,294393.41,-54663.83,14440.0,129581.0,2243847.0,1580270.0,155.39106648199447,109.43698060941828,20.387355263157893,45.95408587257619,Network Health Plan,WI,1548847.3,1897726.68,-3546.19,55987.0,108312.0,22776443.0,25842938.9,406.8166360047868,461.5882061907228,33.89584510689981,-54.771570185936014
249,95426.0,United Healthcare Insurance Company,MO,,,2802884.9,4821.0,629836.0,2245406.86,1630747.4,465.7554158888197,338.2591578510682,,127.49625803775149,UnitedHealthcare Insurance Company,MO,,,6325614.34,6660.0,671313.0,3200237.21,2614594.4,480.5160975975976,392.5817417417417,,87.93435585585587
250,28218.0,Time Insurance Company,ID,199027.79,137386.95,-45007.5,7920.0,11596.0,2280755.0,1914234.0,287.97411616161617,241.6962121212121,17.346837121212122,46.27790404040405,,,,,,,,,,,,,
251,56726.0,United Healthcare Insurance Company,OH,,,1775202.4,4768.0,402846.0,2305123.88,2296010.41,483.4571895973154,481.54580746644297,,1.9113821308724255,UnitedHealthcare Insurance Company,OH,,,926423.44,5143.0,365188.0,2145394.14,1362827.56,417.1483842115497,264.9868870309158,,152.1614971806339
252,24675.0,"Blue Cross and Blue Shield of Massachusetts, Inc.",MA,96895.37,,,2558.0,37764.0,2307543.0,2184281.0,902.0887412040656,853.9018764659891,,48.186864738076565,"Blue Cross and Blue Shield of Massachusetts, Inc.",MA,82290.16,,,2994.0,37528.0,2164115.0,2138372.0,722.8173012692051,714.2191048764195,,8.598196392785667
253,44526.0,Time Insurance Company,UT,157807.06,214883.2,,11169.0,,2375538.0,2326739.0,212.69030351866775,208.32115677321156,19.239251499686635,4.369146745456192,,,,,,,,,,,,,
254,35992.0,Time Insurance Company,WV,431491.97,382756.67,-39194.65,5818.0,345.0,2422025.0,2676648.0,416.2985562048814,460.06325197662426,65.78835854245445,-43.76469577174288,,,,,,,,,,,,,
255,77144.0,Time Insurance Company,SD,381824.21,-21716.99,-8782.86,5498.0,1181.0,2567338.0,3053213.0,466.9585303746817,555.3315751182248,-3.9499799927246273,-88.37304474354312,,,,,,,,,,,,,
256,53135.0,United Healthcare Life Insurance Company,AR,506664.43,-280355.58,,7917.0,,2593474.69,3610832.45,327.58300997852723,456.0859479600859,-35.41184539598333,-128.50293798155866,UnitedHealthcare Life Insurance Company,AR,314611.24,-189796.85,,6740.0,,2596462.56,3918316.96,385.2318338278932,581.3526646884272,-28.15977002967359,-196.12083086053406
257,67920.0,Southeastern Indiana Health Organization,IN,216799.07,-233538.83,-852678.23,5900.0,66436.0,2624740.62,2069099.3,444.87129152542377,350.6947966101695,-39.582852542372876,94.1764949152543,Southeastern Indiana Health Organization,IN,40069.71,-583807.56,-633214.19,3535.0,52458.0,1406937.0,1111295.2,398.0019801980198,314.36922206506364,-165.15065346534655,83.63275813295616
258,36677.0,All Savers Insurance Company,MD,496194.53,596980.74,,6662.0,,2650550.76,3724009.19,397.86111678174717,558.99267337136,89.60983788652057,-161.13155658961279,All Savers Insurance Company,MD,576817.2,1316533.03,,11155.0,,4610816.65,6571803.34,413.3408023307934,589.1352164948454,118.0217866427611,-175.794414164052
259,17808.0,Humana Insurance Company,SC,0.0,16975.57,,8505.0,,2661666.91,2139771.392,312.9531934156379,251.58981681363903,1.995951793062904,61.36337660199885,Humana Insurance Company,SC,0.0,-7953.72,,3908.0,,1359755.98,734010.32,347.9416530194473,187.82249744114634,-2.0352405322415557,160.11915557830096
260,13939.0,Time Insurance Company,AL,452110.79,-223260.2,-18832.66,8015.0,352.0,2778694.0,2867433.0,346.68671241422334,357.75832813474733,-27.855296319401123,-11.071615720523994,,,,,,,,,,,,,
